Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kelly Green,Wes Janke,Heather McPherson,Hibo Mohamed,Tunde Obasan,Malcolm Stinson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48019,"Edmonton Strathcona/Edmonton Strathcona"," 1","Edmonton",2,7,109,21,89,0,0,228,411
48019,"Edmonton Strathcona/Edmonton Strathcona"," 2","Edmonton",2,23,111,23,74,0,0,233,416
48019,"Edmonton Strathcona/Edmonton Strathcona"," 3","Edmonton",1,9,106,18,80,2,0,216,419
48019,"Edmonton Strathcona/Edmonton Strathcona"," 4","Edmonton",2,6,112,8,91,0,1,220,410
48019,"Edmonton Strathcona/Edmonton Strathcona"," 5","Edmonton",2,5,140,21,103,2,0,273,525
48019,"Edmonton Strathcona/Edmonton Strathcona"," 6","Edmonton",5,14,97,10,64,0,0,190,476
48019,"Edmonton Strathcona/Edmonton Strathcona"," 7","Edmonton",3,14,126,14,70,3,1,231,436
48019,"Edmonton Strathcona/Edmonton Strathcona"," 8","Edmonton",0,11,119,18,69,1,6,224,488
48019,"Edmonton Strathcona/Edmonton Strathcona"," 9","Edmonton",4,16,114,20,68,0,0,222,435
48019,"Edmonton Strathcona/Edmonton Strathcona"," 10","Edmonton",1,21,88,15,64,1,0,190,480
48019,"Edmonton Strathcona/Edmonton Strathcona"," 11","Edmonton",2,9,161,33,82,2,0,289,540
48019,"Edmonton Strathcona/Edmonton Strathcona"," 12","Edmonton",2,8,131,24,73,1,0,239,466
48019,"Edmonton Strathcona/Edmonton Strathcona"," 13","Edmonton",4,9,171,18,38,0,1,241,410
48019,"Edmonton Strathcona/Edmonton Strathcona"," 14","Edmonton",5,5,169,23,30,0,0,232,404
48019,"Edmonton Strathcona/Edmonton Strathcona"," 15","Edmonton",4,4,126,19,40,0,0,193,384
48019,"Edmonton Strathcona/Edmonton Strathcona"," 16","Edmonton",3,11,130,16,61,1,1,223,402
48019,"Edmonton Strathcona/Edmonton Strathcona"," 17","Edmonton",5,12,105,11,85,1,2,221,427
48019,"Edmonton Strathcona/Edmonton Strathcona"," 18","Edmonton",5,16,114,18,93,4,1,251,491
48019,"Edmonton Strathcona/Edmonton Strathcona"," 19","Edmonton",3,5,123,12,87,0,0,230,423
48019,"Edmonton Strathcona/Edmonton Strathcona"," 20","Edmonton",2,15,109,18,106,1,0,251,416
48019,"Edmonton Strathcona/Edmonton Strathcona"," 21","Edmonton",3,15,144,12,103,2,0,279,486
48019,"Edmonton Strathcona/Edmonton Strathcona"," 22","Edmonton",4,19,92,14,52,1,1,183,442
48019,"Edmonton Strathcona/Edmonton Strathcona"," 23","Edmonton",6,5,125,18,45,2,0,201,350
48019,"Edmonton Strathcona/Edmonton Strathcona"," 24","Edmonton",1,5,124,13,71,0,1,215,410
48019,"Edmonton Strathcona/Edmonton Strathcona"," 25","Edmonton",4,5,123,12,83,2,0,229,421
48019,"Edmonton Strathcona/Edmonton Strathcona"," 26","Edmonton",4,5,127,20,95,0,0,251,413
48019,"Edmonton Strathcona/Edmonton Strathcona"," 27","Edmonton",1,10,124,15,92,0,0,242,464
48019,"Edmonton Strathcona/Edmonton Strathcona"," 28","Edmonton",2,14,133,18,80,0,0,247,439
48019,"Edmonton Strathcona/Edmonton Strathcona"," 29","Edmonton",8,10,254,39,97,2,2,412,553
48019,"Edmonton Strathcona/Edmonton Strathcona"," 30","Edmonton",4,4,95,17,40,1,1,162,414
48019,"Edmonton Strathcona/Edmonton Strathcona"," 31","Edmonton",4,1,123,12,37,2,0,179,441
48019,"Edmonton Strathcona/Edmonton Strathcona"," 32","Edmonton",3,6,129,20,34,0,1,193,476
48019,"Edmonton Strathcona/Edmonton Strathcona"," 33","Edmonton",3,15,117,23,71,3,4,236,383
48019,"Edmonton Strathcona/Edmonton Strathcona"," 34","Edmonton",1,14,67,6,52,1,0,141,356
48019,"Edmonton Strathcona/Edmonton Strathcona"," 35","Edmonton",0,12,85,5,47,0,1,150,346
48019,"Edmonton Strathcona/Edmonton Strathcona"," 36","Edmonton",0,6,89,6,71,1,0,173,336
48019,"Edmonton Strathcona/Edmonton Strathcona"," 37","Edmonton",Merged with No./Fusionné avec le n°33,,,,,,,,317
48019,"Edmonton Strathcona/Edmonton Strathcona"," 38","Edmonton",2,7,127,17,41,2,0,196,428
48019,"Edmonton Strathcona/Edmonton Strathcona"," 39","Edmonton",2,4,130,21,52,4,0,213,592
48019,"Edmonton Strathcona/Edmonton Strathcona"," 40","Edmonton",2,15,123,14,42,0,1,197,469
48019,"Edmonton Strathcona/Edmonton Strathcona"," 41","Edmonton",2,14,124,19,35,3,1,198,463
48019,"Edmonton Strathcona/Edmonton Strathcona"," 42","Edmonton",2,4,118,14,51,2,0,191,455
48019,"Edmonton Strathcona/Edmonton Strathcona"," 43","Edmonton",3,4,95,5,35,1,0,143,329
48019,"Edmonton Strathcona/Edmonton Strathcona"," 44","Edmonton",4,10,126,21,46,0,0,207,368
48019,"Edmonton Strathcona/Edmonton Strathcona"," 45","Edmonton",Merged with No./Fusionné avec le n°44,,,,,,,,265
48019,"Edmonton Strathcona/Edmonton Strathcona"," 46","Edmonton",2,5,82,14,26,0,1,130,443
