Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Abdifatah Abdi,Brian Deheer,Laila Goodridge,Shawn McDonald,Jonathan Meyers,Garnett Robinson,Hughie Shane Whitmore,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 1A","Fitzgerald",17,4,27,5,1,42,1,0,97,525
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 1B","Fitzgerald",3,1,1,0,0,5,0,0,10,53
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 2","Fort Chipewyan",Void/Supprimé,,,,,,,,,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 3","Fort McKay",15,1,47,15,3,34,0,0,115,418
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 4A","Chipewyan Lake",7,2,30,11,0,12,0,0,62,334
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 4B","Chipewyan Lake",6,2,20,5,0,17,0,1,51,280
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 5","Wabasca-Desmarais",19,4,35,18,0,30,0,1,107,440
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 6","Wabasca",26,2,38,13,2,50,0,0,131,458
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 7A","Wabasca 166",10,1,15,6,0,22,0,1,55,426
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 7B","Wabasca 166",8,0,10,4,0,32,0,0,54,335
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 8","Fort McMurray",Merged with No./Fusionné avec le n°14,,,,,,,,,172
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 9","Wood Buffalo",19,0,76,18,1,15,0,1,130,475
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 10","Fort McMurray",7,1,79,9,0,15,1,4,116,333
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 11","Fort McMurray",3,1,98,16,1,11,1,0,131,420
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 12","Wood Buffalo",23,2,114,16,1,34,0,0,190,582
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 13","Fort McMurray",Merged with No./Fusionné avec le n°125B,,,,,,,,,183
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 14","Fort McMurray",9,2,102,18,10,13,0,0,154,317
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 15","Fort McMurray",7,0,117,36,2,12,0,1,175,372
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 16","Fort McMurray",16,0,139,21,2,30,0,2,210,411
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 17","Fort McMurray",8,0,130,25,0,26,0,0,189,404
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 18","Fort McMurray",4,2,151,21,1,11,1,0,191,384
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 19","Fort McMurray",11,0,148,35,3,13,0,0,210,438
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 20","Fort McMurray",12,0,96,14,2,17,0,1,142,386
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 21","Wood Buffalo",9,0,122,16,1,15,0,2,165,440
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 22","Wood Buffalo",6,0,125,8,4,15,0,1,159,401
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 23","Fort McMurray",7,4,123,19,1,15,1,1,171,445
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 24","Wood Buffalo",23,1,171,24,3,8,1,1,232,641
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 25","Wood Buffalo",Void/Supprimé,,,,,,,,,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 26","Wood Buffalo",9,6,144,18,0,15,0,1,193,585
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 27","Wood Buffalo",14,1,143,20,2,7,0,0,187,497
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 28","Wood Buffalo",10,0,116,26,0,19,0,0,171,427
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 29","Wood Buffalo",18,2,155,23,1,9,0,1,209,666
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 30","Wood Buffalo",9,0,141,28,0,14,0,0,192,485
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 31","Wood Buffalo",11,0,136,16,0,5,0,0,168,499
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 32","Wood Buffalo",6,1,146,24,1,11,0,0,189,520
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 33","Fort McMurray",4,1,137,26,1,9,0,0,178,410
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 34","Wood Buffalo",11,1,151,30,0,15,0,3,211,315
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 35","Wood Buffalo",Merged with No./Fusionné avec le n°39,,,,,,,,,255
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 36","Wood Buffalo",6,1,99,16,0,12,0,0,134,339
