Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Des Bissonnette,Kira Brunner,Ann McCormack,Fred Sirett,Shannon Stubbs,John Turvey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48025,"Lakeland/Lakeland"," 1","Breynat",11,6,18,0,126,3,0,164,237
48025,"Lakeland/Lakeland"," 2","Grosmont",31,5,19,3,191,20,0,269,514
48025,"Lakeland/Lakeland"," 3","Baptiste Lake",18,0,10,4,101,8,0,141,341
48025,"Lakeland/Lakeland"," 4","Deep Creek",22,1,25,6,92,16,0,162,423
48025,"Lakeland/Lakeland"," 5","Athabasca",24,1,16,4,112,6,1,164,406
48025,"Lakeland/Lakeland"," 6","Athabasca",8,0,6,0,20,12,0,46,136
48025,"Lakeland/Lakeland"," 7","Athabasca",18,3,6,3,35,13,0,78,302
48025,"Lakeland/Lakeland"," 8","Athabasca",24,2,13,1,45,8,1,94,327
48025,"Lakeland/Lakeland"," 9","Athabasca",27,1,13,0,56,7,0,104,326
48025,"Lakeland/Lakeland"," 10","Athabasca",36,0,34,4,93,7,1,175,477
48025,"Lakeland/Lakeland"," 11","Athabasca",37,3,23,2,102,16,1,184,525
48025,"Lakeland/Lakeland"," 12","Colinton",10,0,21,2,80,0,1,114,286
48025,"Lakeland/Lakeland"," 13","Athabasca",12,4,21,1,50,3,0,91,221
48025,"Lakeland/Lakeland"," 14","Amber Valley",25,4,49,7,210,10,0,305,564
48025,"Lakeland/Lakeland"," 15","Grassland",15,0,68,4,201,9,0,297,511
48025,"Lakeland/Lakeland"," 16","Athabasca",22,0,5,1,49,12,0,89,278
48025,"Lakeland/Lakeland"," 17","Colinton",28,1,27,3,114,8,0,181,339
48025,"Lakeland/Lakeland"," 18","Colinton",23,4,19,2,91,7,1,147,303
48025,"Lakeland/Lakeland"," 19","Perryvale",32,2,48,3,160,22,0,267,520
48025,"Lakeland/Lakeland"," 20","Mewatha Beach",22,1,52,8,155,7,0,245,574
48025,"Lakeland/Lakeland"," 21","Boyle",14,0,14,10,69,4,1,112,330
48025,"Lakeland/Lakeland"," 22","Boyle",11,2,14,3,90,7,1,128,358
48025,"Lakeland/Lakeland"," 23","Ellscott",16,0,18,5,121,2,0,162,392
48025,"Lakeland/Lakeland"," 24","Rochester",26,2,27,8,157,9,1,230,368
48025,"Lakeland/Lakeland"," 25","Alpen Siding",19,1,25,11,123,5,0,184,346
48025,"Lakeland/Lakeland"," 26","Buffalo Lake Metis Settlement",47,4,46,0,45,25,0,167,412
48025,"Lakeland/Lakeland"," 27","Kikino",73,3,49,3,55,22,0,205,440
48025,"Lakeland/Lakeland"," 28","Abee",20,0,24,3,87,8,0,142,304
48025,"Lakeland/Lakeland"," 29","Elbridge",24,1,38,13,187,5,1,269,560
48025,"Lakeland/Lakeland"," 30","Thorhild",19,2,24,5,111,2,0,163,415
48025,"Lakeland/Lakeland"," 31","Hollow Lake",15,3,22,4,121,7,0,172,386
48025,"Lakeland/Lakeland"," 32","Waskatenau",12,4,21,1,92,5,0,135,265
48025,"Lakeland/Lakeland"," 33","Warspite",4,0,17,3,67,3,0,94,229
48025,"Lakeland/Lakeland"," 34","White Fish Lake 128",109,1,11,2,12,28,2,165,740
48025,"Lakeland/Lakeland"," 35","Edwand--Smoky Lake",12,2,20,1,102,4,1,142,358
48025,"Lakeland/Lakeland"," 36","Smoky Lake",17,1,6,2,67,8,0,101,253
48025,"Lakeland/Lakeland"," 37","Smoky Lake",17,1,6,0,51,4,1,80,249
