Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Geoffrey Capp,Rachael Harder,Devon Hargreaves,Kimmie Hovan,Elaine Perez,Kim Siever,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48026,"Lethbridge/Lethbridge"," 1","Barons",Merged with No./Fusionné avec le n°2,,,,,,,,225
48026,"Lethbridge/Lethbridge"," 2","Barons",4,130,22,18,23,5,0,202,303
48026,"Lethbridge/Lethbridge"," 3","Nobleford",11,116,3,19,9,1,0,159,329
48026,"Lethbridge/Lethbridge"," 4","Nobleford",15,177,15,34,26,2,1,270,501
48026,"Lethbridge/Lethbridge"," 5","Nobleford",8,70,7,32,18,1,1,137,256
48026,"Lethbridge/Lethbridge"," 6","Picture Butte",29,88,5,21,2,0,1,146,321
48026,"Lethbridge/Lethbridge"," 7","Picture Butte",8,113,10,10,18,1,1,161,401
48026,"Lethbridge/Lethbridge"," 8","Picture Butte",5,65,5,13,6,3,0,97,315
48026,"Lethbridge/Lethbridge"," 9","Picture Butte",7,44,3,8,8,1,0,71,234
48026,"Lethbridge/Lethbridge"," 10","Turin",5,75,2,8,4,0,1,95,236
48026,"Lethbridge/Lethbridge"," 11","Iron Springs",21,178,4,26,8,0,0,237,434
48026,"Lethbridge/Lethbridge"," 12","Monarch",25,194,18,48,27,7,2,321,491
48026,"Lethbridge/Lethbridge"," 13","Picture Butte",7,61,8,10,4,1,0,91,316
48026,"Lethbridge/Lethbridge"," 14","Shaughnessy",3,82,8,21,12,2,0,128,292
48026,"Lethbridge/Lethbridge"," 15","Shaughnessy",9,75,5,11,14,0,2,116,301
48026,"Lethbridge/Lethbridge"," 16","Diamond City",13,97,7,14,17,1,0,149,344
48026,"Lethbridge/Lethbridge"," 17","Coalhurst",4,94,10,7,7,1,0,123,319
48026,"Lethbridge/Lethbridge"," 18","Coalhurst",7,100,14,11,23,2,2,159,437
48026,"Lethbridge/Lethbridge"," 19","Coalhurst",7,64,23,17,18,2,0,131,288
48026,"Lethbridge/Lethbridge"," 20","Coalhurst",2,84,18,15,37,6,0,162,376
48026,"Lethbridge/Lethbridge"," 21","Coalhurst",4,98,14,15,21,0,0,152,405
48026,"Lethbridge/Lethbridge"," 22","Coalhurst",4,139,9,30,49,3,0,234,585
48026,"Lethbridge/Lethbridge"," 23","Diamond City",1,156,7,16,22,1,0,203,357
48026,"Lethbridge/Lethbridge"," 24","Lethbridge",0,117,33,13,39,1,2,205,414
48026,"Lethbridge/Lethbridge"," 25","Broxburn",0,68,8,16,22,1,0,115,310
48026,"Lethbridge/Lethbridge"," 26A","Lethbridge",1,115,24,12,39,6,2,199,426
48026,"Lethbridge/Lethbridge"," 26B","Lethbridge",1,97,34,11,40,1,0,184,406
48026,"Lethbridge/Lethbridge"," 27A","Lethbridge",1,117,42,5,30,3,1,199,454
48026,"Lethbridge/Lethbridge"," 27B","Lethbridge",0,101,35,10,42,6,3,197,438
48026,"Lethbridge/Lethbridge"," 28","Lethbridge",1,139,34,14,66,7,0,261,525
48026,"Lethbridge/Lethbridge"," 29","Lethbridge",1,146,25,15,46,3,0,236,524
48026,"Lethbridge/Lethbridge"," 30A","Lethbridge",0,95,24,10,40,3,0,172,385
48026,"Lethbridge/Lethbridge"," 30B","Mobile poll/Bureau itinérant",2,33,2,0,0,0,0,37,51
48026,"Lethbridge/Lethbridge"," 31","Lethbridge",0,136,50,17,79,6,0,288,548
48026,"Lethbridge/Lethbridge"," 32","Lethbridge",1,118,24,21,33,1,1,199,463
48026,"Lethbridge/Lethbridge"," 33","Lethbridge",3,128,32,12,40,1,0,216,447
48026,"Lethbridge/Lethbridge"," 34","Lethbridge",2,105,20,24,27,2,0,180,429
48026,"Lethbridge/Lethbridge"," 35","Lethbridge",4,57,14,14,30,2,0,121,325
48026,"Lethbridge/Lethbridge"," 36","Lethbridge",0,47,18,10,16,4,0,95,273
48026,"Lethbridge/Lethbridge"," 37","Lethbridge",4,98,33,9,32,0,1,177,415
48026,"Lethbridge/Lethbridge"," 38","Lethbridge",2,109,19,15,53,3,0,201,438
48026,"Lethbridge/Lethbridge"," 39","Lethbridge",0,82,25,15,46,5,0,173,421
48026,"Lethbridge/Lethbridge"," 40","Lethbridge",1,92,29,4,28,4,1,159,385
48026,"Lethbridge/Lethbridge"," 41","Lethbridge",1,72,21,14,32,3,4,147,343
48026,"Lethbridge/Lethbridge"," 42","Lethbridge",2,56,13,10,33,1,0,115,345
48026,"Lethbridge/Lethbridge"," 43","Lethbridge",0,70,25,15,29,4,0,143,417
48026,"Lethbridge/Lethbridge"," 44","Lethbridge",2,52,19,19,36,0,0,128,380
48026,"Lethbridge/Lethbridge"," 45","Lethbridge",2,94,24,12,31,1,2,166,480
48026,"Lethbridge/Lethbridge"," 46","Lethbridge",0,86,27,7,28,1,0,149,392
48026,"Lethbridge/Lethbridge"," 47","Lethbridge",0,67,22,19,44,3,0,155,375
48026,"Lethbridge/Lethbridge"," 48","Lethbridge",2,108,26,15,42,2,2,197,488
48026,"Lethbridge/Lethbridge"," 49A","Lethbridge",1,106,31,20,49,1,0,208,486
48026,"Lethbridge/Lethbridge"," 49B","Lethbridge",0,92,29,7,42,2,0,172,457
48026,"Lethbridge/Lethbridge"," 50","Lethbridge",1,167,36,32,80,8,0,324,866
48026,"Lethbridge/Lethbridge"," 51","Lethbridge",0,99,31,15,42,3,0,190,454
48026,"Lethbridge/Lethbridge"," 52","Lethbridge",0,60,20,7,73,3,1,164,498
48026,"Lethbridge/Lethbridge"," 53A","Lethbridge",0,73,29,8,43,4,0,157,421
48026,"Lethbridge/Lethbridge"," 53B","Mobile poll/Bureau itinérant",0,37,17,1,10,0,0,65,95
48026,"Lethbridge/Lethbridge"," 53C","Mobile poll/Bureau itinérant",0,36,10,0,4,1,1,52,69
48026,"Lethbridge/Lethbridge"," 54","Lethbridge",2,136,41,16,88,4,1,288,726
48026,"Lethbridge/Lethbridge"," 55","Lethbridge",2,85,31,4,57,4,1,184,447
48026,"Lethbridge/Lethbridge"," 56","Lethbridge",1,104,20,17,44,5,0,191,557
48026,"Lethbridge/Lethbridge"," 57","Coaldale",10,169,12,34,19,3,0,247,464
48026,"Lethbridge/Lethbridge"," 58","Coaldale",4,138,14,16,35,3,1,211,444
48026,"Lethbridge/Lethbridge"," 59","Coaldale",3,149,20,21,25,2,1,221,622
48026,"Lethbridge/Lethbridge"," 60","Coaldale",1,144,29,15,35,2,0,226,555
48026,"Lethbridge/Lethbridge"," 61","Broxburn",3,135,10,21,15,2,2,188,376
48026,"Lethbridge/Lethbridge"," 62","Lethbridge",0,82,19,17,29,3,0,150,380
48026,"Lethbridge/Lethbridge"," 63","Lethbridge",0,61,17,20,26,5,0,129,408
48026,"Lethbridge/Lethbridge"," 64","Lethbridge",0,94,33,20,36,10,0,193,439
48026,"Lethbridge/Lethbridge"," 65","Lethbridge",1,63,13,16,35,2,2,132,380
48026,"Lethbridge/Lethbridge"," 66","Lethbridge",0,55,23,5,24,4,1,112,372
48026,"Lethbridge/Lethbridge"," 67","Lethbridge",2,63,22,13,13,6,0,119,362
48026,"Lethbridge/Lethbridge"," 68","Lethbridge",1,53,16,10,33,5,0,118,339
48026,"Lethbridge/Lethbridge"," 69","Lethbridge",4,76,18,20,18,2,0,138,369
48026,"Lethbridge/Lethbridge"," 70","Lethbridge",3,69,25,16,35,3,1,152,394
48026,"Lethbridge/Lethbridge"," 71","Lethbridge",1,77,16,16,44,4,0,158,419
48026,"Lethbridge/Lethbridge"," 72","Lethbridge",5,67,20,13,27,3,1,136,355
48026,"Lethbridge/Lethbridge"," 73","Lethbridge",3,94,24,19,40,6,3,189,486
48026,"Lethbridge/Lethbridge"," 74","Lethbridge",1,77,22,27,29,5,1,162,450
48026,"Lethbridge/Lethbridge"," 75","Lethbridge",1,70,15,16,36,10,0,148,409
48026,"Lethbridge/Lethbridge"," 76","Lethbridge",0,75,35,6,48,1,0,165,471
48026,"Lethbridge/Lethbridge"," 77","Lethbridge",0,67,26,7,41,1,0,142,427
48026,"Lethbridge/Lethbridge"," 78","Lethbridge",0,70,31,12,46,8,0,167,456
48026,"Lethbridge/Lethbridge"," 79","Lethbridge",2,85,21,9,19,1,2,139,359
48026,"Lethbridge/Lethbridge"," 80","Lethbridge",0,68,31,7,29,1,0,136,380
48026,"Lethbridge/Lethbridge"," 81","Lethbridge",0,67,30,5,18,2,0,122,403
48026,"Lethbridge/Lethbridge"," 82","Lethbridge",1,70,23,7,32,3,0,136,390
48026,"Lethbridge/Lethbridge"," 83","Lethbridge",0,63,19,6,20,2,0,110,364
48026,"Lethbridge/Lethbridge"," 84","Lethbridge",0,65,16,19,50,2,1,153,427
48026,"Lethbridge/Lethbridge"," 85","Lethbridge",0,61,19,18,37,3,0,138,414
48026,"Lethbridge/Lethbridge"," 86","Lethbridge",0,58,13,14,26,3,1,115,385
48026,"Lethbridge/Lethbridge"," 87","Lethbridge",0,57,19,16,33,0,1,126,423
48026,"Lethbridge/Lethbridge"," 88","Lethbridge",0,83,21,20,30,10,2,166,450
48026,"Lethbridge/Lethbridge"," 89","Lethbridge",0,53,16,9,26,2,0,106,380
48026,"Lethbridge/Lethbridge"," 90","Lethbridge",0,40,24,13,21,4,1,103,407
48026,"Lethbridge/Lethbridge"," 91","Lethbridge",2,51,14,16,41,1,1,126,405
48026,"Lethbridge/Lethbridge"," 92","Lethbridge",3,53,13,14,36,4,1,124,396
48026,"Lethbridge/Lethbridge"," 93","Lethbridge",4,43,18,8,30,1,0,104,376
48026,"Lethbridge/Lethbridge"," 94","Lethbridge",1,31,21,6,28,7,1,95,397
48026,"Lethbridge/Lethbridge"," 95","Lethbridge",1,47,22,5,44,4,1,124,357
48026,"Lethbridge/Lethbridge"," 96","Lethbridge",0,28,21,5,39,2,2,97,283
48026,"Lethbridge/Lethbridge"," 97","Lethbridge",2,60,42,11,63,9,0,187,416
48026,"Lethbridge/Lethbridge"," 98","Lethbridge",0,57,27,7,58,8,0,157,447
48026,"Lethbridge/Lethbridge"," 99","Lethbridge",0,47,33,9,39,13,0,141,438
48026,"Lethbridge/Lethbridge"," 100","Lethbridge",0,60,39,13,46,11,0,169,420
48026,"Lethbridge/Lethbridge"," 101","Lethbridge",2,70,22,9,35,3,0,141,432
48026,"Lethbridge/Lethbridge"," 102","Lethbridge",1,66,23,13,55,1,2,161,492
48026,"Lethbridge/Lethbridge"," 103","Lethbridge",0,39,16,9,25,3,0,92,379
48026,"Lethbridge/Lethbridge"," 104","Lethbridge",0,77,24,11,52,5,2,171,563
48026,"Lethbridge/Lethbridge"," 105","Lethbridge",2,83,21,4,58,1,0,169,578
48026,"Lethbridge/Lethbridge"," 106","Lethbridge",0,47,19,6,31,1,0,104,357
48026,"Lethbridge/Lethbridge"," 107","Lethbridge",1,43,18,13,35,3,0,113,354
48026,"Lethbridge/Lethbridge"," 108A","Lethbridge",0,76,20,9,52,4,0,161,549
48026,"Lethbridge/Lethbridge"," 108B","Lethbridge",0,85,26,12,49,3,0,175,483
48026,"Lethbridge/Lethbridge"," 109","Lethbridge",0,48,19,8,35,2,0,112,375
48026,"Lethbridge/Lethbridge"," 110","Lethbridge",0,52,31,8,39,5,0,135,369
48026,"Lethbridge/Lethbridge"," 111","Lethbridge",1,69,15,12,34,8,0,139,444
48026,"Lethbridge/Lethbridge"," 112","Lethbridge",0,55,30,12,51,10,2,160,411
48026,"Lethbridge/Lethbridge"," 113","Lethbridge",1,46,24,10,37,2,2,122,407
48026,"Lethbridge/Lethbridge"," 114","Lethbridge",1,69,29,9,38,7,0,153,471
48026,"Lethbridge/Lethbridge"," 115","Lethbridge",2,93,37,11,51,3,2,199,471
48026,"Lethbridge/Lethbridge"," 116","Lethbridge",0,73,30,12,26,4,2,147,422
48026,"Lethbridge/Lethbridge"," 117","Lethbridge",0,87,37,14,62,2,0,202,497
48026,"Lethbridge/Lethbridge"," 118","Lethbridge",1,59,27,15,48,2,2,154,417
48026,"Lethbridge/Lethbridge"," 119","Lethbridge",0,74,49,9,92,0,0,224,496
48026,"Lethbridge/Lethbridge"," 120","Lethbridge",1,85,32,12,67,5,0,202,497
48026,"Lethbridge/Lethbridge"," 121","Lethbridge",0,87,21,14,57,4,0,183,533
48026,"Lethbridge/Lethbridge"," 122","Lethbridge",4,63,26,16,40,4,0,153,401
48026,"Lethbridge/Lethbridge"," 123","Lethbridge",0,74,32,17,75,10,2,210,510
48026,"Lethbridge/Lethbridge"," 124","Lethbridge",2,88,25,12,100,6,2,235,428
48026,"Lethbridge/Lethbridge"," 125","Lethbridge",0,83,33,10,72,3,0,201,451
48026,"Lethbridge/Lethbridge"," 126","Lethbridge",1,132,25,9,95,1,0,263,346
48026,"Lethbridge/Lethbridge"," 127","Lethbridge",0,102,35,17,56,4,2,216,431
48026,"Lethbridge/Lethbridge"," 128","Lethbridge",0,93,50,23,66,7,0,239,533
48026,"Lethbridge/Lethbridge"," 129","Lethbridge",0,57,39,5,43,2,0,146,395
48026,"Lethbridge/Lethbridge"," 130","Lethbridge",0,76,26,8,32,2,0,144,330
48026,"Lethbridge/Lethbridge"," 131","Lethbridge",2,86,36,13,32,5,0,174,425
48026,"Lethbridge/Lethbridge"," 132","Lethbridge",1,78,36,11,38,4,1,169,378
48026,"Lethbridge/Lethbridge"," 133","Lethbridge",0,85,30,11,47,6,2,181,449
48026,"Lethbridge/Lethbridge"," 134","Lethbridge",0,79,37,9,46,4,1,176,385
48026,"Lethbridge/Lethbridge"," 135","Lethbridge",3,53,23,13,68,9,1,170,428
48026,"Lethbridge/Lethbridge"," 136","Lethbridge",1,59,37,24,39,15,0,175,446
48026,"Lethbridge/Lethbridge"," 137","Lethbridge",0,63,19,10,42,1,0,135,397
48026,"Lethbridge/Lethbridge"," 138","Coaldale",1,59,5,17,12,0,0,94,330
48026,"Lethbridge/Lethbridge"," 139","Coaldale",0,74,7,22,18,2,1,124,350
48026,"Lethbridge/Lethbridge"," 140","Coaldale",4,73,8,25,25,1,1,137,365
48026,"Lethbridge/Lethbridge"," 141","Coaldale",3,191,20,24,37,3,1,279,722
48026,"Lethbridge/Lethbridge"," 142","Lethbridge",2,73,24,5,24,4,1,133,392
48026,"Lethbridge/Lethbridge"," 143","Lethbridge",1,78,19,8,36,5,0,147,397
48026,"Lethbridge/Lethbridge"," 144","Lethbridge",1,80,40,10,38,5,0,174,435
48026,"Lethbridge/Lethbridge"," 145","Lethbridge",1,88,22,14,38,8,0,171,398
48026,"Lethbridge/Lethbridge"," 146","Lethbridge",4,75,22,6,20,5,2,134,468
48026,"Lethbridge/Lethbridge"," 147","Lethbridge",0,98,34,3,34,0,0,169,440
48026,"Lethbridge/Lethbridge"," 148","Lethbridge",0,84,29,8,31,5,0,157,391
48026,"Lethbridge/Lethbridge"," 149","Lethbridge",0,73,21,7,29,9,1,140,369
48026,"Lethbridge/Lethbridge"," 150","Lethbridge",2,92,31,18,31,2,3,179,357
48026,"Lethbridge/Lethbridge"," 151","Lethbridge",0,50,18,7,42,7,0,124,352
48026,"Lethbridge/Lethbridge"," 152","Lethbridge",0,98,31,16,30,2,1,178,400
48026,"Lethbridge/Lethbridge"," 153","Lethbridge",0,102,24,18,25,0,1,170,411
48026,"Lethbridge/Lethbridge"," 154","Lethbridge",1,45,11,8,17,3,0,85,302
48026,"Lethbridge/Lethbridge"," 155","Lethbridge",0,69,24,4,39,6,0,142,404
48026,"Lethbridge/Lethbridge"," 156","Lethbridge",1,62,14,15,38,7,1,138,455
48026,"Lethbridge/Lethbridge"," 157","Lethbridge",0,74,12,9,38,1,1,135,405
48026,"Lethbridge/Lethbridge"," 158","Lethbridge",1,78,30,6,46,3,3,167,492
48026,"Lethbridge/Lethbridge"," 159","Lethbridge",0,60,38,7,64,3,0,172,389
48026,"Lethbridge/Lethbridge"," 160","Lethbridge",0,69,17,17,56,4,1,164,450
48026,"Lethbridge/Lethbridge"," 161","Lethbridge",0,77,27,3,50,0,1,158,385
48026,"Lethbridge/Lethbridge"," 162","Lethbridge",1,143,38,12,89,3,0,286,581
48026,"Lethbridge/Lethbridge"," 163","Lethbridge",0,108,21,9,40,7,1,186,398
48026,"Lethbridge/Lethbridge"," 164","Lethbridge",0,126,31,19,73,2,1,252,604
48026,"Lethbridge/Lethbridge"," 165","Lethbridge",1,178,62,15,111,6,0,373,766
48026,"Lethbridge/Lethbridge"," 166","Lethbridge",1,217,67,15,106,13,4,423,847
48026,"Lethbridge/Lethbridge"," 167","Lethbridge",0,86,49,16,60,3,1,215,377
48026,"Lethbridge/Lethbridge"," 168","Lethbridge",1,160,65,19,69,4,1,319,543
48026,"Lethbridge/Lethbridge"," 169","Lethbridge",1,121,49,7,47,6,2,233,490
48026,"Lethbridge/Lethbridge"," 170A","Lethbridge",0,141,51,10,48,4,0,254,456
48026,"Lethbridge/Lethbridge"," 170B","Lethbridge",1,120,40,5,36,5,0,207,416
48026,"Lethbridge/Lethbridge"," 171","Lethbridge",0,193,65,13,47,2,3,323,587
48026,"Lethbridge/Lethbridge"," 172","Lethbridge",0,163,66,7,46,1,1,284,594
48026,"Lethbridge/Lethbridge"," 173","Lethbridge",1,197,45,6,40,1,0,290,535
48026,"Lethbridge/Lethbridge"," 174","Lethbridge",0,69,22,15,29,5,0,140,383
48026,"Lethbridge/Lethbridge"," 175","Lethbridge",1,61,27,11,32,1,2,135,358
48026,"Lethbridge/Lethbridge"," 176","Lethbridge",0,56,23,5,36,3,0,123,358
48026,"Lethbridge/Lethbridge"," 177","Lethbridge",0,48,18,12,17,2,2,99,381
48026,"Lethbridge/Lethbridge"," 178","Lethbridge",0,65,20,8,31,1,0,125,366
48026,"Lethbridge/Lethbridge"," 179","Lethbridge",1,82,30,8,24,2,0,147,372
48026,"Lethbridge/Lethbridge"," 180","Lethbridge",1,95,29,11,27,1,0,164,381
48026,"Lethbridge/Lethbridge"," 181","Lethbridge",1,88,20,15,26,3,0,153,387
48026,"Lethbridge/Lethbridge"," 182","Lethbridge",0,89,25,13,21,1,0,149,386
48026,"Lethbridge/Lethbridge"," 183","Lethbridge",2,183,26,15,40,0,1,267,631
48026,"Lethbridge/Lethbridge"," 184","Tempest",3,80,2,17,5,0,0,107,311
48026,"Lethbridge/Lethbridge"," 185","Coaldale",2,124,27,28,30,8,0,219,559
48026,"Lethbridge/Lethbridge"," 186","Coaldale",1,79,5,14,9,2,1,111,340
48026,"Lethbridge/Lethbridge"," 187","Coaldale",0,85,6,17,23,3,0,134,353
48026,"Lethbridge/Lethbridge"," 188","Coaldale",2,92,17,16,34,3,0,164,418
48026,"Lethbridge/Lethbridge"," 189","Coaldale",3,173,13,17,32,2,0,240,603
48026,"Lethbridge/Lethbridge"," 190","Coaldale",0,90,11,15,27,1,1,145,453
48026,"Lethbridge/Lethbridge"," 191","Chin",4,130,21,15,27,4,1,202,508
48026,"Lethbridge/Lethbridge"," 192","Lethbridge",0,122,43,15,33,1,0,214,671
48026,"Lethbridge/Lethbridge"," 193","Lethbridge",1,89,23,5,21,2,0,141,428
48026,"Lethbridge/Lethbridge"," 194","Lethbridge",0,107,41,15,43,5,3,214,459
48026,"Lethbridge/Lethbridge"," 195","Lethbridge",1,78,20,4,18,3,0,124,443
48026,"Lethbridge/Lethbridge"," 196","Stewart",2,141,26,15,20,1,0,205,446
48026,"Lethbridge/Lethbridge"," 197","Lethbridge",0,124,43,4,42,2,1,216,510
48026,"Lethbridge/Lethbridge"," 198","Lethbridge",0,230,40,15,49,2,0,336,797
48026,"Lethbridge/Lethbridge"," 199","Lethbridge",0,224,34,14,39,6,3,320,801
48026,"Lethbridge/Lethbridge"," 400","Lethbridge",2,58,21,3,8,4,0,96,139
48026,"Lethbridge/Lethbridge"," 401","Lethbridge",5,85,5,0,5,0,0,100,178
48026,"Lethbridge/Lethbridge"," 402","Lethbridge",2,108,28,4,15,1,2,160,238
48026,"Lethbridge/Lethbridge"," 403","Lethbridge",3,152,45,5,30,1,0,236,341
48026,"Lethbridge/Lethbridge"," 500","Mobile poll/Bureau itinérant",Results combined with no. 13/Résultats combinés au n° 13,,,,,,,,1
48026,"Lethbridge/Lethbridge"," 501","Mobile poll/Bureau itinérant",0,5,1,0,1,0,1,8,8
48026,"Lethbridge/Lethbridge"," 502","Mobile poll/Bureau itinérant",1,8,3,0,1,0,0,13,8
48026,"Lethbridge/Lethbridge"," 503","Mobile poll/Bureau itinérant",1,14,9,0,5,1,0,30,53
48026,"Lethbridge/Lethbridge"," 504","Mobile poll/Bureau itinérant",0,2,1,1,0,0,0,4,13
48026,"Lethbridge/Lethbridge"," 505","Mobile poll/Bureau itinérant",2,13,4,1,0,3,0,23,36
48026,"Lethbridge/Lethbridge"," 506","Mobile poll/Bureau itinérant",2,23,6,5,1,0,0,37,38
48026,"Lethbridge/Lethbridge"," 507","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,23
48026,"Lethbridge/Lethbridge"," 508","Mobile poll/Bureau itinérant",0,31,10,2,3,1,1,48,45
48026,"Lethbridge/Lethbridge"," 509","Mobile poll/Bureau itinérant",0,15,5,2,1,0,1,24,65
48026,"Lethbridge/Lethbridge"," 510","Mobile poll/Bureau itinérant",0,42,6,2,5,0,1,56,105
48026,"Lethbridge/Lethbridge"," 511","Mobile poll/Bureau itinérant",0,23,5,1,2,0,1,32,73
48026,"Lethbridge/Lethbridge"," 512","Mobile poll/Bureau itinérant",0,38,6,0,6,2,0,52,52
48026,"Lethbridge/Lethbridge"," 513","Mobile poll/Bureau itinérant",0,50,11,0,8,3,0,72,101
48026,"Lethbridge/Lethbridge"," 514","Mobile poll/Bureau itinérant",3,12,9,2,4,0,3,33,17
48026,"Lethbridge/Lethbridge"," 515","Mobile poll/Bureau itinérant",0,16,9,0,3,1,0,29,41
48026,"Lethbridge/Lethbridge"," 516","Mobile poll/Bureau itinérant",0,52,19,2,7,0,4,84,137
48026,"Lethbridge/Lethbridge"," 517","Mobile poll/Bureau itinérant",0,24,12,1,6,1,0,44,269
48026,"Lethbridge/Lethbridge"," 518","Mobile poll/Bureau itinérant",0,14,6,0,0,0,0,20,37
48026,"Lethbridge/Lethbridge"," 519","Mobile poll/Bureau itinérant",1,42,17,2,3,2,0,67,50
48026,"Lethbridge/Lethbridge"," 520","Mobile poll/Bureau itinérant",3,34,13,1,6,0,1,58,67
48026,"Lethbridge/Lethbridge"," 521","Mobile poll/Bureau itinérant",1,19,5,0,1,0,0,26,29
48026,"Lethbridge/Lethbridge"," 522","Mobile poll/Bureau itinérant",0,3,0,0,2,0,0,5,11
48026,"Lethbridge/Lethbridge"," 523","Mobile poll/Bureau itinérant",0,25,8,0,2,0,0,35,61
48026,"Lethbridge/Lethbridge"," 524","Mobile poll/Bureau itinérant",0,14,4,1,3,2,0,24,39
48026,"Lethbridge/Lethbridge"," 600","Lethbridge County--Picture Butte",48,629,51,144,45,6,2,925,
48026,"Lethbridge/Lethbridge"," 601","Lethbridge County--Coalhurst",22,772,87,92,75,8,4,1060,
48026,"Lethbridge/Lethbridge"," 602","Lethbridge",2,507,94,35,96,10,0,744,
48026,"Lethbridge/Lethbridge"," 603","Lethbridge",2,364,87,35,109,6,2,605,
48026,"Lethbridge/Lethbridge"," 604","Lethbridge",7,585,140,71,145,20,3,971,
