Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Olumide Adewumi,Earl Dreeshen,Marie Grabowski,Kelly Lorencz,Jared Pilon,Mark Wilcox,Clayten Willington,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 1","Benalto",12,80,31,11,0,4,0,1,139,384
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 2","Evarts",1,116,9,28,0,0,0,1,155,311
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 3","Red Deer County",5,90,13,35,1,0,0,0,144,390
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 4","Red Deer County",2,89,16,11,1,0,1,1,121,324
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 5","Red Deer",7,61,20,3,0,2,0,1,94,377
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 6","Red Deer",12,28,32,12,0,3,0,2,89,340
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 7","Red Deer",12,63,19,11,0,0,0,0,105,455
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 8","Red Deer",19,110,35,24,0,6,1,3,198,391
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 9","Red Deer",18,92,58,16,0,5,1,2,192,402
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 10","Red Deer",17,91,50,25,0,2,2,0,187,412
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 11","Red Deer",14,122,37,14,0,0,1,0,188,428
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 12","Red Deer",12,77,58,34,1,3,1,1,187,430
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 13","Red Deer",7,89,58,22,0,6,1,0,183,421
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 14","Red Deer",20,99,39,16,0,4,0,1,179,395
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 15","Red Deer",13,103,62,10,0,3,1,0,192,420
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 16","Red Deer",25,125,46,13,0,4,0,2,215,436
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 17","Red Deer",7,82,56,14,2,4,2,1,168,406
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 18","Red Deer",15,117,68,33,1,4,3,1,242,385
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 19","Red Deer",13,99,44,20,0,4,1,1,182,456
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 20","Red Deer",23,89,35,17,0,4,4,1,173,410
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 21","Red Deer",24,120,55,33,2,3,0,0,237,526
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 22","Red Deer",16,110,62,16,2,1,4,3,214,428
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 23","Red Deer",14,107,23,25,0,8,1,0,178,424
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 24","Red Deer",13,71,49,18,0,0,0,1,152,377
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 25","Red Deer",5,107,21,22,0,3,2,0,160,359
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 26","Red Deer",18,80,35,25,0,3,1,1,163,365
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 27","Red Deer",14,75,39,20,1,2,0,0,151,307
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 28","Red Deer",19,70,43,9,0,3,3,0,147,407
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 29","Red Deer",16,78,26,20,1,5,1,0,147,409
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 30","Red Deer",21,84,47,13,1,5,0,2,173,371
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 31","Red Deer",7,82,35,33,1,3,3,1,165,379
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 32","Red Deer",14,107,32,30,0,8,1,1,193,380
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 33A","Red Deer",18,35,25,12,1,1,1,1,94,268
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 33B","Mobile poll/Bureau itinérant",6,25,12,1,0,2,0,1,47,58
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 34","Red Deer",22,75,48,21,0,5,2,0,173,405
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 35","Red Deer",15,61,15,5,0,0,2,1,99,234
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 36","Red Deer",21,79,42,12,0,1,1,0,156,342
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 37","Red Deer",19,122,35,15,1,1,2,0,195,416
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 38","Red Deer",7,97,33,11,0,1,1,0,150,356
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 39","Red Deer",11,89,26,8,0,3,0,0,137,366
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 40","Red Deer",6,92,29,10,0,0,1,0,138,403
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 41","Red Deer",8,120,38,13,2,3,0,0,184,416
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 42","Red Deer",20,109,37,15,1,2,2,0,186,480
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 43","Red Deer",15,103,55,28,0,4,2,1,208,391
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 44","Red Deer",15,95,41,25,0,3,1,3,183,365
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 45","Red Deer",15,102,20,18,0,7,1,1,164,324
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 46","Red Deer",17,96,43,27,2,4,1,1,191,411
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 47","Red Deer",27,105,35,14,0,4,1,0,186,364
