Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Todd Doherty,Garth Frizzell,Jeremy Gustafson,Leigh Hunsinger-Chang,Audrey McKinnon,Henry Thiessen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59004,"Cariboo--Prince George/Cariboo--Prince George"," 1","Braeside--Fondeur 9",83,11,10,3,7,0,0,114,352
59004,"Cariboo--Prince George/Cariboo--Prince George"," 2","Dog Creek",91,10,3,4,21,1,0,130,426
59004,"Cariboo--Prince George/Cariboo--Prince George"," 3","Vanderhoof",102,14,24,6,21,1,0,168,448
59004,"Cariboo--Prince George/Cariboo--Prince George"," 4","Vanderhoof",54,14,6,0,17,1,0,92,319
59004,"Cariboo--Prince George/Cariboo--Prince George"," 5","Vanderhoof",47,9,10,8,23,1,0,98,291
59004,"Cariboo--Prince George/Cariboo--Prince George"," 6","Chilco",81,10,18,2,11,1,2,125,419
59004,"Cariboo--Prince George/Cariboo--Prince George"," 7","Vanderhoof",86,18,11,8,34,3,0,160,479
59004,"Cariboo--Prince George/Cariboo--Prince George"," 8","Weneez",100,14,18,1,14,0,0,147,486
59004,"Cariboo--Prince George/Cariboo--Prince George"," 9","Stony Creek 1--Laketown 3",A poll could not be held due to pandemic or emergency situation./Le scrutin n'a pas pu avoir lieu en raison de la pandémie ou d'une situation d'urgence.,,,,,,,,220
59004,"Cariboo--Prince George/Cariboo--Prince George"," 10","Vanderhoof",39,4,9,2,12,1,0,67,280
59004,"Cariboo--Prince George/Cariboo--Prince George"," 11","Vanderhoof",74,16,15,5,15,3,1,129,418
59004,"Cariboo--Prince George/Cariboo--Prince George"," 12","Weneez",79,10,19,6,26,1,1,142,480
59004,"Cariboo--Prince George/Cariboo--Prince George"," 13","Vanderhoof",67,11,11,6,15,0,1,111,378
59004,"Cariboo--Prince George/Cariboo--Prince George"," 14","Nulki",63,10,6,3,18,2,0,102,320
59004,"Cariboo--Prince George/Cariboo--Prince George"," 15","Finmoore",136,37,13,6,37,1,0,230,500
59004,"Cariboo--Prince George/Cariboo--Prince George"," 16","Mapes",79,5,28,0,3,2,0,117,254
59004,"Cariboo--Prince George/Cariboo--Prince George"," 17","Miworth",49,22,6,5,17,0,0,99,247
59004,"Cariboo--Prince George/Cariboo--Prince George"," 18","Miworth",67,17,9,7,22,0,1,123,296
59004,"Cariboo--Prince George/Cariboo--Prince George"," 19","Prince George",87,26,11,5,29,0,0,158,437
59004,"Cariboo--Prince George/Cariboo--Prince George"," 20","Prince George",77,35,11,6,44,0,1,174,485
59004,"Cariboo--Prince George/Cariboo--Prince George"," 21","Prince George",68,22,3,6,55,0,1,155,437
59004,"Cariboo--Prince George/Cariboo--Prince George"," 22","Prince George",63,39,10,4,54,0,0,170,377
59004,"Cariboo--Prince George/Cariboo--Prince George"," 23","Prince George",48,27,11,2,33,0,0,121,414
59004,"Cariboo--Prince George/Cariboo--Prince George"," 24","Prince George",81,36,9,4,44,0,0,174,442
59004,"Cariboo--Prince George/Cariboo--Prince George"," 25","Prince George",48,39,12,8,50,0,0,157,459
59004,"Cariboo--Prince George/Cariboo--Prince George"," 26","Prince George",35,23,5,14,34,1,1,113,385
59004,"Cariboo--Prince George/Cariboo--Prince George"," 27","Prince George",76,30,5,3,41,0,1,156,415
59004,"Cariboo--Prince George/Cariboo--Prince George"," 28","Prince George",42,23,4,12,34,0,0,115,348
59004,"Cariboo--Prince George/Cariboo--Prince George"," 29","Prince George",66,29,16,6,63,0,0,180,489
59004,"Cariboo--Prince George/Cariboo--Prince George"," 30","Prince George",36,29,13,5,46,0,2,131,407
59004,"Cariboo--Prince George/Cariboo--Prince George"," 31","Prince George",54,36,15,10,51,1,1,168,550
59004,"Cariboo--Prince George/Cariboo--Prince George"," 32","Prince George",95,33,6,6,59,1,1,201,519
59004,"Cariboo--Prince George/Cariboo--Prince George"," 33","Prince George",49,19,8,8,50,0,0,134,523
59004,"Cariboo--Prince George/Cariboo--Prince George"," 34","Prince George",55,29,11,11,66,1,1,174,523
59004,"Cariboo--Prince George/Cariboo--Prince George"," 35","Prince George",63,44,6,3,54,0,0,170,466
59004,"Cariboo--Prince George/Cariboo--Prince George"," 36","Prince George",58,35,8,4,47,0,0,152,412
59004,"Cariboo--Prince George/Cariboo--Prince George"," 37","Prince George",64,45,18,10,39,0,0,176,464
59004,"Cariboo--Prince George/Cariboo--Prince George"," 38","Prince George",56,30,8,10,50,0,1,155,447
59004,"Cariboo--Prince George/Cariboo--Prince George"," 39","Prince George",52,37,8,9,37,0,3,146,441
59004,"Cariboo--Prince George/Cariboo--Prince George"," 40","Prince George",42,17,9,7,49,0,3,127,389
59004,"Cariboo--Prince George/Cariboo--Prince George"," 41","Prince George",57,23,10,7,75,0,0,172,503
59004,"Cariboo--Prince George/Cariboo--Prince George"," 42","Prince George",33,22,11,3,44,0,0,113,387
59004,"Cariboo--Prince George/Cariboo--Prince George"," 43","Prince George",55,25,7,5,44,0,0,136,395
59004,"Cariboo--Prince George/Cariboo--Prince George"," 44","Prince George",33,16,5,6,22,0,1,83,340
59004,"Cariboo--Prince George/Cariboo--Prince George"," 45","Prince George",38,19,6,9,53,1,0,126,399
59004,"Cariboo--Prince George/Cariboo--Prince George"," 46","Prince George",31,22,5,4,38,1,0,101,348
59004,"Cariboo--Prince George/Cariboo--Prince George"," 47","Prince George",55,29,5,12,44,0,1,146,450
59004,"Cariboo--Prince George/Cariboo--Prince George"," 48","Prince George",66,30,4,12,48,1,2,163,437
59004,"Cariboo--Prince George/Cariboo--Prince George"," 49","Prince George",83,43,7,7,62,0,0,202,529
59004,"Cariboo--Prince George/Cariboo--Prince George"," 50","Prince George",72,35,13,12,50,0,0,182,628
59004,"Cariboo--Prince George/Cariboo--Prince George"," 51","Prince George",87,28,16,11,55,0,0,197,514
59004,"Cariboo--Prince George/Cariboo--Prince George"," 52","Prince George",42,30,10,10,44,0,3,139,414
59004,"Cariboo--Prince George/Cariboo--Prince George"," 53","Prince George",34,13,9,3,24,1,0,84,427
59004,"Cariboo--Prince George/Cariboo--Prince George"," 54","Prince George",26,23,11,8,29,0,0,97,459
59004,"Cariboo--Prince George/Cariboo--Prince George"," 55","Prince George",18,12,10,4,28,1,2,75,467
59004,"Cariboo--Prince George/Cariboo--Prince George"," 56","Prince George",24,31,5,6,35,1,0,102,438
59004,"Cariboo--Prince George/Cariboo--Prince George"," 57","Prince George",23,32,16,14,46,1,0,132,412
59004,"Cariboo--Prince George/Cariboo--Prince George"," 58","Prince George",41,21,19,7,40,0,0,128,544
59004,"Cariboo--Prince George/Cariboo--Prince George"," 59","Prince George",28,17,13,7,49,0,0,114,464
59004,"Cariboo--Prince George/Cariboo--Prince George"," 60","Prince George",22,12,6,8,26,0,1,75,450
59004,"Cariboo--Prince George/Cariboo--Prince George"," 61","Prince George",39,29,7,4,28,0,0,107,483
59004,"Cariboo--Prince George/Cariboo--Prince George"," 62","Prince George",42,38,8,13,54,0,0,155,432
