Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Albas,Sarah Eves,Kathryn Mcdonald,Joan Phillip,Brennan Wauters,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 1","Logan Lake",95,22,12,44,9,0,182,546
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 2","Logan Lake",56,28,7,36,11,1,139,477
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 3","Logan Lake",40,18,10,34,4,0,106,399
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 4","Logan Lake",60,18,7,29,4,2,120,428
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 5","Lower Nicola",130,23,20,39,6,0,218,415
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 6","Shulus",103,21,23,91,2,0,240,605
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 7","Merritt",95,33,16,36,2,0,182,525
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 8","Coutlee--Merritt",49,10,6,70,2,1,138,392
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 9","Lower Nicola",126,20,19,39,4,1,209,463
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 10","Merritt",71,25,8,28,2,0,134,461
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 11","Merritt",83,18,9,36,5,0,151,487
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 12","Merritt",62,30,6,30,7,0,135,351
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 13","Merritt",89,27,13,26,2,0,157,407
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 14","Merritt",60,23,20,38,4,1,146,427
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 15","Merritt",99,32,16,42,4,0,193,569
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 16","Merritt",84,37,15,40,1,0,177,590
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 17","Merritt",75,26,5,44,3,0,153,503
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 18","Merritt",45,27,9,68,7,0,156,480
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 19","Merritt",81,31,19,58,3,3,195,590
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 20","Merritt",97,23,14,50,8,0,192,547
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 21","Quilchena",78,11,12,41,4,1,147,494
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 22","Merritt",102,19,14,69,3,2,209,598
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 23","Killiney Beach",118,48,24,29,8,0,227,483
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 24","Killiney Beach",140,33,44,29,8,1,255,514
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 25","Fintry",160,47,40,62,10,0,319,628
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 26","Wilson Landing",80,25,6,29,4,0,144,414
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 27A","Westside",Merged with No./Fusionné avec le n°28,,,,,,,142
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 27B","Westside",155,49,20,63,13,1,301,597
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 28","West Kelowna",114,56,15,40,7,1,233,375
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 29A","West Kelowna",Merged with No./Fusionné avec le n°28,,,,,,,83
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 29B","West Kelowna",Merged with No./Fusionné avec le n°26,,,,,,,179
