Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Katerina Anastasiadis,Kimberly Brundell,Laura Dupont,Ron McKinnon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 1","Coquitlam",43,4,26,44,0,117,369
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 2","Coquitlam",27,4,23,62,0,116,432
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 3","Coquitlam",55,3,39,69,0,166,460
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 4","Coquitlam",54,1,19,73,0,147,398
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 5","Coquitlam",48,2,18,65,0,133,392
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 6","Coquitlam",48,7,27,88,0,170,378
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 7","Coquitlam",43,4,20,67,1,135,435
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 8","Coquitlam",39,10,16,54,1,120,381
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 9","Coquitlam",45,1,40,66,2,154,556
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 10","Coquitlam",44,3,11,54,3,115,401
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 11","Coquitlam",91,5,56,84,0,236,642
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 12","Coquitlam",98,2,44,108,0,252,569
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 13","Coquitlam",66,6,44,48,1,165,480
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 14","Coquitlam",51,4,60,49,1,165,391
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 15","Coquitlam",64,2,49,75,0,190,537
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 16","Coquitlam",28,7,76,53,0,164,407
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 17","Coquitlam",29,1,37,57,0,124,424
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 18","Coquitlam",45,11,46,62,0,164,426
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 19","Coquitlam",62,0,44,87,3,196,480
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 20","Coquitlam",53,1,25,63,2,144,421
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 21","Coquitlam",47,0,21,42,2,112,355
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 22","Coquitlam",40,11,30,68,2,151,384
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 23","Coquitlam",43,2,21,54,0,120,377
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 24","Coquitlam",30,1,33,82,0,146,410
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 25","Coquitlam",46,5,19,69,0,139,383
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 26","Coquitlam",71,13,33,114,1,232,505
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 27","Coquitlam",34,2,23,43,1,103,334
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 28","Coquitlam",20,4,21,51,0,96,396
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 29","Coquitlam",38,5,37,66,0,146,472
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 30","Coquitlam",67,3,14,65,1,150,463
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 31","Coquitlam",56,8,24,56,1,145,409
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 32","Coquitlam",40,5,19,52,0,116,433
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 33","Coquitlam",44,3,20,93,0,160,514
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 34","Coquitlam",45,4,18,51,0,118,458
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 35","Coquitlam",35,5,38,72,1,151,528
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 36","Coquitlam",38,3,15,50,0,106,387
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 37","Coquitlam",38,4,27,62,1,132,475
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 38","Coquitlam",26,5,35,62,0,128,481
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 39","Coquitlam",28,2,25,45,3,103,450
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 40","Coquitlam",23,3,12,45,0,83,408
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 41","Coquitlam",34,1,40,45,1,121,376
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 42","Coquitlam",17,5,28,59,2,111,364
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 43","Coquitlam",46,4,28,44,1,123,366
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 44","Coquitlam",47,3,26,55,2,133,369
