Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rayna Boychuk,Michael Chang,Kaija Farstad,Kim Richter,Tako Van Popta,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59016,"Langley--Aldergrove/Langley--Aldergrove"," 1","Langley",7,37,7,37,48,0,136,461
59016,"Langley--Aldergrove/Langley--Aldergrove"," 2","Langley",5,30,10,34,61,0,140,365
59016,"Langley--Aldergrove/Langley--Aldergrove"," 3","Langley",3,59,8,43,59,2,174,437
59016,"Langley--Aldergrove/Langley--Aldergrove"," 4","Langley",2,51,6,43,58,1,161,398
59016,"Langley--Aldergrove/Langley--Aldergrove"," 5","Langley",9,54,7,50,84,0,204,570
59016,"Langley--Aldergrove/Langley--Aldergrove"," 6","Langley",3,44,12,53,74,0,186,454
59016,"Langley--Aldergrove/Langley--Aldergrove"," 7","Langley",6,44,5,45,79,0,179,486
59016,"Langley--Aldergrove/Langley--Aldergrove"," 8","Langley",1,51,6,48,81,0,187,461
59016,"Langley--Aldergrove/Langley--Aldergrove"," 9","Langley",14,40,8,40,100,0,202,492
59016,"Langley--Aldergrove/Langley--Aldergrove"," 10","Langley",10,44,6,62,102,0,224,573
59016,"Langley--Aldergrove/Langley--Aldergrove"," 11","Langley",6,40,7,49,84,1,187,441
59016,"Langley--Aldergrove/Langley--Aldergrove"," 12","Langley",5,47,10,40,56,0,158,563
59016,"Langley--Aldergrove/Langley--Aldergrove"," 13","Langley",4,40,6,56,91,1,198,474
59016,"Langley--Aldergrove/Langley--Aldergrove"," 14","Langley",2,24,8,27,71,0,132,426
59016,"Langley--Aldergrove/Langley--Aldergrove"," 15","Langley",7,36,9,48,94,0,194,430
59016,"Langley--Aldergrove/Langley--Aldergrove"," 16","Langley",5,38,5,48,59,0,155,395
59016,"Langley--Aldergrove/Langley--Aldergrove"," 17","Langley",8,41,4,57,53,1,164,438
59016,"Langley--Aldergrove/Langley--Aldergrove"," 18","Langley",9,44,7,38,45,1,144,573
59016,"Langley--Aldergrove/Langley--Aldergrove"," 19","Langley",6,32,6,47,63,1,155,419
59016,"Langley--Aldergrove/Langley--Aldergrove"," 20","Langley",7,41,11,43,56,1,159,449
