Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lisa Marie Barron,Michelle Corfield,Tamara Kronis,Paul Manly,Stephen Welton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 1","Lantzville",75,33,38,45,7,1,199,563
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 2","Lantzville",31,24,51,50,3,0,159,374
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 3","Lantzville",38,24,41,39,2,0,144,301
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 4","Lantzville",25,32,43,74,3,0,177,349
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 5","Lantzville",57,23,59,56,8,1,204,388
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 6","Lantzville",35,22,67,42,8,0,174,373
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 7","Lantzville",35,30,40,38,7,1,151,389
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 8","Lantzville",50,26,84,46,8,0,214,616
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 9","Lantzville",36,22,64,25,2,0,149,430
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 10","Nanaimo",34,38,75,45,4,1,197,450
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 11","Nanaimo",18,33,40,17,3,1,112,431
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 12","Nanaimo",35,13,49,20,0,0,117,395
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 13","Nanaimo",30,27,29,26,4,0,116,428
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 14","Nanaimo",Merged with No./Fusionné avec le n°10,,,,,,,341
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 15","Nanaimo",26,16,20,17,9,1,89,333
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 16","Nanaimo",26,19,37,29,3,1,115,363
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 17","Nanaimo",29,16,23,14,10,0,92,402
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 18","Nanaimo",33,21,45,24,9,0,132,510
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 19","Nanaimo",48,21,46,35,3,1,154,394
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 20","Nanaimo",30,13,44,30,7,2,126,420
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 21","Nanaimo",30,17,49,31,5,0,132,400
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 22","Nanaimo",67,46,41,44,3,1,202,422
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 23","Nanaimo",40,25,46,34,4,0,149,467
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 24","Nanaimo",43,20,41,34,5,0,143,471
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 25","Nanaimo",32,13,29,25,3,0,102,397
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 26","Nanaimo",Merged with No./Fusionné avec le n°36,,,,,,,228
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 27","Nanaimo",41,20,41,43,4,0,149,497
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 28","Nanaimo",25,8,34,15,6,1,89,341
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 29","Nanaimo",57,29,59,45,4,0,194,427
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 30","Nanaimo",35,28,36,51,8,0,158,452
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 31A","Nanaimo",30,15,43,23,3,0,114,383
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 31B","Nanaimo",32,11,41,28,3,1,116,348
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 32","Nanaimo",Merged with No./Fusionné avec le n°22,,,,,,,394
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 33","Nanaimo",41,24,35,28,4,2,134,466
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 34","Nanaimo",53,39,48,33,5,0,178,435
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 35A","Nanaimo",35,12,14,27,4,0,92,408
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 35B","Nanaimo",27,23,38,21,6,1,116,406
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 36","Nanaimo",43,20,28,37,2,0,130,376
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 37","Nanaimo",37,21,40,21,3,0,122,490
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 38","Nanaimo",52,22,63,39,8,0,184,468
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 39","Nanaimo",40,36,47,22,4,3,152,570
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 40","Nanaimo",46,37,39,27,9,0,158,495
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 41","Nanaimo",59,21,62,30,9,0,181,545
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 42","Nanaimo",50,10,44,25,6,0,135,461
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 43","Nanaimo",22,27,49,26,2,1,127,431
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 44","Nanaimo",37,11,38,22,4,0,112,385
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 45","Nanaimo",Merged with No./Fusionné avec le n°34,,,,,,,356
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 46","Nanaimo",46,30,51,24,2,1,154,506
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 47","Extension",47,25,70,50,24,0,216,546
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 48","Extension",76,25,69,42,5,0,217,514
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 49","Nanaimo",67,26,72,49,8,0,222,606
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 50","Nanaimo",87,27,78,59,8,0,259,548
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 51","Nanaimo",45,24,59,38,11,0,177,462
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 52","Nanaimo",91,19,54,29,23,0,216,603
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 53","Cinnabar Valley",99,14,57,46,14,1,231,482
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 54","South Wellington",36,14,46,28,3,0,127,449
