Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevin Heide,Rozina Jaffer,Peter Julian,David Macdonald,Paige Munro,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 1","Burnaby",8,59,58,2,20,1,148,363
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 2","Burnaby",9,89,145,9,84,6,342,843
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 3","Burnaby",Void/Supprimé,,,,,,,
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 4","Burnaby",7,71,85,9,49,1,222,503
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 5","Burnaby",8,67,85,6,41,0,207,443
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 6","Burnaby",1,45,47,3,53,0,149,380
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 7","Burnaby",2,41,50,4,61,0,158,388
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 8","Burnaby",Merged with No./Fusionné avec le n°9,,,,,,,483
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 9","Burnaby",10,77,123,5,72,2,289,498
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 10","Burnaby",7,47,78,2,53,1,188,521
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 11","Burnaby",3,48,65,10,42,1,169,433
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 12","Burnaby",7,37,51,2,27,4,128,387
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 13","Burnaby",Merged with No./Fusionné avec le n°14,,,,,,,468
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 14","Burnaby",20,81,79,7,50,0,237,570
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 15","Burnaby",5,30,47,6,20,0,108,505
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 16","Burnaby",8,54,63,4,35,0,164,630
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 17","Burnaby",6,29,46,8,21,0,110,382
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 18","Burnaby",2,27,50,3,49,0,131,468
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 19","Burnaby",2,48,68,5,36,1,160,475
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 20","Burnaby",4,49,111,6,37,0,207,543
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 21","Burnaby",1,25,50,8,23,1,108,327
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 22","Burnaby",13,38,73,4,51,0,179,459
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 23","Burnaby",1,26,61,5,38,0,131,446
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 24","Burnaby",2,32,79,8,38,0,159,413
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 25","Burnaby",3,27,69,1,35,0,135,477
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 26","Burnaby",4,29,83,6,30,0,152,434
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 27","Burnaby",6,46,50,7,55,0,164,471
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 28","Burnaby",6,48,68,5,39,0,166,510
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 29","New Westminster",3,29,62,14,26,3,137,379
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 30","New Westminster",2,32,68,7,31,0,140,448
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 31","New Westminster",3,18,48,2,24,0,95,408
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 32","Burnaby",0,52,55,2,44,0,153,489
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 33","Burnaby",Merged with No./Fusionné avec le n°32,,,,,,,342
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 34","Burnaby",Merged with No./Fusionné avec le n°35,,,,,,,361
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 35","Burnaby",11,103,133,9,65,5,326,487
