Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rob Anderson,Laura Anne Frost,Randall Garrison,Harley Gordon,Doug Kobayashi,Tyson Riel Strandlund,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 1","Shirley",27,49,86,27,37,2,0,228,443
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 2","Juan de Fuca",4,48,70,25,49,0,2,198,457
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 3","Saanich",7,48,53,28,29,0,1,166,411
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 4","Saanich",7,52,63,9,34,1,0,166,523
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 5","Saanich",10,35,66,25,28,0,0,164,486
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 6","Saanich",3,52,46,21,44,0,0,166,471
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 7","Saanich",6,51,26,22,41,0,0,146,453
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 8","Saanich",4,42,42,23,25,1,0,137,447
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 9","Saanich",5,37,59,15,41,0,0,157,482
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 10","Saanich",8,39,74,32,59,0,0,212,594
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 11","View Royal",8,48,67,17,45,0,1,186,564
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 12","View Royal",3,50,93,24,60,0,1,231,716
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 13","View Royal",6,28,59,7,45,0,0,145,409
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 14","View Royal",6,51,89,35,48,2,1,232,592
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 15","Sooke",8,66,90,18,36,0,1,219,653
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 16","Sooke",15,40,57,17,36,0,1,166,561
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 17","Sooke",7,49,72,11,31,0,1,171,585
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 18","Sooke",12,58,116,16,53,0,0,255,759
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 19","Sooke",10,64,96,9,25,0,0,204,767
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 20","Sooke",9,35,58,10,21,0,0,133,567
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 21","Sooke",12,66,76,10,36,0,0,200,516
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 22","Sooke",14,49,111,28,42,1,1,246,640
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 23","Sooke",29,37,71,21,23,1,0,182,590
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 24","Sooke",11,40,59,16,23,0,2,151,418
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 25","Sooke",13,42,47,14,29,3,0,148,460
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 26","Saanich",1,10,26,16,17,0,0,70,200
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 27","Saanich",1,34,55,6,45,0,0,141,425
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 28","Saanich",7,61,86,18,49,0,1,222,605
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 29","Saanich",9,59,122,32,102,2,0,326,767
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 30","Saanich",5,47,70,18,59,0,0,199,467
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 31","Saanich",7,43,51,10,50,1,3,165,459
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 32","Saanich",9,45,76,29,44,0,1,204,527
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 33","Saanich",3,55,95,20,67,1,1,242,592
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 34","Juan de Fuca",22,64,105,18,39,1,1,250,631
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 35","Juan de Fuca",14,36,76,17,29,0,0,172,434
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 36","Otter Point",20,38,55,19,14,0,1,147,398
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 37","Otter Point",14,29,50,11,32,0,0,136,357
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 38","Saanich",14,47,81,22,55,0,0,219,503
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 39","Saanich",9,51,105,27,49,0,0,241,706
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 40","Saanich",9,30,96,14,53,0,2,204,466
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 41","Saanich",4,30,73,9,42,0,0,158,456
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 42","Saanich",7,40,78,17,46,0,0,188,552
