Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kerry-Lynne Findlay,Gordie Hogg,Gary Jensen,June Liu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 1","Surrey",103,122,3,27,0,255,521
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 2","Surrey",127,129,11,36,4,307,586
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 3","Surrey",77,191,5,37,2,312,615
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 4","Surrey",121,208,11,49,0,389,443
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 5","Surrey",Merged with No./Fusionné avec le n°4,,,,,,471
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 6","Surrey",62,89,7,32,1,191,427
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 7","Surrey",55,130,5,27,1,218,758
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 8","Surrey",83,55,6,10,0,154,402
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 9","Surrey",88,103,11,38,1,241,868
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 10","Surrey",107,95,12,28,3,245,630
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 11","Surrey",77,30,10,15,0,132,353
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 12","Surrey",111,65,7,45,1,229,664
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 13","Surrey",105,113,7,38,4,267,580
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 14","Surrey",74,60,3,24,0,161,488
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 15","Surrey",86,83,0,23,2,194,560
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 16","Surrey",86,76,4,23,0,189,408
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 17","Surrey",88,52,7,19,0,166,454
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 18","Surrey",65,86,6,33,2,192,415
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 19","Surrey",90,87,2,34,0,213,444
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 20","Surrey",70,61,2,35,2,170,358
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 21","Surrey",65,60,4,17,0,146,309
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 22","Surrey",53,60,11,32,1,157,348
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 23","Surrey",84,89,7,17,0,197,391
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 24","Surrey",72,71,6,27,1,177,444
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 25","Surrey",74,76,8,27,0,185,407
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 26","Surrey",69,64,9,28,0,170,348
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 27","Surrey",58,38,4,13,0,113,317
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 28","Surrey",92,94,3,26,0,215,383
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 29","Surrey",74,58,0,24,1,157,358
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 30","Surrey",43,49,5,21,0,118,379
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 31","Surrey",91,68,5,21,0,185,598
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 32","Surrey",45,75,4,55,1,180,427
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 33","Surrey",63,60,0,16,0,139,437
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 34","Surrey",68,47,7,13,0,135,382
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 35","Surrey",75,81,5,49,0,210,618
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 36","Surrey",95,40,10,11,1,157,401
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 37","Surrey",87,58,5,22,1,173,387
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 38","Surrey",122,99,15,22,1,259,599
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 39","Surrey",74,55,10,18,0,157,508
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 40","Surrey",73,44,0,9,0,126,362
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 41","Surrey",57,73,6,31,0,167,419
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 42","Surrey",127,82,5,23,1,238,486
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 43","Surrey",70,65,7,23,0,165,459
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 44","Surrey",71,52,3,24,1,151,421
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 45","Surrey",85,61,2,16,1,165,415
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 46","Surrey",58,67,3,41,0,169,465
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 47","Surrey",69,79,4,28,0,180,502
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 48","Surrey",70,68,2,28,0,168,438
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 49","Surrey",Merged with No./Fusionné avec le n°95,,,,,,426
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 50","Surrey",48,38,1,11,2,100,461
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 51","Surrey",73,67,4,28,0,172,641
