Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Arshad Awan,Mark Holland,Monique Hughes,Leigh Paulseth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35001,"Ajax/Ajax"," 1","Ajax",86,184,36,3,2,311,587
35001,"Ajax/Ajax"," 2","Ajax",50,160,36,7,2,255,594
35001,"Ajax/Ajax"," 3","Ajax",57,185,43,1,1,287,543
35001,"Ajax/Ajax"," 4","Ajax",Merged with No./Fusionné avec le n°7,,,,,,479
35001,"Ajax/Ajax"," 5","Ajax",56,225,23,6,2,312,571
35001,"Ajax/Ajax"," 6","Ajax",Merged with No./Fusionné avec le n°3,,,,,,506
35001,"Ajax/Ajax"," 7","Ajax",52,198,26,9,0,285,571
35001,"Ajax/Ajax"," 8","Ajax",57,199,51,1,3,311,582
35001,"Ajax/Ajax"," 9","Ajax",Merged with No./Fusionné avec le n°1,,,,,,473
35001,"Ajax/Ajax"," 10","Ajax",Merged with No./Fusionné avec le n°2,,,,,,375
35001,"Ajax/Ajax"," 11","Ajax",Merged with No./Fusionné avec le n°8,,,,,,427
35001,"Ajax/Ajax"," 12","Ajax",Merged with No./Fusionné avec le n°5,,,,,,490
35001,"Ajax/Ajax"," 13","Ajax",Merged with No./Fusionné avec le n°14,,,,,,523
35001,"Ajax/Ajax"," 14","Ajax",62,215,31,5,6,319,545
35001,"Ajax/Ajax"," 15","Ajax",Merged with No./Fusionné avec le n°17,,,,,,438
35001,"Ajax/Ajax"," 16","Ajax",51,193,24,4,4,276,778
35001,"Ajax/Ajax"," 17","Ajax",61,199,44,7,8,319,522
35001,"Ajax/Ajax"," 18","Ajax",57,170,32,4,4,267,579
35001,"Ajax/Ajax"," 19","Ajax",45,227,26,3,0,301,547
35001,"Ajax/Ajax"," 20","Ajax",60,232,28,3,2,325,533
35001,"Ajax/Ajax"," 21","Ajax",Merged with No./Fusionné avec le n°24,,,,,,470
35001,"Ajax/Ajax"," 22","Ajax",Merged with No./Fusionné avec le n°19,,,,,,498
35001,"Ajax/Ajax"," 23","Ajax",Merged with No./Fusionné avec le n°18,,,,,,410
35001,"Ajax/Ajax"," 24","Ajax",55,228,44,7,7,341,561
35001,"Ajax/Ajax"," 25","Ajax",Merged with No./Fusionné avec le n°26,,,,,,527
35001,"Ajax/Ajax"," 26","Ajax",79,220,26,2,4,331,546
35001,"Ajax/Ajax"," 27","Ajax",42,239,40,2,1,324,571
35001,"Ajax/Ajax"," 28","Ajax",Merged with No./Fusionné avec le n°27,,,,,,450
35001,"Ajax/Ajax"," 29","Ajax",87,183,35,1,3,309,598
35001,"Ajax/Ajax"," 30","Ajax",Merged with No./Fusionné avec le n°29,,,,,,501
35001,"Ajax/Ajax"," 31","Ajax",34,109,19,3,2,167,562
35001,"Ajax/Ajax"," 32","Ajax",38,159,28,7,2,234,566
35001,"Ajax/Ajax"," 33","Ajax",48,179,32,5,1,265,480
35001,"Ajax/Ajax"," 34","Ajax",Merged with No./Fusionné avec le n°33,,,,,,438
35001,"Ajax/Ajax"," 35","Ajax",Merged with No./Fusionné avec le n°36,,,,,,482
35001,"Ajax/Ajax"," 36","Ajax",43,153,39,8,2,245,488
35001,"Ajax/Ajax"," 37","Ajax",52,182,37,7,1,279,516
35001,"Ajax/Ajax"," 38","Ajax",33,94,22,7,0,156,572
35001,"Ajax/Ajax"," 39","Ajax",Merged with No./Fusionné avec le n°37,,,,,,470
35001,"Ajax/Ajax"," 40","Ajax",82,174,36,4,0,296,553
35001,"Ajax/Ajax"," 41","Ajax",Merged with No./Fusionné avec le n°40,,,,,,486
35001,"Ajax/Ajax"," 42","Ajax",52,124,28,0,1,205,603
35001,"Ajax/Ajax"," 43","Ajax",47,173,39,9,0,268,530
35001,"Ajax/Ajax"," 44","Ajax",Merged with No./Fusionné avec le n°43,,,,,,400
35001,"Ajax/Ajax"," 45","Ajax",82,184,40,5,0,311,567
35001,"Ajax/Ajax"," 46","Ajax",Merged with No./Fusionné avec le n°45,,,,,,491
35001,"Ajax/Ajax"," 47","Ajax",53,144,32,5,2,236,521
35001,"Ajax/Ajax"," 48","Ajax",Merged with No./Fusionné avec le n°20,,,,,,531
35001,"Ajax/Ajax"," 49","Ajax",Merged with No./Fusionné avec le n°50,,,,,,495
35001,"Ajax/Ajax"," 50","Ajax",63,117,45,9,7,241,527
35001,"Ajax/Ajax"," 51","Ajax",49,189,27,2,8,275,577
35001,"Ajax/Ajax"," 52","Ajax",29,133,28,3,0,193,801
35001,"Ajax/Ajax"," 53","Ajax",51,231,40,4,2,328,1068
35001,"Ajax/Ajax"," 54","Ajax",Merged with No./Fusionné avec le n°51,,,,,,556
35001,"Ajax/Ajax"," 55","Ajax",19,109,10,1,1,140,601
35001,"Ajax/Ajax"," 56","Ajax",Merged with No./Fusionné avec le n°57,,,,,,409
35001,"Ajax/Ajax"," 57","Ajax",67,172,49,8,0,296,457
35001,"Ajax/Ajax"," 58","Ajax",Merged with No./Fusionné avec le n°59,,,,,,371
35001,"Ajax/Ajax"," 59","Ajax",63,163,36,5,0,267,441
35001,"Ajax/Ajax"," 60","Ajax",51,138,52,5,3,249,396
35001,"Ajax/Ajax"," 61","Ajax",Merged with No./Fusionné avec le n°60,,,,,,385
35001,"Ajax/Ajax"," 62","Ajax",37,68,30,3,1,139,552
35001,"Ajax/Ajax"," 63","Ajax",Merged with No./Fusionné avec le n°64,,,,,,413
35001,"Ajax/Ajax"," 64","Ajax",58,141,27,7,0,233,433
