Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Combined with No./Résultats combinés à ceux du n°,Rejected Ballots for poll/Bulletins rejetés du bureau,Electors for poll/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Vote Count/Votes du candidat
48011,"Calgary Nose Hill","Calgary Nose Hill"," 1","Calgary",N,N,"",1,769,"Askin","","Peggy","Marxist-Leninist","Marxiste-Léniniste",N,N,1
48011,"Calgary Nose Hill","Calgary Nose Hill"," 1","Calgary",N,N,"",1,769,"Becker","","Tom","Liberal","Libéral",N,N,81
48011,"Calgary Nose Hill","Calgary Nose Hill"," 1","Calgary",N,N,"",1,769,"Fach","","Addison","Green Party","Parti Vert",N,N,0
48011,"Calgary Nose Hill","Calgary Nose Hill"," 1","Calgary",N,N,"",1,769,"Khan","","Ahmed","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,3
48011,"Calgary Nose Hill","Calgary Nose Hill"," 1","Calgary",N,N,"",1,769,"Rempel Garner","","Michelle","Conservative","Conservateur",N,Y,126
48011,"Calgary Nose Hill","Calgary Nose Hill"," 1","Calgary",N,N,"",1,769,"Wang","","Vanessa","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,0
48011,"Calgary Nose Hill","Calgary Nose Hill"," 2","Calgary",N,N,"",0,779,"Askin","","Peggy","Marxist-Leninist","Marxiste-Léniniste",N,N,0
48011,"Calgary Nose Hill","Calgary Nose Hill"," 2","Calgary",N,N,"",0,779,"Becker","","Tom","Liberal","Libéral",N,N,80
48011,"Calgary Nose Hill","Calgary Nose Hill"," 2","Calgary",N,N,"",0,779,"Fach","","Addison","Green Party","Parti Vert",N,N,2
48011,"Calgary Nose Hill","Calgary Nose Hill"," 2","Calgary",N,N,"",0,779,"Khan","","Ahmed","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,7
48011,"Calgary Nose Hill","Calgary Nose Hill"," 2","Calgary",N,N,"",0,779,"Rempel Garner","","Michelle","Conservative","Conservateur",N,Y,139
48011,"Calgary Nose Hill","Calgary Nose Hill"," 2","Calgary",N,N,"",0,779,"Wang","","Vanessa","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,0
48011,"Calgary Nose Hill","Calgary Nose Hill"," 3","Calgary",N,N,"",0,795,"Askin","","Peggy","Marxist-Leninist","Marxiste-Léniniste",N,N,0
48011,"Calgary Nose Hill","Calgary Nose Hill"," 3","Calgary",N,N,"",0,795,"Becker","","Tom","Liberal","Libéral",N,N,100
48011,"Calgary Nose Hill","Calgary Nose Hill"," 3","Calgary",N,N,"",0,795,"Fach","","Addison","Green Party","Parti Vert",N,N,0
48011,"Calgary Nose Hill","Calgary Nose Hill"," 3","Calgary",N,N,"",0,795,"Khan","","Ahmed","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,23
48011,"Calgary Nose Hill","Calgary Nose Hill"," 3","Calgary",N,N,"",0,795,"Rempel Garner","","Michelle","Conservative","Conservateur",N,Y,138
48011,"Calgary Nose Hill","Calgary Nose Hill"," 3","Calgary",N,N,"",0,795,"Wang","","Vanessa","Parti Rhinocéros Party","Parti Rhinocéros Party",N,N,0
48011,"Calgary Nose Hill","Calgary Nose Hill"," 4","Calgary",N,N,"",1,762,"Askin","","Peggy","Marxist-Leninist","Marxiste-Léniniste",N,N,0
48011,"Calgary Nose Hill","Calgary Nose Hill"," 4","Calgary",N,N,"",1,762,"Becker","","Tom","Liberal","Libéral",N,N,94
