Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Paul Connors,Steve Kent,Alexander Tilley,Judy Vanta,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10001,"Avalon/Avalon"," 1","Salmon Cove--Perry's Cove",58,39,0,8,0,105,227
10001,"Avalon/Avalon"," 2","Salmon Cove",97,71,0,12,2,182,342
10001,"Avalon/Avalon"," 3","Victoria",72,70,1,11,0,154,353
10001,"Avalon/Avalon"," 4","Victoria",83,114,0,8,2,207,450
10001,"Avalon/Avalon"," 5","Victoria",55,80,1,11,0,147,335
10001,"Avalon/Avalon"," 6","Victoria",58,86,2,9,2,157,381
10001,"Avalon/Avalon"," 7","Freshwater",54,49,1,8,0,112,135
10001,"Avalon/Avalon"," 8","Carbonear",85,41,0,8,5,139,358
10001,"Avalon/Avalon"," 9","Carbonear",72,36,2,11,2,123,318
10001,"Avalon/Avalon"," 10","Carbonear",76,59,0,11,0,146,352
10001,"Avalon/Avalon"," 11","Carbonear",68,66,0,11,1,146,330
10001,"Avalon/Avalon"," 12","Carbonear",50,47,0,4,3,104,366
10001,"Avalon/Avalon"," 13","Carbonear",61,46,1,4,1,113,350
10001,"Avalon/Avalon"," 14","Carbonear",57,65,0,5,2,129,376
10001,"Avalon/Avalon"," 15","Carbonear",81,61,1,8,3,154,423
10001,"Avalon/Avalon"," 16","Carbonear",58,55,3,13,0,129,335
10001,"Avalon/Avalon"," 17","Carbonear",93,58,1,9,0,161,428
10001,"Avalon/Avalon"," 18","Carbonear",76,69,0,8,0,153,437
10001,"Avalon/Avalon"," 19","Harbour Grace",88,65,1,9,1,164,454
10001,"Avalon/Avalon"," 20","Harbour Grace--Bristol's Hope",108,76,0,5,1,190,447
10001,"Avalon/Avalon"," 21","Harbour Grace",85,74,0,12,0,171,473
10001,"Avalon/Avalon"," 22","Harbour Grace",88,56,0,16,0,160,400
10001,"Avalon/Avalon"," 23","Harbour Grace",59,77,1,9,0,146,388
10001,"Avalon/Avalon"," 24","Riverhead--Harbour Grace",85,60,0,10,8,163,366
10001,"Avalon/Avalon"," 25","Harbour Grace South",116,67,1,6,1,191,347
10001,"Avalon/Avalon"," 26","Bryant's Cove",52,73,0,7,1,133,267
10001,"Avalon/Avalon"," 27","Upper Island Cove",100,73,0,8,0,181,419
10001,"Avalon/Avalon"," 28","Upper Island Cove",74,50,1,3,0,128,283
10001,"Avalon/Avalon"," 29","Upper Island Cove",72,51,0,3,0,126,312
10001,"Avalon/Avalon"," 30","Upper Island Cove",130,87,0,13,0,230,471
10001,"Avalon/Avalon"," 31","Tilton",72,107,2,8,0,189,368
10001,"Avalon/Avalon"," 32","Spaniard's Bay",79,81,0,8,0,168,383
10001,"Avalon/Avalon"," 33","Spaniard's Bay",71,88,1,12,1,173,399
10001,"Avalon/Avalon"," 34","Spaniard's Bay",56,80,1,8,0,145,371
10001,"Avalon/Avalon"," 35","Spaniard's Bay",65,45,0,0,2,112,380
10001,"Avalon/Avalon"," 36","Spaniard's Bay",49,69,0,11,1,130,308
10001,"Avalon/Avalon"," 37","Shearstown",128,73,2,6,2,211,534
10001,"Avalon/Avalon"," 38","Butlerville",41,63,1,3,1,109,270
10001,"Avalon/Avalon"," 39","Bay Roberts",58,96,1,15,1,171,404
10001,"Avalon/Avalon"," 40","Bay Roberts",111,106,0,9,0,226,570
10001,"Avalon/Avalon"," 41","Bay Roberts",83,53,0,6,0,142,348
10001,"Avalon/Avalon"," 42","Bay Roberts",112,98,0,11,2,223,556
10001,"Avalon/Avalon"," 43","Bay Roberts",108,75,1,10,1,195,519
10001,"Avalon/Avalon"," 44","Bay Roberts",82,81,1,8,2,174,433
10001,"Avalon/Avalon"," 45","Bay Roberts",107,93,3,17,3,223,640
10001,"Avalon/Avalon"," 46","Bay Roberts",141,113,2,16,1,273,655
10001,"Avalon/Avalon"," 47","Bareneed--The Dock--Black Duck Pond",61,44,0,7,1,113,285
10001,"Avalon/Avalon"," 48","Blow Me Down--Port de Grave",116,75,2,16,0,209,453
10001,"Avalon/Avalon"," 49","North River--Otterbury--Birch Hills",71,70,2,6,2,151,231
10001,"Avalon/Avalon"," 50","North River",118,79,3,15,2,217,450
10001,"Avalon/Avalon"," 51","Clarke's Beach",79,76,3,7,2,167,439
10001,"Avalon/Avalon"," 52","Clarke's Beach",84,81,0,13,2,180,412
10001,"Avalon/Avalon"," 53","Clarke's Beach",72,78,0,6,0,156,397
10001,"Avalon/Avalon"," 54","South River",64,50,1,8,0,123,298
10001,"Avalon/Avalon"," 55","South River",85,71,1,10,0,167,312
10001,"Avalon/Avalon"," 56","Makinsons",128,118,5,16,2,269,589
10001,"Avalon/Avalon"," 57","Cupids",87,72,0,5,1,165,358
10001,"Avalon/Avalon"," 58","Cupids",77,46,0,8,1,132,247
10001,"Avalon/Avalon"," 59","Brigus",96,86,1,10,3,196,467
10001,"Avalon/Avalon"," 60","Brigus",88,59,0,8,4,159,377
10001,"Avalon/Avalon"," 61A","Marysvale",44,68,1,7,2,122,150
10001,"Avalon/Avalon"," 61B","Marysvale",Combined with No./Résultats combinés à ceux du n°49,,,,,,74
10001,"Avalon/Avalon"," 62A","Marysvale",Combined with No./Résultats combinés à ceux du n°61A,,,,,,88
10001,"Avalon/Avalon"," 62B","Marysvale",55,70,1,2,0,128,264
10001,"Avalon/Avalon"," 63","Colliers",49,41,0,1,1,92,237
10001,"Avalon/Avalon"," 64","Colliers",83,90,1,5,3,182,314
10001,"Avalon/Avalon"," 65","Conception Harbour",55,80,0,9,0,144,278
10001,"Avalon/Avalon"," 66","Conception Harbour",47,73,0,6,0,126,261
10001,"Avalon/Avalon"," 67","Avondale",53,57,0,12,5,127,280
10001,"Avalon/Avalon"," 68","Avondale",46,44,1,9,2,102,273
10001,"Avalon/Avalon"," 69","Brigus Junction",90,58,2,4,0,154,293
10001,"Avalon/Avalon"," 70","Harbour Main-Chapel's Cove-Lakeview",54,42,2,3,2,103,282
10001,"Avalon/Avalon"," 71","Harbour Main-Chapel's Cove-Lakeview",68,86,2,14,2,172,412
10001,"Avalon/Avalon"," 72","Harbour Main-Chapel's Cove-Lakeview",60,30,0,3,0,93,249
10001,"Avalon/Avalon"," 73","Holyrood",107,77,4,5,1,194,538
