Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Maricar Aliasut,Mark Boudreau,Amethyste Hamel-Gregory,Shannon Miedema,Lisa Roberts,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12006,"Halifax/Halifax"," 1","Halifax",Void/Supprimé,,,,,,,
12006,"Halifax/Halifax"," 2","Williamswood",1,49,0,48,12,1,111,361
12006,"Halifax/Halifax"," 3","Sambro Head",1,92,3,74,9,0,179,432
12006,"Halifax/Halifax"," 4","East Pennant",2,64,1,60,13,0,140,304
12006,"Halifax/Halifax"," 5","Halifax",1,14,1,35,45,2,98,467
12006,"Halifax/Halifax"," 6","Halifax",1,23,3,78,17,1,123,381
12006,"Halifax/Halifax"," 7","Halifax",1,27,3,68,39,0,138,351
12006,"Halifax/Halifax"," 8","Halifax",2,29,2,67,23,0,123,388
12006,"Halifax/Halifax"," 9","Halifax",1,34,1,84,30,0,150,477
12006,"Halifax/Halifax"," 10","Halifax",2,28,3,85,39,3,160,407
12006,"Halifax/Halifax"," 11","Halifax",0,26,1,61,30,0,118,342
12006,"Halifax/Halifax"," 12","Halifax",1,18,0,66,35,0,120,356
12006,"Halifax/Halifax"," 13","Halifax",0,27,2,86,49,3,167,527
12006,"Halifax/Halifax"," 14","Halifax",0,41,0,92,50,0,183,606
12006,"Halifax/Halifax"," 15","Halifax",2,30,1,63,47,0,143,480
12006,"Halifax/Halifax"," 16","Halifax",1,33,2,77,41,1,155,435
12006,"Halifax/Halifax"," 17","Halifax",2,13,2,54,39,0,110,537
12006,"Halifax/Halifax"," 18","Halifax",0,24,0,103,83,0,210,624
12006,"Halifax/Halifax"," 19","Halifax",0,30,3,106,70,2,211,431
12006,"Halifax/Halifax"," 20","Halifax",1,23,1,74,27,0,126,537
12006,"Halifax/Halifax"," 21","Halifax",0,25,0,60,33,4,122,390
12006,"Halifax/Halifax"," 22","Halifax",0,18,2,90,41,2,153,400
12006,"Halifax/Halifax"," 23","Halifax",3,17,2,103,49,0,174,515
12006,"Halifax/Halifax"," 24","Halifax",3,28,0,88,62,0,181,484
12006,"Halifax/Halifax"," 25","Halifax",1,34,0,86,49,1,171,465
12006,"Halifax/Halifax"," 26","Halifax",0,16,1,60,54,1,132,491
12006,"Halifax/Halifax"," 27","Halifax",0,7,0,57,28,0,92,323
12006,"Halifax/Halifax"," 28","Halifax",0,17,1,70,43,0,131,536
12006,"Halifax/Halifax"," 29","Halifax",0,41,2,132,40,1,216,621
12006,"Halifax/Halifax"," 30","Halifax",1,43,2,114,41,0,201,539
12006,"Halifax/Halifax"," 31","Halifax",1,43,0,143,20,0,207,644
12006,"Halifax/Halifax"," 32","Halifax",0,17,2,81,49,0,149,614
