Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Armand Cormier,Wayne Long,David MacFarquhar,Austin Venedam,Melissa Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 1","Quispamsis",3,150,5,1,75,0,234,570
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 2","Quispamsis",2,128,4,1,118,1,254,574
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 3","Quispamsis",12,62,0,0,92,0,166,482
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 4","Quispamsis",3,59,0,0,92,0,154,477
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 5","Quispamsis",8,75,6,0,73,1,163,402
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 6","Quispamsis",2,120,2,0,99,1,224,636
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 7","Quispamsis",2,106,1,0,40,0,149,535
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 8","Quispamsis",3,86,1,0,61,0,151,543
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 9","Quispamsis",3,67,1,1,49,0,121,416
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 10","Quispamsis",0,87,6,0,37,1,131,416
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 11","Quispamsis",3,92,1,0,67,0,163,463
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 12","Quispamsis",0,80,4,0,77,0,161,455
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 13","Quispamsis",4,73,0,0,63,1,141,440
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 14","Quispamsis",2,94,1,0,62,0,159,481
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 15","Quispamsis",5,83,5,2,82,0,177,540
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 16","Quispamsis",7,67,2,0,119,3,198,531
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 17","Quispamsis",11,50,6,0,70,0,137,423
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 18","Quispamsis",8,72,5,2,122,0,209,539
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 19","Quispamsis",4,76,2,0,68,0,150,429
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 20","Quispamsis",2,132,0,0,84,2,220,430
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 21","Quispamsis",5,87,2,0,71,8,173,438
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 22","Quispamsis",2,97,4,0,54,1,158,395
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 23","Quispamsis",1,61,2,0,52,0,116,344
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 24","Quispamsis",3,127,4,0,94,0,228,747
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 25","Quispamsis",7,127,2,0,109,1,246,601
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 26","Quispamsis",5,137,4,0,147,3,296,749
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 27","Quispamsis",2,171,0,1,105,1,280,656
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 28A","Quispamsis",8,112,1,2,81,0,204,537
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 28B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,10
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 29","Quispamsis",3,108,10,0,82,1,204,529
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 30","Quispamsis",9,133,3,0,95,2,242,569
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 31","Rothesay",5,79,4,0,62,1,151,368
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 32","Rothesay",1,109,0,0,52,1,163,416
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 33","Rothesay",3,119,5,1,129,0,257,614
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 34","Rothesay",4,109,5,0,57,1,176,394
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 35","Rothesay",4,35,1,2,56,1,99,308
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 36","Rothesay",1,105,0,0,65,4,175,343
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 37","Rothesay",2,76,7,0,46,1,132,427
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 38","Rothesay",8,89,3,4,121,0,225,427
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 39","Rothesay",5,112,2,0,122,1,242,496
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 40","Rothesay",3,96,4,0,110,0,213,445
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 41","Rothesay",7,125,3,0,116,1,252,472
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 42","Rothesay",1,121,3,1,73,1,200,591
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 43","Rothesay",0,87,3,0,49,1,140,410
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 44","Rothesay",4,112,5,0,67,0,188,534
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 45","Rothesay",2,118,2,0,51,1,174,522
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 46","Rothesay",5,115,2,0,64,1,187,525
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 47","Rothesay",4,109,2,0,42,1,158,463
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 48","Saint John",3,49,5,0,101,2,160,377
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 49","Saint John",6,105,3,0,119,0,233,438
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 50","Saint John",3,70,4,0,74,0,151,322
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 51","Saint John",3,69,6,0,118,2,198,406
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 52","Rothesay",1,110,2,0,42,0,155,436
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 53","Rothesay",1,105,3,0,47,0,156,379
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 54","Rothesay",3,129,5,1,98,2,238,505
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 55","Rothesay",4,89,2,0,45,0,140,310
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 56","Rothesay",1,149,0,0,57,0,207,419
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 57","Saint John",6,68,4,0,107,0,185,570
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 58","Saint John",12,77,5,0,78,0,172,600
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 59","Saint John",5,101,2,0,106,0,214,601
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 60","Saint John",7,76,3,0,62,0,148,372
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 61","Saint John",4,70,3,0,112,0,189,604
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 62","Saint John",7,47,2,1,76,0,133,553
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 63","Saint John",6,46,3,0,46,0,101,376
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 64","Saint John",4,100,1,0,110,0,215,473
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 65","Saint John",7,52,5,0,92,0,156,439
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 66","Saint John",5,61,6,1,80,1,154,386
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 67","Saint John",7,91,3,0,74,2,177,507
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 68","Saint John",6,24,4,0,37,0,71,218
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 69","Saint John",15,96,3,2,90,0,206,631
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 70","Saint John",7,111,4,0,92,0,214,664
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 71","Saint John",11,73,6,0,67,1,158,537
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 72","Saint John",10,81,1,1,88,0,181,511
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 73","Saint John",5,72,3,0,68,0,148,469
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 74","Saint John",3,58,1,0,43,2,107,399
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 75","Saint John",6,45,2,0,68,1,122,357
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 76","Saint John",3,70,1,0,77,0,151,384
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 77","Saint John",8,87,3,1,65,1,165,468
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 78","Saint John",4,80,5,0,78,0,167,549
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 79","Saint John",2,79,5,0,59,1,146,513
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 80","Saint John",3,51,4,0,66,0,124,484
