Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Andrew Hill,Gerald Irish,Karen Ludwig,Keith Tays,John Williamson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13009,"Saint John--St. Croix/Saint John--St. Croix"," 1","Coles Island",16,11,74,2,177,2,282,479
13009,"Saint John--St. Croix/Saint John--St. Croix"," 2","Newtown",2,9,66,0,110,1,188,377
13009,"Saint John--St. Croix/Saint John--St. Croix"," 3","Smiths Creek",12,1,61,3,126,0,203,423
13009,"Saint John--St. Croix/Saint John--St. Croix"," 4","Head of Millstream",8,6,25,0,79,0,118,322
13009,"Saint John--St. Croix/Saint John--St. Croix"," 5","Berwick",3,5,22,1,70,0,101,310
13009,"Saint John--St. Croix/Saint John--St. Croix"," 6","Collina",5,2,35,1,94,2,139,401
13009,"Saint John--St. Croix/Saint John--St. Croix"," 7","McGregor Brook",3,2,45,4,80,0,134,398
13009,"Saint John--St. Croix/Saint John--St. Croix"," 8","Studholm",2,2,27,0,79,0,110,255
13009,"Saint John--St. Croix/Saint John--St. Croix"," 9","Studholm",1,0,68,0,115,0,184,452
13009,"Saint John--St. Croix/Saint John--St. Croix"," 10","Cambridge-Narrows",10,2,50,1,81,0,144,417
13009,"Saint John--St. Croix/Saint John--St. Croix"," 11","Cambridge-Narrows",1,0,39,1,45,0,86,290
13009,"Saint John--St. Croix/Saint John--St. Croix"," 12","Whites Cove",6,4,48,0,106,0,164,322
13009,"Saint John--St. Croix/Saint John--St. Croix"," 13","Jemseg",6,4,46,1,76,1,134,251
13009,"Saint John--St. Croix/Saint John--St. Croix"," 14","Burpees Corner",7,3,55,2,125,0,192,347
13009,"Saint John--St. Croix/Saint John--St. Croix"," 15","Lower Burton",5,6,97,1,145,0,254,460
13009,"Saint John--St. Croix/Saint John--St. Croix"," 16","Burpees Corner",12,8,88,4,182,1,295,505
13009,"Saint John--St. Croix/Saint John--St. Croix"," 17","Burton",17,4,81,2,140,1,245,439
13009,"Saint John--St. Croix/Saint John--St. Croix"," 18","Burton",13,5,54,0,79,1,152,352
13009,"Saint John--St. Croix/Saint John--St. Croix"," 19","Upper Gagetown",7,5,41,4,88,0,145,278
13009,"Saint John--St. Croix/Saint John--St. Croix"," 20","Belleisle Creek",8,0,13,0,51,1,73,293
13009,"Saint John--St. Croix/Saint John--St. Croix"," 21","Springfield",4,3,53,2,84,2,148,372
13009,"Saint John--St. Croix/Saint John--St. Croix"," 22","Hatfield Point",2,3,32,0,124,0,161,341
13009,"Saint John--St. Croix/Saint John--St. Croix"," 23","Keirsteadville",9,3,73,2,106,1,194,435
13009,"Saint John--St. Croix/Saint John--St. Croix"," 24","Gagetown",2,4,45,1,53,0,105,352
13009,"Saint John--St. Croix/Saint John--St. Croix"," 25","Gagetown",4,3,31,1,44,0,83,266
13009,"Saint John--St. Croix/Saint John--St. Croix"," 26","Shannon",1,2,57,0,136,0,196,350
13009,"Saint John--St. Croix/Saint John--St. Croix"," 27","Geary",8,7,38,0,82,1,136,392
13009,"Saint John--St. Croix/Saint John--St. Croix"," 28","Waterville",5,5,33,1,80,0,124,384
13009,"Saint John--St. Croix/Saint John--St. Croix"," 29","Waterville",4,4,26,1,71,0,106,304
13009,"Saint John--St. Croix/Saint John--St. Croix"," 30","Geary",6,9,34,0,79,2,130,331
13009,"Saint John--St. Croix/Saint John--St. Croix"," 31","Geary",9,1,59,1,93,0,163,389
