Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Richard Bragdon,Vern Brundle,Liam MacDougall,Julian Moulton,Michael John Winter,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 1","Riley Brook",56,3,2,22,2,1,86,156
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 2","New Denmark",118,1,2,54,3,1,179,347
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 3","Salmonhurst Corner",141,3,1,46,2,3,196,373
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 4","Burntland Brook",81,4,1,26,3,0,115,292
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 5","Plaster Rock",70,2,2,18,2,0,94,412
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 6","Plaster Rock",32,0,0,10,1,0,43,259
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 7","Plaster Rock",72,3,3,27,2,0,107,371
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 8","Sisson Ridge",40,0,0,9,2,0,51,244
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 9","McLaughlin",91,0,0,32,2,0,125,404
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 10","North Tilley",108,1,3,41,3,1,157,288
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 11","South Tilley",109,2,2,16,4,1,134,250
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 12","Upper California",65,5,2,30,4,2,108,268
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 13","Aroostook",43,2,3,12,2,0,62,196
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 14","Aroostook",46,1,0,39,2,2,90,277
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 15","Arthurette",36,3,0,25,1,0,65,234
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 16","Arthurette",172,4,5,58,15,0,254,471
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 17","Juniper",141,4,12,55,8,1,221,375
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 18","Tobique 20",8,0,2,159,2,1,172,420
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 19","Tobique 20",8,0,0,143,1,2,154,436
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 20","Currie",51,4,1,34,2,1,93,340
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 21","Perth-Andover",34,0,1,17,2,0,54,210
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 22","Perth-Andover",76,2,3,50,1,0,132,435
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 23","Perth",93,2,5,39,3,2,144,359
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 24","Perth-Andover",32,5,4,30,0,2,73,328
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 25","Perth-Andover",53,1,1,35,2,2,94,344
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 26","Andover",60,0,2,47,4,0,113,379
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 27","Bairdsville",81,2,2,19,1,0,105,274
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 28","Johnville",76,2,1,31,1,1,112,260
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 29","Holmesville",75,1,3,36,3,0,118,342
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 30","Beechwood",87,1,0,24,1,1,114,307
