Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jonathan Andresen,Jérémie Juneau,Sébastien Lemire,Vincent Palin-Bussières,Steve Tardif,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 1","Rochebaucourt",7,1,31,1,26,2,68,137
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 2","Saint-Dominique-du-Rosaire",35,7,69,1,60,3,175,356
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 3","Val-Saint-Gilles",28,0,38,0,21,2,89,180
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 4","Berry",7,3,17,0,26,1,54,100
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 5","Saint-Nazaire-de-Berry",21,3,64,0,33,1,122,263
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 6","Normétal",28,7,67,4,30,3,139,271
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 7","Normétal",24,2,81,3,57,4,171,345
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 8","Guyenne",12,1,37,0,8,2,60,111
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 9","Authier-Nord",21,3,40,3,30,2,99,274
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 10","Saint-Vital-de-Clermont",30,6,93,3,62,6,200,359
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 11","Saint-Lambert",12,3,40,0,25,3,83,149
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 12","La Morandière",19,1,40,1,14,1,76,170
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 13","Chazel",19,5,48,0,35,0,107,220
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 14","Saint-Félix-de-Dalquier",29,8,106,3,75,9,230,460
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 15","Saint-Félix-de-Dalquier",26,3,47,0,51,2,129,301
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 16","La Reine",41,3,57,0,23,2,126,235
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 17","Amos",48,8,87,1,40,1,185,541
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 18","Amos",28,6,67,0,33,0,134,371
