Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Isabel Dion,Angelo Iacono,Louis Ialenti,Jordan Larochelle,Ludovic Mbany,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24004,"Alfred-Pellan/Alfred-Pellan"," 1","Laval",54,59,48,5,1,4,171,402
24004,"Alfred-Pellan/Alfred-Pellan"," 2","Laval",70,95,50,2,0,6,223,509
24004,"Alfred-Pellan/Alfred-Pellan"," 3","Laval",62,133,45,2,1,5,248,495
24004,"Alfred-Pellan/Alfred-Pellan"," 4","Laval",55,100,35,8,4,3,205,414
24004,"Alfred-Pellan/Alfred-Pellan"," 5","Laval",69,116,71,9,5,3,273,503
24004,"Alfred-Pellan/Alfred-Pellan"," 6","Laval",76,48,35,8,1,2,170,433
24004,"Alfred-Pellan/Alfred-Pellan"," 7","Laval",50,101,24,4,0,11,190,396
24004,"Alfred-Pellan/Alfred-Pellan"," 8","Laval",33,83,40,9,5,1,171,422
24004,"Alfred-Pellan/Alfred-Pellan"," 9","Laval",28,80,22,7,1,6,144,418
24004,"Alfred-Pellan/Alfred-Pellan"," 10","Laval",31,94,30,17,0,3,175,460
24004,"Alfred-Pellan/Alfred-Pellan"," 11","Laval",32,102,52,7,0,1,194,515
24004,"Alfred-Pellan/Alfred-Pellan"," 12","Laval",34,71,31,10,2,1,149,355
24004,"Alfred-Pellan/Alfred-Pellan"," 13","Laval",35,79,43,5,1,3,166,381
24004,"Alfred-Pellan/Alfred-Pellan"," 14","Laval",39,90,23,14,0,1,167,380
24004,"Alfred-Pellan/Alfred-Pellan"," 15","Laval",37,105,39,9,7,5,202,459
24004,"Alfred-Pellan/Alfred-Pellan"," 16","Laval",68,137,54,6,5,5,275,494
24004,"Alfred-Pellan/Alfred-Pellan"," 17","Laval",48,137,45,11,3,4,248,428
24004,"Alfred-Pellan/Alfred-Pellan"," 18","Laval",52,134,36,7,1,6,236,514
24004,"Alfred-Pellan/Alfred-Pellan"," 19","Laval",29,96,35,13,2,4,179,400
24004,"Alfred-Pellan/Alfred-Pellan"," 20","Laval",17,131,41,4,3,3,199,484
24004,"Alfred-Pellan/Alfred-Pellan"," 21","Laval",20,78,23,7,4,4,136,331
24004,"Alfred-Pellan/Alfred-Pellan"," 22","Laval",10,129,42,6,1,7,195,527
24004,"Alfred-Pellan/Alfred-Pellan"," 23","Laval",47,45,37,10,1,5,145,395
24004,"Alfred-Pellan/Alfred-Pellan"," 24","Laval",38,88,25,9,3,3,166,360
24004,"Alfred-Pellan/Alfred-Pellan"," 25","Laval",47,102,46,12,11,3,221,506
24004,"Alfred-Pellan/Alfred-Pellan"," 26","Laval",49,54,42,2,3,1,151,334
24004,"Alfred-Pellan/Alfred-Pellan"," 27","Laval",46,69,36,8,1,2,162,373
24004,"Alfred-Pellan/Alfred-Pellan"," 28","Laval",61,66,38,10,2,6,183,385
24004,"Alfred-Pellan/Alfred-Pellan"," 29","Laval",81,76,49,10,2,5,223,469
24004,"Alfred-Pellan/Alfred-Pellan"," 30","Laval",76,92,65,13,4,5,255,556
