Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Marie-Josée Béliveau,Yves-François Blanchet,Sylvain Goulet,Nicholas Malouin,Nicholas Manes,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24011,"Beloeil--Chambly/Beloeil--Chambly"," 1","Beloeil",11,84,39,65,1,2,202,428
24011,"Beloeil--Chambly/Beloeil--Chambly"," 2","Beloeil",6,74,31,42,0,1,154,381
24011,"Beloeil--Chambly/Beloeil--Chambly"," 3A","Beloeil",6,66,15,43,2,5,137,324
24011,"Beloeil--Chambly/Beloeil--Chambly"," 3B","Beloeil",3,50,27,48,0,2,130,321
24011,"Beloeil--Chambly/Beloeil--Chambly"," 4","Beloeil",3,89,30,76,1,1,200,391
24011,"Beloeil--Chambly/Beloeil--Chambly"," 5","Beloeil",4,134,40,73,3,4,258,572
24011,"Beloeil--Chambly/Beloeil--Chambly"," 6","Beloeil",5,108,21,61,3,2,200,433
24011,"Beloeil--Chambly/Beloeil--Chambly"," 7","Beloeil",8,86,23,55,1,0,173,450
24011,"Beloeil--Chambly/Beloeil--Chambly"," 8","Beloeil",8,105,34,61,0,2,210,445
24011,"Beloeil--Chambly/Beloeil--Chambly"," 9","Beloeil",12,142,40,91,0,0,285,565
24011,"Beloeil--Chambly/Beloeil--Chambly"," 10","Beloeil",10,109,21,43,1,3,187,435
24011,"Beloeil--Chambly/Beloeil--Chambly"," 11","Mont-Saint-Hilaire",0,37,17,40,0,2,96,268
24011,"Beloeil--Chambly/Beloeil--Chambly"," 12","Mont-Saint-Hilaire",7,83,28,56,2,1,177,414
24011,"Beloeil--Chambly/Beloeil--Chambly"," 13","Mont-Saint-Hilaire",8,82,29,112,1,3,235,368
24011,"Beloeil--Chambly/Beloeil--Chambly"," 14","Mont-Saint-Hilaire",5,97,18,88,1,2,211,428
24011,"Beloeil--Chambly/Beloeil--Chambly"," 15","Mont-Saint-Hilaire",5,84,18,65,1,3,176,409
24011,"Beloeil--Chambly/Beloeil--Chambly"," 16","Mont-Saint-Hilaire",7,125,26,68,3,1,230,497
24011,"Beloeil--Chambly/Beloeil--Chambly"," 17","Mont-Saint-Hilaire",6,72,21,69,0,1,169,431
24011,"Beloeil--Chambly/Beloeil--Chambly"," 18","Mont-Saint-Hilaire",11,89,36,84,2,2,224,550
24011,"Beloeil--Chambly/Beloeil--Chambly"," 19","Mont-Saint-Hilaire",5,82,16,61,2,0,166,442
24011,"Beloeil--Chambly/Beloeil--Chambly"," 20","Mont-Saint-Hilaire",16,62,31,63,1,0,173,399
24011,"Beloeil--Chambly/Beloeil--Chambly"," 21","Mont-Saint-Hilaire",4,74,23,62,2,1,166,382
24011,"Beloeil--Chambly/Beloeil--Chambly"," 22","Mont-Saint-Hilaire",8,82,24,30,1,1,146,381
24011,"Beloeil--Chambly/Beloeil--Chambly"," 23","Mont-Saint-Hilaire",10,106,33,56,0,2,207,461
24011,"Beloeil--Chambly/Beloeil--Chambly"," 24","Mont-Saint-Hilaire",2,56,17,37,1,0,113,267
24011,"Beloeil--Chambly/Beloeil--Chambly"," 25","Mont-Saint-Hilaire",8,60,19,40,2,0,129,357
24011,"Beloeil--Chambly/Beloeil--Chambly"," 26","Mont-Saint-Hilaire",10,69,16,47,2,1,145,354
24011,"Beloeil--Chambly/Beloeil--Chambly"," 27","Mont-Saint-Hilaire",8,111,33,41,4,4,201,440
24011,"Beloeil--Chambly/Beloeil--Chambly"," 28","Mont-Saint-Hilaire",10,101,29,96,0,0,236,566
24011,"Beloeil--Chambly/Beloeil--Chambly"," 29","Mont-Saint-Hilaire",3,92,12,95,0,2,204,407
24011,"Beloeil--Chambly/Beloeil--Chambly"," 30","Mont-Saint-Hilaire",8,99,17,71,0,1,196,422
24011,"Beloeil--Chambly/Beloeil--Chambly"," 31","Mont-Saint-Hilaire",8,80,18,61,0,3,170,368
24011,"Beloeil--Chambly/Beloeil--Chambly"," 32","Mont-Saint-Hilaire",5,71,22,87,1,1,187,438
24011,"Beloeil--Chambly/Beloeil--Chambly"," 33","Mont-Saint-Hilaire",3,65,39,93,0,1,201,471
24011,"Beloeil--Chambly/Beloeil--Chambly"," 34","Mont-Saint-Hilaire",2,67,14,62,1,0,146,419
24011,"Beloeil--Chambly/Beloeil--Chambly"," 35","Mont-Saint-Hilaire",7,58,11,57,1,1,135,376
24011,"Beloeil--Chambly/Beloeil--Chambly"," 36","Mont-Saint-Hilaire",4,71,27,44,2,0,148,386
24011,"Beloeil--Chambly/Beloeil--Chambly"," 37","Mont-Saint-Hilaire",4,83,24,48,2,2,163,432
24011,"Beloeil--Chambly/Beloeil--Chambly"," 38","Mont-Saint-Hilaire",9,84,30,52,1,1,177,423
24011,"Beloeil--Chambly/Beloeil--Chambly"," 39","Otterburn Park",4,73,30,45,2,2,156,440
24011,"Beloeil--Chambly/Beloeil--Chambly"," 40","Beloeil",7,88,45,87,1,2,230,520
24011,"Beloeil--Chambly/Beloeil--Chambly"," 41","Beloeil",6,96,24,50,0,3,179,392
24011,"Beloeil--Chambly/Beloeil--Chambly"," 42A","Beloeil",5,59,49,51,0,4,168,375
24011,"Beloeil--Chambly/Beloeil--Chambly"," 42B","Beloeil",4,72,18,52,0,1,147,324
24011,"Beloeil--Chambly/Beloeil--Chambly"," 43","Beloeil",9,107,29,42,2,3,192,483
24011,"Beloeil--Chambly/Beloeil--Chambly"," 44","Beloeil",6,88,29,52,0,6,181,411
24011,"Beloeil--Chambly/Beloeil--Chambly"," 45","Beloeil",8,104,25,44,1,1,183,453
