Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Néhémie Dumay,Catherine Gauvin,Jean-Marc Lamothe,Jency Mercier,Abdelhaq Sari,Philippe Tessier,Dominique Théberge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24013,"Bourassa/Bourassa"," 1","Montréal",30,5,1,51,114,0,0,5,206,338
24013,"Bourassa/Bourassa"," 2","Montréal",21,5,2,74,136,4,1,20,263,604
24013,"Bourassa/Bourassa"," 3","Montréal",21,110,8,3,65,1,1,5,214,404
24013,"Bourassa/Bourassa"," 4","Montréal",25,7,1,64,128,3,0,8,236,495
24013,"Bourassa/Bourassa"," 5","Montréal",11,1,1,42,46,0,0,6,107,228
24013,"Bourassa/Bourassa"," 6","Montréal",31,5,1,12,100,2,0,2,153,539
24013,"Bourassa/Bourassa"," 7","Montréal",10,2,0,5,47,0,0,1,65,347
24013,"Bourassa/Bourassa"," 8","Montréal",36,15,1,23,82,0,2,1,160,523
24013,"Bourassa/Bourassa"," 9","Montréal",39,11,0,11,94,1,0,4,160,425
24013,"Bourassa/Bourassa"," 10","Montréal",20,2,0,13,54,2,0,1,92,283
24013,"Bourassa/Bourassa"," 11","Montréal",7,0,2,6,69,0,0,0,84,321
24013,"Bourassa/Bourassa"," 12","Montréal",15,4,4,8,36,0,0,2,69,304
24013,"Bourassa/Bourassa"," 13","Montréal",25,6,1,6,40,0,2,2,82,303
24013,"Bourassa/Bourassa"," 14","Montréal",48,4,1,20,117,2,3,2,197,390
24013,"Bourassa/Bourassa"," 15","Montréal",11,9,1,19,50,1,0,4,95,378
24013,"Bourassa/Bourassa"," 16","Montréal",21,3,3,12,73,0,0,5,117,348
24013,"Bourassa/Bourassa"," 17","Montréal",50,8,2,22,107,1,0,2,192,387
24013,"Bourassa/Bourassa"," 18","Montréal",13,5,1,4,51,0,0,7,81,316
