Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Louis Bellemare,Danick Bisson,Paul Cyr,Dominique Harrisson,Bladimir Laborit Infante,Pierre Paul-Hus,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 1","Québec",48,1,1,2,45,70,1,168,375
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 2","Québec",76,1,3,6,46,129,5,266,519
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 3","Québec",54,0,4,11,32,104,6,211,512
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 4","Québec",35,1,0,5,26,99,4,170,493
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 5","Québec",54,2,3,6,30,123,4,222,491
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 6","Québec",44,1,2,4,24,100,1,176,402
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 7","Québec",27,2,3,10,35,88,2,167,349
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 8","Québec",49,0,2,3,40,86,2,182,421
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 9","Québec",33,2,1,0,35,92,1,164,338
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 10","Québec",54,0,0,4,41,81,2,182,403
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 11","Québec",77,1,4,12,59,128,5,286,586
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 12","Québec",67,1,1,7,30,139,5,250,566
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 13","Québec",54,0,0,5,28,77,0,164,457
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 14","Québec",42,1,2,7,26,70,1,149,425
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 15","Québec",45,1,0,7,32,79,3,167,406
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 16","Québec",67,1,5,7,49,118,3,250,588
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 17","Québec",80,1,7,3,37,125,6,259,609
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 18","Québec",82,1,2,7,42,139,4,277,517
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 19","Québec",61,1,3,5,36,152,2,260,553
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 20","Québec",40,0,0,4,35,83,6,168,353
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 21","Québec",28,1,6,2,28,99,1,165,362
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 22","Québec",33,3,0,2,33,79,2,152,407
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 23","Québec",48,0,0,7,34,104,1,194,385
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 24","Québec",43,2,1,4,25,113,2,190,475
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 25","Québec",70,0,4,10,44,92,1,221,511
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 26","Québec",55,0,1,5,41,75,5,182,376
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 27","Québec",67,1,0,4,50,80,3,205,369
