Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Amir Badr Eldeen,Anju Dhillon,André Lavigne,Angélique Soleil Lavoie,Katy Le Rougetel,Michael Patterson,Pauline Fleur Julie Postel,Alioune Sarr,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 1","Montréal",4,109,1,16,0,1,14,79,0,224,686
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 2","Montréal",1,59,2,6,1,0,12,56,4,141,481
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 3","Montréal",6,89,1,5,0,0,28,38,2,169,593
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 4","Montréal",5,154,0,11,0,0,61,51,18,300,777
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 5","Montréal",3,66,0,2,0,7,3,35,0,116,385
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 6","Montréal",1,82,0,3,0,2,11,62,1,162,595
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 7","Montréal",2,80,1,8,0,3,16,55,8,173,670
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 8","Montréal",1,97,1,9,0,2,12,103,7,232,615
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 9","Montréal",0,95,0,7,0,0,3,28,1,134,322
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 10","Montréal",0,87,1,11,1,2,16,31,4,153,374
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 11","Montréal",3,102,4,13,0,0,9,64,1,196,445
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 12","Montréal",4,74,0,8,0,6,20,34,1,147,368
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 13","Montréal",6,66,0,5,0,0,16,21,2,116,269
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 14","Montréal",2,96,2,9,1,3,10,64,3,190,486
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 15","Montréal",2,74,0,6,0,1,29,35,1,148,363
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 16","Montréal",4,64,3,6,0,1,21,26,3,128,381
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 17","Montréal",5,69,0,5,0,1,27,33,3,143,378
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 18","Montréal",0,38,1,8,0,1,15,22,2,87,297
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 19","Montréal",3,39,1,8,0,2,22,34,2,111,305
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 20","Montréal",1,47,0,6,0,3,24,29,2,112,339
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 21","Montréal",3,66,1,9,0,1,32,41,2,155,393
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 22","Montréal",2,99,1,5,0,3,34,27,0,171,410
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 23","Montréal",5,89,0,1,0,0,38,26,1,160,428
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 24","Montréal",6,124,0,4,0,2,39,24,2,201,462
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 25","Montréal",3,91,1,9,0,0,32,19,1,156,381
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 26","Montréal",4,108,1,4,0,3,40,29,0,189,443
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 27","Montréal",2,78,0,8,0,1,20,30,1,140,379
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 28","Montréal",3,109,2,7,0,1,13,30,1,166,440
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 29","Montréal",2,87,2,12,0,1,8,49,0,161,325
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 30","Montréal",1,109,0,16,0,1,8,47,2,184,367
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 31","Montréal",1,72,4,5,0,3,11,28,3,127,358
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 32","Montréal",1,88,1,2,0,3,6,17,0,118,324
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 33","Montréal",4,124,1,10,1,0,14,64,0,218,431
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 34","Montréal",3,86,0,11,0,0,15,37,0,152,333
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 35","Montréal",0,97,1,6,0,0,7,43,0,154,342
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 36","Montréal",4,96,1,6,1,0,10,25,1,144,343
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 37","Montréal",2,109,0,4,1,1,6,36,3,162,377
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 38","Montréal",3,100,3,6,0,3,5,38,0,158,340
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 39","Dorval",2,83,1,5,0,0,7,48,0,146,362
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 40","Dorval",1,60,0,3,0,1,3,29,1,98,319
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 41","Dorval",0,80,2,9,0,3,13,41,0,148,454
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 42","Dorval",0,70,0,6,0,1,6,26,2,111,389
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 43","Dorval",8,70,0,5,0,3,10,28,3,127,414
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 44","Dorval",6,78,0,8,0,1,7,44,2,146,419
