Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Marc Allaire,Pascal Bapfou Vozang Siewe,Vanessa Gordon,Érica Poirier,Gabriel Ste-Marie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24029,"Joliette--Manawan/Joliette--Manawan"," 1","Communauté Atikamekw de Manawan",171,5,10,4,13,3,206,493
24029,"Joliette--Manawan/Joliette--Manawan"," 2","Communauté Atikamekw de Manawan",Combined with No./Résultats combinés à ceux du n°1,,,,,,,483
24029,"Joliette--Manawan/Joliette--Manawan"," 3","Communauté Atikamekw de Manawan",Combined with No./Résultats combinés à ceux du n°1,,,,,,,556
24029,"Joliette--Manawan/Joliette--Manawan"," 4","Saint-Michel-des-Saints",38,27,4,0,59,3,131,405
24029,"Joliette--Manawan/Joliette--Manawan"," 5","Saint-Michel-des-Saints",31,33,3,2,57,2,128,365
24029,"Joliette--Manawan/Joliette--Manawan"," 6","Saint-Michel-des-Saints",29,24,1,3,69,1,127,371
24029,"Joliette--Manawan/Joliette--Manawan"," 7","Saint-Michel-des-Saints",29,20,1,2,38,0,90,277
24029,"Joliette--Manawan/Joliette--Manawan"," 8","Saint-Michel-des-Saints",27,25,4,2,48,3,109,290
24029,"Joliette--Manawan/Joliette--Manawan"," 9","Saint-Michel-des-Saints",28,25,0,0,44,0,97,312
24029,"Joliette--Manawan/Joliette--Manawan"," 10","Saint-Michel-des-Saints",23,20,6,3,73,4,129,381
24029,"Joliette--Manawan/Joliette--Manawan"," 11","Saint-Zénon",47,53,3,4,79,2,188,402
24029,"Joliette--Manawan/Joliette--Manawan"," 12","Saint-Zénon",57,38,5,0,102,6,208,418
24029,"Joliette--Manawan/Joliette--Manawan"," 13","Saint-Zénon",34,39,2,2,85,4,166,369
24029,"Joliette--Manawan/Joliette--Manawan"," 14","Sainte-Émélie-de-l'Énergie",54,29,11,8,89,8,199,436
24029,"Joliette--Manawan/Joliette--Manawan"," 15","Sainte-Émélie-de-l'Énergie",55,43,10,7,106,3,224,390
24029,"Joliette--Manawan/Joliette--Manawan"," 16","Sainte-Émélie-de-l'Énergie",50,36,7,6,84,0,183,353
24029,"Joliette--Manawan/Joliette--Manawan"," 17","Sainte-Émélie-de-l'Énergie",53,30,4,9,100,4,200,382
24029,"Joliette--Manawan/Joliette--Manawan"," 18","Saint-Côme",32,33,2,2,70,1,140,354
24029,"Joliette--Manawan/Joliette--Manawan"," 19","Saint-Côme",34,32,4,2,55,4,131,342
