Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Fanny Boulanger,Lise Garon,Patrick Gaudreault,Mario Simard,William Van Tassel,Marie-Josée Yelle,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24030,"Jonquière/Jonquière"," 1","Bégin",90,1,4,59,44,4,1,203,355
24030,"Jonquière/Jonquière"," 2","Bégin",98,1,4,67,38,5,3,216,343
24030,"Jonquière/Jonquière"," 3","Sainte-Élisabeth-de-Proulx",19,0,1,29,20,0,1,70,154
24030,"Jonquière/Jonquière"," 4","Saint-Ludger-de-Milot",73,4,1,75,48,0,4,205,351
24030,"Jonquière/Jonquière"," 5","Saint-Ludger-de-Milot",44,3,0,45,43,2,2,139,253
24030,"Jonquière/Jonquière"," 6","Saint-Stanislas",76,8,6,59,26,3,4,182,324
24030,"Jonquière/Jonquière"," 7","Saint-Eugène-d'Argentenay",71,2,1,81,50,2,4,211,407
24030,"Jonquière/Jonquière"," 8","Lamarche",70,3,5,30,22,1,1,132,244
24030,"Jonquière/Jonquière"," 9","Lamarche",44,4,1,52,17,1,2,121,230
24030,"Jonquière/Jonquière"," 10","Sainte-Jeanne-d'Arc",37,7,2,53,39,0,6,144,314
24030,"Jonquière/Jonquière"," 11","Sainte-Jeanne-d'Arc",70,1,3,61,41,1,2,179,312
24030,"Jonquière/Jonquière"," 12","Sainte-Jeanne-d'Arc",54,2,2,32,47,0,2,139,285
24030,"Jonquière/Jonquière"," 13","Saint-Augustin",78,2,3,62,29,1,1,176,296
24030,"Jonquière/Jonquière"," 14","Labrecque",73,1,2,92,32,1,1,202,362
24030,"Jonquière/Jonquière"," 15","Labrecque",77,2,1,104,50,0,2,236,423
24030,"Jonquière/Jonquière"," 16","Labrecque",105,1,2,47,28,2,4,189,359
24030,"Jonquière/Jonquière"," 17","L'Ascension-de-Notre-Seigneur",64,3,0,81,33,0,1,182,402
24030,"Jonquière/Jonquière"," 18","L'Ascension",69,3,1,41,17,1,3,135,301
24030,"Jonquière/Jonquière"," 19","L'Ascension-de-Notre-Seigneur",51,3,2,37,12,2,0,107,292
24030,"Jonquière/Jonquière"," 20","L'Ascension",87,3,3,55,18,0,2,168,404
24030,"Jonquière/Jonquière"," 21","L'Ascension",78,9,1,45,33,4,5,175,402
24030,"Jonquière/Jonquière"," 22","Saint-Ambroise",47,8,2,46,38,0,0,141,314
24030,"Jonquière/Jonquière"," 23","Saint-Ambroise",77,7,1,84,35,1,4,209,432
24030,"Jonquière/Jonquière"," 24","Saint-Ambroise",51,5,2,59,25,1,5,148,363
24030,"Jonquière/Jonquière"," 25","Saint-Ambroise",80,1,2,66,30,1,1,181,367
24030,"Jonquière/Jonquière"," 26","Saint-Ambroise",60,5,5,67,27,0,1,165,363
24030,"Jonquière/Jonquière"," 27","Saint-Ambroise",74,1,1,59,30,3,2,170,350
24030,"Jonquière/Jonquière"," 28","Saint-Ambroise",71,5,1,56,30,1,2,166,400
24030,"Jonquière/Jonquière"," 29","Saint-Ambroise",70,7,3,100,55,5,3,243,496
24030,"Jonquière/Jonquière"," 30","Saint-Nazaire",69,7,0,72,42,1,3,194,378
24030,"Jonquière/Jonquière"," 31","Saint-Nazaire",75,5,0,63,32,0,7,182,359
24030,"Jonquière/Jonquière"," 32","Saint-Nazaire",77,3,1,86,48,0,2,217,446
24030,"Jonquière/Jonquière"," 33","Saint-Nazaire",78,1,3,78,49,1,5,215,416
24030,"Jonquière/Jonquière"," 34","Saguenay",75,3,4,92,46,3,1,224,433
24030,"Jonquière/Jonquière"," 35","Saguenay",105,2,3,94,45,1,3,253,427
24030,"Jonquière/Jonquière"," 36","Saguenay",98,4,5,88,48,2,6,251,452
24030,"Jonquière/Jonquière"," 37","Saint-Charles-de-Bourget",51,3,7,82,42,2,9,196,317
24030,"Jonquière/Jonquière"," 38","Saint-Charles-de-Bourget",81,2,4,91,45,1,2,226,399
24030,"Jonquière/Jonquière"," 39","Saguenay",Combined with No./Résultats combinés à ceux du n°44,,,,,,,,88
24030,"Jonquière/Jonquière"," 40","Saint-Ambroise",Combined with No./Résultats combinés à ceux du n°41,,,,,,,,116
24030,"Jonquière/Jonquière"," 41","Saguenay",61,4,0,66,23,2,4,160,289
24030,"Jonquière/Jonquière"," 42","Saguenay",94,5,3,88,46,2,3,241,465
24030,"Jonquière/Jonquière"," 43","Saint-Ambroise",75,5,4,77,43,0,1,205,383
24030,"Jonquière/Jonquière"," 44","Saguenay",91,2,3,78,47,4,1,226,370
24030,"Jonquière/Jonquière"," 45","Saguenay",75,5,0,82,28,3,0,193,350
24030,"Jonquière/Jonquière"," 46","Saguenay",76,2,4,80,55,4,0,221,360
24030,"Jonquière/Jonquière"," 47","Saguenay",65,4,2,65,33,3,0,172,344
24030,"Jonquière/Jonquière"," 48","Saguenay",31,0,1,137,70,0,6,245,399
24030,"Jonquière/Jonquière"," 49","Saguenay",42,8,2,79,50,1,4,186,407
24030,"Jonquière/Jonquière"," 50","Saguenay",39,6,1,103,49,9,2,209,408
24030,"Jonquière/Jonquière"," 51","Saguenay",53,0,4,80,45,4,1,187,411
24030,"Jonquière/Jonquière"," 52","Saguenay",40,8,2,98,45,5,3,201,419
24030,"Jonquière/Jonquière"," 53","Saguenay",88,3,0,131,67,3,3,295,549
24030,"Jonquière/Jonquière"," 54","Saguenay",78,3,0,91,50,1,8,231,443
24030,"Jonquière/Jonquière"," 55","Saguenay",89,4,2,106,48,3,4,256,428
24030,"Jonquière/Jonquière"," 56","Saguenay",88,2,4,78,44,8,9,233,406
24030,"Jonquière/Jonquière"," 57","Saguenay",69,7,3,98,41,2,5,225,406
24030,"Jonquière/Jonquière"," 58","Saguenay",77,7,6,78,27,0,3,198,447
24030,"Jonquière/Jonquière"," 59","Saguenay",41,2,3,65,35,0,3,149,411
24030,"Jonquière/Jonquière"," 60","Saguenay",42,5,1,56,21,2,3,130,343
24030,"Jonquière/Jonquière"," 61","Saguenay",34,1,2,63,29,0,1,130,402
24030,"Jonquière/Jonquière"," 62","Saguenay",66,0,7,95,38,5,7,218,458
24030,"Jonquière/Jonquière"," 63","Saguenay",46,3,2,68,47,2,6,174,420
24030,"Jonquière/Jonquière"," 64","Saguenay",72,2,3,73,30,1,3,184,392
24030,"Jonquière/Jonquière"," 65","Saguenay",60,4,1,83,33,1,5,187,395
24030,"Jonquière/Jonquière"," 66","Saguenay",48,2,0,63,48,2,5,168,396
24030,"Jonquière/Jonquière"," 67","Saguenay",48,6,1,77,47,0,2,181,348
24030,"Jonquière/Jonquière"," 68","Saguenay",93,5,1,74,60,3,3,239,434
24030,"Jonquière/Jonquière"," 69","Saguenay",54,8,0,71,37,2,4,176,376
24030,"Jonquière/Jonquière"," 70","Saguenay",28,4,2,64,28,0,1,127,330
24030,"Jonquière/Jonquière"," 71","Saguenay",55,15,6,68,36,4,5,189,412
24030,"Jonquière/Jonquière"," 72","Saguenay",50,7,6,76,27,2,3,171,432
24030,"Jonquière/Jonquière"," 73","Saguenay",69,6,2,90,41,1,6,215,410
24030,"Jonquière/Jonquière"," 74","Saguenay",64,1,3,85,47,3,6,209,376
24030,"Jonquière/Jonquière"," 75","Saguenay",47,2,3,110,41,1,4,208,379
24030,"Jonquière/Jonquière"," 76","Saguenay",67,10,1,108,49,4,2,241,460
24030,"Jonquière/Jonquière"," 77","Saguenay",59,7,1,110,63,2,4,246,430
24030,"Jonquière/Jonquière"," 78","Saguenay",75,1,4,97,42,4,4,227,411
24030,"Jonquière/Jonquière"," 79","Saguenay",70,4,4,120,61,3,2,264,493
24030,"Jonquière/Jonquière"," 80","Saguenay",69,8,2,84,49,5,1,218,317
24030,"Jonquière/Jonquière"," 81","Saguenay",63,4,5,104,63,2,0,241,466
24030,"Jonquière/Jonquière"," 82","Saguenay",52,5,3,60,34,0,0,154,415
24030,"Jonquière/Jonquière"," 83","Saguenay",57,7,3,82,37,1,1,188,488
24030,"Jonquière/Jonquière"," 84","Saguenay",74,0,1,120,77,2,1,275,519
24030,"Jonquière/Jonquière"," 85","Saguenay",86,2,1,83,74,2,3,251,435
24030,"Jonquière/Jonquière"," 86","Saguenay",58,4,2,99,47,3,6,219,427
24030,"Jonquière/Jonquière"," 87","Saguenay",46,3,2,93,51,4,4,203,432
24030,"Jonquière/Jonquière"," 88","Saguenay",55,6,1,97,40,4,5,208,409
24030,"Jonquière/Jonquière"," 89","Saguenay",41,1,2,88,50,1,6,189,438
24030,"Jonquière/Jonquière"," 90","Saguenay",60,4,2,83,55,4,5,213,428
24030,"Jonquière/Jonquière"," 91","Saguenay",93,1,0,97,83,3,3,280,527
24030,"Jonquière/Jonquière"," 92","Saguenay",59,2,1,107,42,1,4,216,428
24030,"Jonquière/Jonquière"," 93","Saguenay",68,4,3,81,45,6,1,208,424
24030,"Jonquière/Jonquière"," 94","Saguenay",79,3,1,99,54,4,4,244,520
24030,"Jonquière/Jonquière"," 95","Saguenay",82,5,1,122,49,2,1,262,524
24030,"Jonquière/Jonquière"," 96","Saguenay",87,3,0,99,67,1,2,259,515
24030,"Jonquière/Jonquière"," 97","Saguenay",51,2,2,79,30,2,3,169,382
24030,"Jonquière/Jonquière"," 98","Saguenay",46,7,0,47,14,4,3,121,371
24030,"Jonquière/Jonquière"," 99","Saguenay",52,6,1,76,32,0,0,167,389
24030,"Jonquière/Jonquière"," 100","Saguenay",52,4,1,59,40,2,2,160,435
24030,"Jonquière/Jonquière"," 101","Saguenay",63,7,1,75,53,1,6,206,477
24030,"Jonquière/Jonquière"," 102","Saguenay",88,4,0,111,67,1,0,271,505
24030,"Jonquière/Jonquière"," 103","Saguenay",90,3,2,92,56,2,3,248,501
24030,"Jonquière/Jonquière"," 104","Saguenay",57,11,0,85,41,0,1,195,519
24030,"Jonquière/Jonquière"," 105","Saguenay",51,6,2,49,35,2,0,145,509
24030,"Jonquière/Jonquière"," 106","Saguenay",73,2,3,86,60,3,1,228,448
24030,"Jonquière/Jonquière"," 107","Saguenay",76,8,1,61,37,4,2,189,387
24030,"Jonquière/Jonquière"," 108","Saguenay",63,2,0,48,42,3,2,160,381
24030,"Jonquière/Jonquière"," 109","Saguenay",40,4,4,58,22,1,0,129,359
24030,"Jonquière/Jonquière"," 110","Saguenay",75,5,6,71,48,4,5,214,489
24030,"Jonquière/Jonquière"," 111","Saguenay",91,5,3,90,44,4,6,243,528
24030,"Jonquière/Jonquière"," 112A","Saguenay",67,5,1,64,61,4,1,203,474
24030,"Jonquière/Jonquière"," 112B","Saguenay",73,7,0,66,61,1,3,211,471
24030,"Jonquière/Jonquière"," 113","Saguenay",65,5,1,88,43,0,1,203,421
24030,"Jonquière/Jonquière"," 114","Saguenay",53,4,1,66,36,1,2,163,416
24030,"Jonquière/Jonquière"," 115","Saguenay",36,7,1,52,33,0,1,130,385
24030,"Jonquière/Jonquière"," 116","Saguenay",55,5,4,94,35,3,0,196,407
24030,"Jonquière/Jonquière"," 117","Saguenay",55,2,0,72,27,2,3,161,419
24030,"Jonquière/Jonquière"," 118","Saguenay",45,4,0,75,36,2,5,167,418
24030,"Jonquière/Jonquière"," 119","Saguenay",40,4,0,82,54,2,1,183,404
24030,"Jonquière/Jonquière"," 120","Saguenay",38,0,0,80,56,3,3,180,397
24030,"Jonquière/Jonquière"," 121","Saguenay",50,3,1,79,46,2,1,182,410
24030,"Jonquière/Jonquière"," 122","Saguenay",72,3,1,68,41,1,6,192,427
24030,"Jonquière/Jonquière"," 123","Saguenay",64,3,1,80,43,2,3,196,411
24030,"Jonquière/Jonquière"," 124","Saguenay",80,3,1,99,64,3,3,253,511
24030,"Jonquière/Jonquière"," 125","Saguenay",79,4,3,83,48,0,3,220,435
24030,"Jonquière/Jonquière"," 126","Saguenay",75,2,7,90,44,0,11,229,538
24030,"Jonquière/Jonquière"," 127","Saguenay",35,5,3,70,29,2,3,147,421
24030,"Jonquière/Jonquière"," 128","Saguenay",53,2,2,90,59,4,2,212,426
24030,"Jonquière/Jonquière"," 129","Saguenay",47,6,3,76,50,1,2,185,417
24030,"Jonquière/Jonquière"," 130","Saint-Bruno",76,6,3,96,52,1,4,238,422
24030,"Jonquière/Jonquière"," 131","Saint-Bruno",60,5,2,82,42,0,3,194,397
24030,"Jonquière/Jonquière"," 132","Saint-Bruno",74,7,1,63,38,2,3,188,369
24030,"Jonquière/Jonquière"," 133","Saint-Bruno",50,5,2,82,19,3,1,162,326
24030,"Jonquière/Jonquière"," 134","Saint-Bruno",67,1,0,80,64,2,5,219,378
24030,"Jonquière/Jonquière"," 135","Saint-Bruno",62,8,3,60,40,0,6,179,316
24030,"Jonquière/Jonquière"," 136A","Saguenay",55,6,2,59,52,1,4,179,161
24030,"Jonquière/Jonquière"," 136B","Saguenay",Combined with No./Résultats combinés à ceux du n°137B,,,,,,,,165
24030,"Jonquière/Jonquière"," 136C","Saguenay",63,5,1,66,52,1,3,191,199
24030,"Jonquière/Jonquière"," 136D","Saguenay",83,4,2,64,61,3,2,219,213
24030,"Jonquière/Jonquière"," 137A","Saguenay",Combined with No./Résultats combinés à ceux du n°136A,,,,,,,,150
24030,"Jonquière/Jonquière"," 137B","Saguenay",68,3,3,72,63,1,9,219,166
24030,"Jonquière/Jonquière"," 137C","Saguenay",Combined with No./Résultats combinés à ceux du n°136C,,,,,,,,97
24030,"Jonquière/Jonquière"," 137D","Saguenay",Combined with No./Résultats combinés à ceux du n°136D,,,,,,,,139
24030,"Jonquière/Jonquière"," 138A","Saguenay",Combined with No./Résultats combinés à ceux du n°136A,,,,,,,,115
24030,"Jonquière/Jonquière"," 138B","Saguenay",Combined with No./Résultats combinés à ceux du n°137B,,,,,,,,104
24030,"Jonquière/Jonquière"," 138C","Saguenay",Combined with No./Résultats combinés à ceux du n°136C,,,,,,,,127
24030,"Jonquière/Jonquière"," 138D","Saguenay",Combined with No./Résultats combinés à ceux du n°136D,,,,,,,,129
24030,"Jonquière/Jonquière"," 139","Saguenay",64,4,2,76,32,0,1,179,485
24030,"Jonquière/Jonquière"," 140","Saguenay",56,6,2,72,40,4,7,187,526
24030,"Jonquière/Jonquière"," 141","Saguenay",46,1,2,71,49,1,1,171,385
24030,"Jonquière/Jonquière"," 142","Saguenay",53,4,2,68,39,1,2,169,435
24030,"Jonquière/Jonquière"," 143","Saguenay",52,3,5,78,19,2,1,160,376
24030,"Jonquière/Jonquière"," 144","Saguenay",56,4,2,77,38,1,3,181,413
24030,"Jonquière/Jonquière"," 145","Saguenay",59,3,0,65,30,1,7,165,467
24030,"Jonquière/Jonquière"," 146","Saguenay",56,1,2,80,35,2,4,180,466
24030,"Jonquière/Jonquière"," 147","Saguenay",44,3,0,57,17,2,3,126,406
24030,"Jonquière/Jonquière"," 148","Saguenay",80,0,4,90,53,1,7,235,476
24030,"Jonquière/Jonquière"," 149","Saguenay",69,9,3,140,80,6,5,312,472
24030,"Jonquière/Jonquière"," 150","Saguenay",67,1,2,135,63,0,7,275,468
24030,"Jonquière/Jonquière"," 151","Saguenay",59,3,1,96,69,1,3,232,389
24030,"Jonquière/Jonquière"," 152","Larouche",75,1,2,77,40,3,1,199,405
24030,"Jonquière/Jonquière"," 153","Larouche",86,3,5,65,35,4,3,201,426
24030,"Jonquière/Jonquière"," 154","Larouche",79,1,2,72,35,1,4,194,425
24030,"Jonquière/Jonquière"," 155","Saguenay",53,2,2,62,53,0,4,176,437
24030,"Jonquière/Jonquière"," 156","Hébertville-Station",59,5,1,90,45,3,2,205,262
24030,"Jonquière/Jonquière"," 157A","Hébertville-Station",Combined with No./Résultats combinés à ceux du n°156,,,,,,,,81
24030,"Jonquière/Jonquière"," 157B","Hébertville-Station",Combined with No./Résultats combinés à ceux du n°158,,,,,,,,56
24030,"Jonquière/Jonquière"," 157C","Hébertville-Station",84,2,1,93,27,0,7,214,371
24030,"Jonquière/Jonquière"," 158","Hébertville-Station",52,7,2,51,54,3,4,173,310
24030,"Jonquière/Jonquière"," 159","Saguenay",75,6,5,57,48,2,5,198,396
24030,"Jonquière/Jonquière"," 160","Saguenay",67,3,6,62,28,0,5,171,371
24030,"Jonquière/Jonquière"," 161","Saguenay",87,2,1,50,62,1,0,203,522
24030,"Jonquière/Jonquière"," 162","Saguenay",68,4,2,96,52,0,0,222,430
24030,"Jonquière/Jonquière"," 163","Saguenay",90,3,3,86,51,1,3,237,516
24030,"Jonquière/Jonquière"," 164","Hébertville",67,1,1,70,58,3,2,202,379
24030,"Jonquière/Jonquière"," 165","Hébertville",76,2,2,67,54,2,4,207,374
24030,"Jonquière/Jonquière"," 166","Hébertville",44,0,2,43,28,3,2,122,241
24030,"Jonquière/Jonquière"," 167","Hébertville",52,1,0,56,47,2,2,160,277
24030,"Jonquière/Jonquière"," 168","Hébertville",53,1,1,73,26,4,1,159,313
24030,"Jonquière/Jonquière"," 169","Hébertville",65,3,1,81,47,3,5,205,422
24030,"Jonquière/Jonquière"," 170","Saguenay",110,2,5,82,51,2,3,255,531
24030,"Jonquière/Jonquière"," 171","Saguenay",100,2,1,67,57,4,6,237,549
24030,"Jonquière/Jonquière"," 172","Saguenay",92,11,1,84,48,2,1,239,507
24030,"Jonquière/Jonquière"," 173A","Saguenay",101,5,3,60,39,4,2,214,204
24030,"Jonquière/Jonquière"," 173B","Saguenay",86,6,1,64,48,1,3,209,223
24030,"Jonquière/Jonquière"," 173C","Saguenay",94,5,4,77,59,3,4,246,229
24030,"Jonquière/Jonquière"," 174A","Saguenay",Combined with No./Résultats combinés à ceux du n°173A,,,,,,,,193
24030,"Jonquière/Jonquière"," 174B","Saguenay",Combined with No./Résultats combinés à ceux du n°173B,,,,,,,,196
24030,"Jonquière/Jonquière"," 174C","Saguenay",Combined with No./Résultats combinés à ceux du n°173C,,,,,,,,197
24030,"Jonquière/Jonquière"," 175","Portage-des-Roches-Nord",65,6,5,75,98,1,1,251,506
24030,"Jonquière/Jonquière"," 176","Saguenay",74,4,2,83,52,0,1,216,414
