Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Dave Blackburn,Hugues Boily-Maltais,Lorie Bouchard,Alexis Brunelle-Duceppe,Denis Lemieux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 1","Saint-Thomas-Didyme",55,6,3,97,59,1,221,376
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 2","Saint-Thomas-Didyme",37,2,4,73,29,3,148,268
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 3","Notre-Dame-de-Lorette",20,0,3,30,17,4,74,144
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 4","Girardville",50,3,2,42,32,0,129,267
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 5","Girardville",64,4,1,54,40,1,164,269
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 6","Girardville",60,1,1,56,65,1,184,318
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 7","Dolbeau-Mistassini",48,5,3,82,33,1,172,419
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 8","Dolbeau-Mistassini",43,5,3,71,27,4,153,405
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 9","Dolbeau-Mistassini",22,4,0,43,37,1,107,353
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 10","Dolbeau-Mistassini",31,2,3,47,20,1,104,340
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 11","Dolbeau-Mistassini",48,3,1,61,32,3,148,379
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 12","Dolbeau-Mistassini",54,2,4,42,34,3,139,343
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 13","Dolbeau-Mistassini",55,4,2,57,29,1,148,446
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 14","Dolbeau-Mistassini",44,2,2,33,24,3,108,365
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 15","Dolbeau-Mistassini",41,4,2,40,33,1,121,339
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 16","Dolbeau-Mistassini",57,3,3,83,28,7,181,427
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 17","Albanel",37,1,3,49,36,1,127,317
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 18","Albanel",65,2,0,92,39,3,201,395
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 19","Albanel",54,4,6,52,24,2,142,322
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 20","Albanel",46,6,2,79,24,8,165,343
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 21","Saint-Edmond",44,3,3,101,38,3,192,291
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 22","Dolbeau-Mistassini",37,2,1,58,46,2,146,385
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 23","Dolbeau-Mistassini",38,1,0,58,54,3,154,362
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 24","Dolbeau-Mistassini",49,4,3,61,27,0,144,372
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 25","Dolbeau-Mistassini",57,4,0,82,67,2,212,477
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 26","Alma",57,0,3,63,42,2,167,366
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 27","Alma",29,5,1,66,11,2,114,364
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 28","Alma",36,6,4,76,26,2,150,386
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 29","Alma",36,8,4,85,25,4,162,391
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 30","Alma",29,3,2,87,27,4,152,344
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 31","Dolbeau-Mistassini",66,3,1,65,49,2,186,424
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 32A","Dolbeau-Mistassini",34,2,2,64,32,2,136,358
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 32B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,10
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 32C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,5
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 33","Dolbeau-Mistassini",28,2,2,56,29,3,120,329
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 34","Dolbeau-Mistassini",43,3,2,71,40,3,162,382
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 35","Dolbeau-Mistassini",39,1,6,50,40,2,138,372
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 36","Dolbeau-Mistassini",57,1,1,59,31,1,150,359
