Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Mathieu Dufort,Gregory Evdokias,Tommy Fournier,Raymond Frizzell,Matthew Rusniak,Francis Scarpaleggia,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 1","Pointe-Claire",9,15,4,6,68,115,0,217,584
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 2","Pointe-Claire",5,6,5,3,60,147,3,229,552
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 3","Pointe-Claire",0,5,9,0,78,108,0,200,516
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 4","Pointe-Claire",3,11,14,8,60,141,1,238,543
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 5","Pointe-Claire",3,11,5,0,68,102,1,190,564
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 6","Pointe-Claire",0,9,7,6,61,96,0,179,567
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 7","Pointe-Claire",3,5,2,1,37,88,0,136,612
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 8","Pointe-Claire",1,5,1,3,47,131,2,190,506
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 9","Pointe-Claire",2,9,9,3,60,112,3,198,495
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 10","Montréal",1,13,23,7,52,79,1,176,533
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 11","Montréal",1,4,25,4,42,45,2,123,473
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 12","Montréal",4,10,8,3,64,109,2,200,552
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 13","Montréal",2,3,11,2,68,110,14,210,493
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 14","Montréal",3,10,4,6,53,106,1,183,506
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 15","Montréal",2,5,20,1,70,119,1,218,568
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 16","Montréal",1,11,9,2,81,90,2,196,504
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 17","Pointe-Claire",0,5,9,2,29,88,1,134,420
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 18A","Pointe-Claire",1,7,14,4,64,131,0,221,658
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 18B","Pointe-Claire",Combined with No./Résultats combinés à ceux du n°400,,,,,,,,67
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 19","Pointe-Claire",0,9,16,6,51,163,2,247,575
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 20","Pointe-Claire",1,8,18,7,40,109,3,186,499
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 21","Pointe-Claire",1,5,17,3,83,142,2,253,560
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 22","Pointe-Claire",1,9,11,7,60,133,2,223,519
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 23","Pointe-Claire",0,6,8,16,63,152,2,247,587
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 24","Pointe-Claire",1,14,12,6,67,125,1,226,540
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 25","Pointe-Claire",3,12,4,3,45,143,0,210,523
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 26","Pointe-Claire",0,13,11,1,89,133,0,247,657
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 27","Montréal",0,6,10,3,64,75,2,160,581
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 28","Montréal",2,17,2,0,92,159,0,272,507
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 29","Montréal",2,11,1,1,85,135,2,237,561
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 30","Montréal",0,6,2,5,84,139,5,241,568
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 31","Montréal",1,12,16,4,107,111,2,253,568
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 32","Kirkland",1,3,6,2,43,71,2,128,548
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 33","Kirkland",0,4,5,0,51,68,0,128,570
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 34","Pointe-Claire",1,6,2,1,73,95,1,179,697
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 35","Kirkland",2,1,4,3,53,88,0,151,441
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 36","Kirkland",2,7,6,1,82,116,0,214,565
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 37","Kirkland",0,3,1,1,49,100,0,154,543
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 38","Kirkland",2,1,0,0,53,63,2,121,449
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 39","Pointe-Claire",1,7,6,6,50,115,2,187,537
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 40","Pointe-Claire",3,7,6,7,39,118,1,181,510
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 41","Pointe-Claire",4,13,3,4,28,87,0,139,462
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 42","Pointe-Claire",0,7,8,1,44,108,0,168,448
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 43","Pointe-Claire",1,9,5,2,48,101,0,166,476
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 44","Pointe-Claire",1,4,4,2,38,101,0,150,357
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 45","Montréal",1,7,8,1,53,62,2,134,441
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 46","Montréal",2,9,13,1,67,91,0,183,544
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 47","Montréal",0,10,9,3,91,88,3,204,514
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 48","Montréal",0,12,6,1,37,85,3,144,394
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 49","Montréal",2,3,3,1,49,68,1,127,372
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 50","Montréal",3,12,15,2,74,85,2,193,473
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 51","Montréal",4,0,5,1,38,77,0,125,397
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 52","Montréal",0,12,4,3,45,87,3,154,394
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 53","Montréal",0,5,11,0,58,84,1,159,441
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 54","Montréal",1,5,7,2,49,43,3,110,355
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 55","Pointe-Claire",0,14,7,1,74,140,1,237,705
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 56","Pointe-Claire",2,5,6,1,56,91,1,162,477
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 57","Pointe-Claire",0,8,4,4,50,68,1,135,506
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 58","Pointe-Claire",1,3,4,6,37,69,1,121,401
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 59","Pointe-Claire",1,2,8,1,37,81,1,131,390
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 60","Pointe-Claire",2,6,7,3,47,61,0,126,441
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 61","Pointe-Claire",0,5,7,1,34,87,0,134,440
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 62","Pointe-Claire",0,8,2,2,24,66,2,104,407
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 63","Pointe-Claire",1,5,8,2,63,91,0,170,400
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 64","Pointe-Claire",1,4,6,3,44,109,0,167,429
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 65","Pointe-Claire",0,10,4,4,48,89,2,157,462
