Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Amélie Charbonneau,Marie-Hélène Gaudreau,Michel Le Comte,Michel Noël De Tilly,Daniel Paquette,Emrick Vienneau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24036,"Laurentides--Labelle/Laurentides--Labelle"," 1","Sainte-Anne-du-Lac",2,73,3,3,28,25,1,135,240
24036,"Laurentides--Labelle/Laurentides--Labelle"," 2","Sainte-Anne-du-Lac",4,88,0,1,32,32,4,161,287
24036,"Laurentides--Labelle/Laurentides--Labelle"," 3","L'Ascension",3,99,4,3,32,50,4,195,387
24036,"Laurentides--Labelle/Laurentides--Labelle"," 4","L'Ascension",8,76,6,1,50,54,3,198,413
24036,"Laurentides--Labelle/Laurentides--Labelle"," 5","Ferme-Neuve",2,73,2,2,29,52,3,163,398
24036,"Laurentides--Labelle/Laurentides--Labelle"," 6","Ferme-Neuve",4,56,1,5,28,17,1,112,363
24036,"Laurentides--Labelle/Laurentides--Labelle"," 7","Ferme-Neuve",3,71,1,5,25,35,3,143,432
24036,"Laurentides--Labelle/Laurentides--Labelle"," 8","Ferme-Neuve",4,73,0,1,16,35,6,135,411
24036,"Laurentides--Labelle/Laurentides--Labelle"," 9","Ferme-Neuve",3,58,5,3,21,32,6,128,326
24036,"Laurentides--Labelle/Laurentides--Labelle"," 10","Ferme-Neuve",3,78,2,5,29,37,5,159,429
24036,"Laurentides--Labelle/Laurentides--Labelle"," 11","Mont-Saint-Michel",5,78,3,7,17,45,2,157,287
24036,"Laurentides--Labelle/Laurentides--Labelle"," 12","Mont-Saint-Michel",5,53,3,5,21,30,4,121,298
24036,"Laurentides--Labelle/Laurentides--Labelle"," 13","Lac-Saint-Paul",1,123,2,3,43,62,6,240,446
24036,"Laurentides--Labelle/Laurentides--Labelle"," 14","Chute-Saint-Philippe",2,109,3,5,38,86,7,250,476
