Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Luc Berthold,Gabriel D'Astous,Yves Gilbert,Réjean Hurteau,Charles Mckaig,Marek Spacek,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 1A","Sainte-Croix",Combined with No./Résultats combinés à ceux du n°6,,,,,,,,12
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 1B","Sainte-Croix",106,3,2,48,44,1,0,204,365
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 2","Sainte-Croix",107,6,2,52,48,6,3,224,525
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 3","Sainte-Croix",102,0,0,50,49,3,3,207,458
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 4","Sainte-Croix",104,5,0,51,54,1,3,218,426
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 5","Sainte-Croix",62,3,3,13,26,1,2,110,217
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 6","Notre-Dame-du-Sacré-Coeur-d'Issoudun",112,3,0,24,24,2,5,170,272
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 7","Notre-Dame-du-Sacré-Coeur-d'Issoudun",156,4,0,34,30,6,2,232,381
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 8","Lotbinière",59,7,1,41,53,4,3,168,332
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 9","Lotbinière",101,3,0,51,35,2,1,193,377
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 10","Saint-Flavien",102,1,0,22,32,5,1,163,317
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 11","Saint-Flavien",82,3,0,24,36,1,7,153,290
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 12","Saint-Flavien",100,6,0,33,40,7,3,189,317
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 13","Saint-Flavien",93,1,2,31,21,0,6,154,289
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 14","Saint-Édouard-de-Lotbinière",89,3,0,28,27,3,2,152,272
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 15","Saint-Édouard-de-Lotbinière",130,5,0,29,34,1,5,204,302
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 16","Saint-Édouard-de-Lotbinière",103,3,2,31,44,0,2,185,331
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 17","Laurier-Station",103,2,1,27,33,0,4,170,410
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 18","Laurier-Station",82,4,0,16,29,2,0,133,298
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 19","Laurier-Station",152,3,0,38,41,0,6,240,515
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 20","Laurier-Station",64,2,2,24,40,3,5,140,344
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 21","Laurier-Station",85,1,0,15,37,2,2,142,342
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 22","Laurier-Station",94,2,0,33,20,1,7,157,389
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 23","Dosquet",129,7,1,27,45,5,10,224,368
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 24","Dosquet",127,2,1,38,36,7,5,216,399
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 25","Saint-Janvier-de-Joly",149,3,0,28,27,2,3,212,359
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 26","Saint-Janvier-de-Joly",152,4,1,44,34,5,5,245,418
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 27","Leclercville",121,7,0,79,64,6,5,282,407
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 28","Sainte-Agathe-de-Lotbinière",203,3,1,38,59,8,6,318,431
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 29A","Sainte-Agathe-de-Lotbinière",197,9,1,33,59,3,4,306,424
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 29B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,17
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 30","Val-Alain",153,2,0,23,16,1,5,200,417
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 31","Val-Alain",123,5,0,37,40,1,4,210,454
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 32","Lyster",168,3,5,27,42,4,3,252,384
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 33","Lyster",183,6,1,34,50,2,1,277,455
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 34","Lyster",161,4,0,38,42,0,7,252,444
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 35","Saint-Jacques-de-Leeds",148,2,1,15,22,5,10,203,286
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 36","Saint-Jacques-de-Leeds",136,4,0,22,32,3,3,200,278
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 37","Saint-Pierre-de-Broughton",166,3,0,14,28,7,0,218,351
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 38","Saint-Pierre-de-Broughton",126,3,0,27,13,1,2,172,355
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 39","Sacré-Coeur-de-Jésus",95,2,0,16,25,3,4,145,285
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 40","East Broughton",98,0,1,10,19,1,0,129,293
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 41","East Broughton",118,2,0,22,8,4,2,156,320
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 42","East Broughton",108,0,0,17,19,1,1,146,368
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 43","Sacré-Coeur-de-Jésus",99,3,0,12,18,2,2,136,283
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 44","Sacré-Coeur-de-Jésus",127,1,0,18,18,2,1,167,355
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 45","Sacré-Coeur-de-Jésus",173,5,4,26,15,5,3,231,448
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 46","Villeroy",164,8,0,41,38,6,7,264,427
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 47","Inverness",152,7,0,40,30,6,6,241,362
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 48","Laurierville",165,7,2,37,29,1,6,247,417
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 49","Laurierville",137,3,0,24,31,1,3,199,309
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 50","Laurierville",161,5,0,29,32,4,5,236,325
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 51","Inverness",197,5,0,51,45,0,6,304,424
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 52","Notre-Dame-de-Lourdes",151,6,0,23,25,6,0,211,294
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 53","Notre-Dame-de-Lourdes",151,3,1,13,24,3,3,198,306
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 54","Kinnear's Mills",148,2,1,35,38,1,1,226,330
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 55","Thetford Mines",104,6,0,33,30,2,5,180,245
