Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Fatima Badran,Jean-Sébastien Lepage,Denis Perreault,Luc Thériault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24050,"Montcalm/Montcalm"," 1","Saint-Liguori",42,45,3,84,3,177,367
24050,"Montcalm/Montcalm"," 2","Saint-Liguori",55,56,8,123,5,247,457
24050,"Montcalm/Montcalm"," 3","Saint-Liguori",61,62,7,154,6,290,520
24050,"Montcalm/Montcalm"," 4","Saint-Liguori",40,63,3,133,8,247,406
24050,"Montcalm/Montcalm"," 5","Sainte-Julienne",37,31,3,51,5,127,443
24050,"Montcalm/Montcalm"," 6","Sainte-Julienne",42,44,3,89,1,179,464
24050,"Montcalm/Montcalm"," 7","Sainte-Julienne",22,56,5,50,1,134,343
24050,"Montcalm/Montcalm"," 8","Sainte-Julienne",22,32,1,68,2,125,308
24050,"Montcalm/Montcalm"," 9","Sainte-Julienne",26,40,4,104,3,177,473
24050,"Montcalm/Montcalm"," 10","Sainte-Julienne",14,24,2,47,1,88,299
24050,"Montcalm/Montcalm"," 11","Sainte-Julienne",21,46,3,68,4,142,432
24050,"Montcalm/Montcalm"," 12","Sainte-Julienne",32,62,6,63,3,166,449
24050,"Montcalm/Montcalm"," 13","Sainte-Julienne",19,57,4,63,6,149,390
24050,"Montcalm/Montcalm"," 14","Sainte-Julienne",21,35,9,51,4,120,364
24050,"Montcalm/Montcalm"," 15","Saint-Jacques",54,76,9,89,2,230,536
24050,"Montcalm/Montcalm"," 16","Saint-Jacques",19,40,4,68,1,132,326
24050,"Montcalm/Montcalm"," 17","Saint-Alexis",22,61,9,100,3,195,441
24050,"Montcalm/Montcalm"," 18","Saint-Alexis",26,31,2,115,3,177,308
24050,"Montcalm/Montcalm"," 19","Saint-Alexis",27,49,5,74,1,156,350
24050,"Montcalm/Montcalm"," 20","Sainte-Marie-Salomé",33,36,3,91,6,169,262
24050,"Montcalm/Montcalm"," 21","Sainte-Marie-Salomé",61,39,10,118,3,231,392
24050,"Montcalm/Montcalm"," 22","Sainte-Marie-Salomé",41,52,6,89,8,196,347
24050,"Montcalm/Montcalm"," 23","Saint-Jacques",40,39,3,78,5,165,444
24050,"Montcalm/Montcalm"," 24A","Saint-Jacques",36,33,9,78,1,157,433
24050,"Montcalm/Montcalm"," 24B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,30
24050,"Montcalm/Montcalm"," 25A","Saint-Jacques",38,48,11,105,2,204,534
24050,"Montcalm/Montcalm"," 25B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,13
24050,"Montcalm/Montcalm"," 26","Saint-Jacques",35,49,11,85,3,183,374
24050,"Montcalm/Montcalm"," 27","Saint-Jacques",20,46,11,75,2,154,375
24050,"Montcalm/Montcalm"," 28","Saint-Jacques",21,32,1,102,3,159,361
24050,"Montcalm/Montcalm"," 29","Saint-Jacques",27,28,2,87,0,144,339
24050,"Montcalm/Montcalm"," 30","Sainte-Julienne",18,53,4,61,2,138,323
24050,"Montcalm/Montcalm"," 31","Sainte-Julienne",31,50,0,77,1,159,329
24050,"Montcalm/Montcalm"," 32","Sainte-Julienne",29,32,5,57,1,124,258
24050,"Montcalm/Montcalm"," 33","Sainte-Julienne",38,50,7,83,4,182,461
24050,"Montcalm/Montcalm"," 34","Sainte-Julienne",55,58,7,91,6,217,496
24050,"Montcalm/Montcalm"," 35A","Sainte-Julienne",35,46,10,51,8,150,405
24050,"Montcalm/Montcalm"," 35B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,12
24050,"Montcalm/Montcalm"," 36A","Sainte-Julienne",15,18,5,37,5,80,275
24050,"Montcalm/Montcalm"," 36B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,51
24050,"Montcalm/Montcalm"," 37","Sainte-Julienne",33,44,6,53,6,142,419
24050,"Montcalm/Montcalm"," 38","Sainte-Julienne",32,27,9,80,4,152,431
24050,"Montcalm/Montcalm"," 39","Sainte-Julienne",25,43,13,83,5,169,443
24050,"Montcalm/Montcalm"," 40","Sainte-Julienne",22,33,6,78,10,149,484
24050,"Montcalm/Montcalm"," 41","Sainte-Julienne",21,44,3,50,10,128,394
24050,"Montcalm/Montcalm"," 42","Sainte-Julienne",31,35,1,91,4,162,396
24050,"Montcalm/Montcalm"," 43","Sainte-Julienne",31,52,10,73,1,167,449
24050,"Montcalm/Montcalm"," 44","Sainte-Julienne",34,56,10,102,4,206,500
24050,"Montcalm/Montcalm"," 45A","Saint-Esprit",57,64,8,85,4,218,387
24050,"Montcalm/Montcalm"," 45B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,12
24050,"Montcalm/Montcalm"," 46","Saint-Esprit",23,26,6,71,4,130,242
24050,"Montcalm/Montcalm"," 47","Saint-Esprit",38,42,4,102,5,191,324
24050,"Montcalm/Montcalm"," 48","Saint-Esprit",53,59,7,119,6,244,481
24050,"Montcalm/Montcalm"," 49","Saint-Esprit",47,74,10,124,4,259,391
24050,"Montcalm/Montcalm"," 50","L'Épiphanie",28,36,3,41,1,109,258
24050,"Montcalm/Montcalm"," 51","L'Épiphanie",32,46,11,105,7,201,426
24050,"Montcalm/Montcalm"," 52","L'Épiphanie",42,52,8,79,9,190,513
24050,"Montcalm/Montcalm"," 53","L'Épiphanie",48,54,8,116,7,233,532
24050,"Montcalm/Montcalm"," 54","L'Épiphanie",28,33,8,89,7,165,398
24050,"Montcalm/Montcalm"," 55","L'Épiphanie",35,44,10,72,7,168,444
24050,"Montcalm/Montcalm"," 56","L'Épiphanie",26,18,7,54,3,108,378
24050,"Montcalm/Montcalm"," 57","L'Épiphanie",70,59,12,114,6,261,576
24050,"Montcalm/Montcalm"," 58","L'Épiphanie",45,76,5,81,3,210,445
24050,"Montcalm/Montcalm"," 59","L'Épiphanie",24,24,6,42,3,99,348
24050,"Montcalm/Montcalm"," 60","L'Épiphanie",32,48,15,59,5,159,428
24050,"Montcalm/Montcalm"," 61","L'Épiphanie",38,43,14,88,0,183,391
24050,"Montcalm/Montcalm"," 62","L'Épiphanie",57,52,12,118,5,244,568
24050,"Montcalm/Montcalm"," 63","L'Épiphanie",48,76,7,105,3,239,504
24050,"Montcalm/Montcalm"," 64","L'Épiphanie",25,26,10,67,3,131,358
24050,"Montcalm/Montcalm"," 65","L'Épiphanie",27,35,3,69,2,136,351
24050,"Montcalm/Montcalm"," 66","Saint-Lin--Laurentides",27,52,3,54,5,141,439
24050,"Montcalm/Montcalm"," 67","Saint-Lin--Laurentides",20,49,5,60,4,138,461
24050,"Montcalm/Montcalm"," 68","Saint-Lin--Laurentides",20,32,10,41,3,106,398
24050,"Montcalm/Montcalm"," 69","Saint-Lin--Laurentides",19,42,9,71,5,146,445
24050,"Montcalm/Montcalm"," 70","Saint-Lin--Laurentides",33,33,3,78,2,149,444
24050,"Montcalm/Montcalm"," 71","Saint-Lin--Laurentides",17,43,3,63,2,128,331
24050,"Montcalm/Montcalm"," 72","Saint-Lin--Laurentides",21,54,0,41,2,118,364
24050,"Montcalm/Montcalm"," 73","Saint-Lin--Laurentides",33,34,5,52,4,128,379
24050,"Montcalm/Montcalm"," 74","Saint-Roch-de-l'Achigan",27,56,4,116,7,210,465
24050,"Montcalm/Montcalm"," 75","Saint-Roch-de-l'Achigan",24,44,4,65,5,142,371
24050,"Montcalm/Montcalm"," 76","Saint-Roch-Ouest",24,44,1,59,2,130,311
24050,"Montcalm/Montcalm"," 77","Saint-Roch-de-l'Achigan",21,46,1,83,0,151,357
24050,"Montcalm/Montcalm"," 78","Saint-Roch-Ouest",17,35,5,52,1,110,253
24050,"Montcalm/Montcalm"," 79A","Saint-Roch-de-l'Achigan",25,27,5,94,1,152,358
24050,"Montcalm/Montcalm"," 79B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,31
24050,"Montcalm/Montcalm"," 80","Saint-Roch-de-l'Achigan",26,27,1,69,8,131,318
24050,"Montcalm/Montcalm"," 81","Saint-Roch-de-l'Achigan",31,38,7,66,4,146,420
24050,"Montcalm/Montcalm"," 82","Saint-Roch-de-l'Achigan",23,34,0,77,1,135,364
24050,"Montcalm/Montcalm"," 83","Saint-Roch-Ouest",18,22,6,48,2,96,226
24050,"Montcalm/Montcalm"," 84","Saint-Roch-de-l'Achigan",29,47,3,97,6,182,420
24050,"Montcalm/Montcalm"," 85","Saint-Roch-de-l'Achigan",15,37,1,70,4,127,259
24050,"Montcalm/Montcalm"," 86","Saint-Roch-de-l'Achigan",25,41,2,58,1,127,321
24050,"Montcalm/Montcalm"," 87","Saint-Lin--Laurentides",20,39,2,47,5,113,356
24050,"Montcalm/Montcalm"," 88","Saint-Lin--Laurentides",19,49,7,55,3,133,402
24050,"Montcalm/Montcalm"," 89","Saint-Lin--Laurentides",31,47,1,70,3,152,428
24050,"Montcalm/Montcalm"," 90","Saint-Lin--Laurentides",53,57,6,65,8,189,582
24050,"Montcalm/Montcalm"," 91","Saint-Lin--Laurentides",24,42,7,59,5,137,430
24050,"Montcalm/Montcalm"," 92","Saint-Lin--Laurentides",32,43,3,53,4,135,492
24050,"Montcalm/Montcalm"," 93","Saint-Lin--Laurentides",15,46,2,48,2,113,283
24050,"Montcalm/Montcalm"," 94","Saint-Lin--Laurentides",24,36,11,53,11,135,388
24050,"Montcalm/Montcalm"," 95","Saint-Lin--Laurentides",9,21,2,35,1,68,230
24050,"Montcalm/Montcalm"," 96","Saint-Lin--Laurentides",22,26,1,45,2,96,337
24050,"Montcalm/Montcalm"," 97","Saint-Lin--Laurentides",9,22,4,26,4,65,365
24050,"Montcalm/Montcalm"," 98","Saint-Lin--Laurentides",45,54,9,59,6,173,495
24050,"Montcalm/Montcalm"," 99","Saint-Lin--Laurentides",23,61,10,80,4,178,503
24050,"Montcalm/Montcalm"," 100","Saint-Lin--Laurentides",31,57,9,70,7,174,402
