Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Gérard Briand,Bart Cortenbach,Caroline Desbiens,Gabriel Hardy,Alex Ouellet-Bélanger,Élie Prud'Homme-Tessier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 1","Baie-Sainte-Catherine",2,2,52,14,15,1,2,88,159
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 2","Baie-des-Rochers",0,1,41,18,11,2,1,74,170
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 3","Saint-Siméon",1,0,64,18,30,1,3,117,278
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 4A","Saint-Siméon",0,0,45,22,14,1,0,82,258
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 4B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,7
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 5","Port-au-Persil",0,1,43,13,19,0,0,76,247
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 6","La Malbaie",2,1,51,20,39,1,0,114,268
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 7","La Malbaie",0,1,74,25,39,6,4,149,311
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 8","La Malbaie",1,0,54,20,25,1,0,101,314
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 9","La Malbaie",1,4,57,46,40,0,1,149,355
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 10","La Malbaie",0,0,53,36,21,0,5,115,306
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 11","La Malbaie",1,0,63,30,16,2,2,114,325
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 12","La Malbaie",2,1,73,44,27,1,1,149,326
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 13","La Malbaie",2,2,61,16,31,0,0,112,310
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 14","La Malbaie",0,0,57,36,30,1,5,129,290
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 15","Sagard",0,0,29,27,13,0,0,69,171
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 16","Clermont",1,0,49,30,15,0,3,98,285
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 17","Clermont",0,0,52,66,30,1,4,153,430
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 18","Clermont",0,1,88,31,27,0,1,148,371
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 19","Clermont",5,3,74,38,18,0,3,141,414
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 20","Clermont",4,1,57,43,38,1,1,145,391
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 21","Clermont",2,0,62,30,24,1,0,119,334
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 22","Clermont",1,2,55,37,17,0,0,112,304
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 23","La Malbaie",1,1,88,25,43,3,3,164,490
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 24","La Malbaie",3,0,47,12,26,1,1,90,352
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 25","La Malbaie",3,1,77,53,32,0,0,166,466
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 26","La Malbaie",3,0,74,41,44,2,2,166,388
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 27","Saint-Aimé-des-Lacs",0,0,76,64,34,2,5,181,338
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 28","Saint-Aimé-des-Lacs",0,1,51,47,30,0,1,130,250
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 29","Saint-Aimé-des-Lacs",3,0,46,49,39,3,1,141,342
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 30","La Malbaie",1,1,65,47,28,1,1,144,308
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 31","La Malbaie",1,0,78,21,49,3,0,152,397
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 32","La Malbaie",1,2,57,10,22,0,1,93,335
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 33","La Malbaie",2,2,65,17,31,0,2,119,321
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 34","La Malbaie",0,1,57,20,18,1,1,98,276
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 35","La Malbaie",1,3,51,31,20,0,2,108,320
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 36","La Malbaie",1,0,66,14,22,1,4,108,308
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 37","Notre-Dame-des-Monts",3,0,95,54,33,3,4,192,347
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 38","Notre-Dame-des-Monts",2,1,87,45,36,0,2,173,330
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 39","Saint-Irénée",1,1,78,38,36,0,7,161,293
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 40","Saint-Irénée",2,0,113,16,47,0,0,178,316
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 41A","Saint-Hilarion",5,2,52,55,33,0,4,151,289
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 41B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,2
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 42","Saint-Hilarion",4,2,75,35,44,0,3,163,293
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 43","Saint-Hilarion",6,1,82,77,41,1,3,211,392
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 44","Saint-Urbain",0,0,53,24,19,2,4,102,226
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 45","Saint-Urbain",0,0,92,43,39,1,2,177,351
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 46","Saint-Urbain",4,0,56,30,36,2,0,128,289
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 47","Saint-Urbain",1,2,63,26,21,1,3,117,280
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 48","Les Éboulements",5,3,67,27,33,4,0,139,280
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 49","Les Éboulements",1,1,93,29,41,1,2,168,299
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 50","Les Éboulements",0,5,86,37,64,1,1,194,448
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 51","Les Éboulements",0,0,59,26,38,3,2,128,362
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 52","Baie-Saint-Paul",2,1,61,19,28,2,0,113,376
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 53","Baie-Saint-Paul",4,1,100,29,30,3,4,171,375
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 54","Baie-Saint-Paul",1,2,86,25,33,1,0,148,422
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 55","Baie-Saint-Paul",2,0,54,23,42,2,1,124,369
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 56","Baie-Saint-Paul",4,3,75,19,18,4,5,128,358
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 57","Saint-Bernard-sur-Mer",0,1,64,22,32,1,2,122,376
