Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Noah Cherney,Garnet Colly,Stéphane Doucet,Sophy Forget Bélec,Marjorie Michel,Niall Ricardo,Julio Rivera,Xavier Watso,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24054,"Papineau/Papineau"," 1","Montréal",4,0,1,17,109,13,32,2,1,179,429
24054,"Papineau/Papineau"," 2","Montréal",0,0,2,35,104,23,33,2,1,200,451
24054,"Papineau/Papineau"," 3","Montréal",5,7,0,11,121,8,35,2,3,192,473
24054,"Papineau/Papineau"," 4","Montréal",7,1,1,55,134,31,24,0,4,257,538
24054,"Papineau/Papineau"," 5","Montréal",3,2,0,25,127,24,38,3,3,225,520
24054,"Papineau/Papineau"," 6","Montréal",2,2,1,28,75,16,27,1,3,155,416
24054,"Papineau/Papineau"," 7","Montréal",2,2,1,51,99,17,33,5,6,216,454
24054,"Papineau/Papineau"," 8","Montréal",0,0,1,32,132,18,28,0,1,212,450
24054,"Papineau/Papineau"," 9","Montréal",0,0,1,32,55,20,24,3,4,139,371
24054,"Papineau/Papineau"," 10","Montréal",6,0,0,17,104,9,24,1,2,163,400
24054,"Papineau/Papineau"," 11","Montréal",1,1,0,26,111,18,41,1,1,200,467
24054,"Papineau/Papineau"," 12","Montréal",5,0,3,28,84,22,25,5,4,176,388
24054,"Papineau/Papineau"," 13","Montréal",5,1,0,18,76,28,12,1,3,144,390
24054,"Papineau/Papineau"," 14","Montréal",3,0,1,24,106,14,19,1,6,174,429
24054,"Papineau/Papineau"," 15","Montréal",2,1,3,14,95,8,15,0,2,140,427
24054,"Papineau/Papineau"," 16","Montréal",1,1,0,20,102,16,24,2,3,169,411
24054,"Papineau/Papineau"," 17","Montréal",2,0,1,9,75,23,25,0,2,137,402
24054,"Papineau/Papineau"," 18","Montréal",1,2,0,15,74,11,24,0,2,129,403
24054,"Papineau/Papineau"," 19","Montréal",3,0,1,32,83,13,24,1,7,164,398
24054,"Papineau/Papineau"," 20","Montréal",1,2,0,21,116,12,32,0,3,187,390
24054,"Papineau/Papineau"," 21","Montréal",1,0,2,6,68,7,26,1,1,112,392
24054,"Papineau/Papineau"," 22","Montréal",2,1,0,20,86,20,24,1,3,157,394
24054,"Papineau/Papineau"," 23","Montréal",2,1,0,9,57,16,16,1,6,108,351
24054,"Papineau/Papineau"," 24","Montréal",3,1,0,19,66,8,25,4,6,132,339
24054,"Papineau/Papineau"," 25","Montréal",1,0,0,23,67,21,21,2,3,138,374
24054,"Papineau/Papineau"," 26","Montréal",3,2,1,34,82,29,26,1,1,179,426
24054,"Papineau/Papineau"," 27","Montréal",1,1,0,12,107,8,35,1,2,167,370
24054,"Papineau/Papineau"," 28","Montréal",6,1,1,41,105,18,25,2,3,202,405
24054,"Papineau/Papineau"," 29","Montréal",2,0,0,20,88,25,31,0,2,168,409
24054,"Papineau/Papineau"," 30","Montréal",0,1,0,19,102,17,32,1,1,173,408
24054,"Papineau/Papineau"," 31","Montréal",2,0,0,24,101,25,30,0,0,182,377
24054,"Papineau/Papineau"," 32","Montréal",2,0,1,32,65,36,24,0,2,162,407
24054,"Papineau/Papineau"," 33","Montréal",1,1,0,34,92,25,20,4,2,179,391
24054,"Papineau/Papineau"," 34","Montréal",4,0,0,39,67,37,19,4,5,175,416
24054,"Papineau/Papineau"," 35","Montréal",2,2,0,46,89,22,21,1,0,183,412
24054,"Papineau/Papineau"," 36","Montréal",0,0,1,30,88,35,11,1,0,166,402
24054,"Papineau/Papineau"," 37","Montréal",1,0,2,56,77,41,16,3,2,198,427
24054,"Papineau/Papineau"," 38","Montréal",0,2,2,31,87,31,25,5,7,190,408
24054,"Papineau/Papineau"," 39","Montréal",3,1,2,27,92,18,22,3,1,169,411
24054,"Papineau/Papineau"," 40","Montréal",4,1,2,15,78,27,18,6,3,154,379
24054,"Papineau/Papineau"," 41","Montréal",5,1,0,17,84,22,30,3,5,167,406
24054,"Papineau/Papineau"," 42","Montréal",1,0,1,32,102,19,22,2,2,181,370
24054,"Papineau/Papineau"," 43","Montréal",4,3,1,48,128,27,20,6,1,238,427
24054,"Papineau/Papineau"," 44","Montréal",1,1,3,74,108,31,18,2,1,239,436
24054,"Papineau/Papineau"," 45","Montréal",1,0,0,17,65,26,7,1,2,119,362
24054,"Papineau/Papineau"," 46","Montréal",2,0,0,51,87,45,11,5,0,201,410
24054,"Papineau/Papineau"," 47","Montréal",0,0,2,51,110,70,19,5,1,258,550
24054,"Papineau/Papineau"," 48","Montréal",1,1,1,20,79,25,25,9,9,170,425
24054,"Papineau/Papineau"," 49","Montréal",1,0,1,31,102,24,24,2,9,194,427
24054,"Papineau/Papineau"," 50","Montréal",1,1,1,30,75,23,17,5,4,157,404
24054,"Papineau/Papineau"," 51","Montréal",1,1,3,20,101,31,21,4,6,188,411
24054,"Papineau/Papineau"," 52","Montréal",0,3,1,27,89,33,16,6,3,178,435
24054,"Papineau/Papineau"," 53","Montréal",0,0,3,41,99,43,19,6,4,215,529
24054,"Papineau/Papineau"," 54","Montréal",0,0,0,16,79,22,19,1,4,141,434
24054,"Papineau/Papineau"," 55","Montréal",2,2,0,47,84,58,16,2,1,212,545
24054,"Papineau/Papineau"," 56","Montréal",4,4,3,31,104,25,31,3,1,206,526
24054,"Papineau/Papineau"," 57","Montréal",0,0,1,30,101,31,22,0,2,187,409
24054,"Papineau/Papineau"," 58","Montréal",6,1,0,24,79,16,28,3,1,158,388
24054,"Papineau/Papineau"," 59","Montréal",5,0,1,33,84,29,29,3,4,188,431
24054,"Papineau/Papineau"," 60","Montréal",5,0,0,26,97,21,26,1,6,182,435
24054,"Papineau/Papineau"," 61","Montréal",4,0,2,59,111,32,16,6,8,238,485
24054,"Papineau/Papineau"," 62","Montréal",2,0,1,29,94,25,12,3,8,174,423
24054,"Papineau/Papineau"," 63","Montréal",4,2,1,26,94,33,16,1,3,180,379
