Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Xavier Barsalou-Duval,Alexandre Blais,Laurent de Casanove,Jean-François Filion,Vincent Kunda,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 1","Contrecoeur",165,3,93,9,46,0,316,543
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 2","Contrecoeur",122,2,47,10,26,0,207,437
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 3","Contrecoeur",104,3,24,7,24,2,164,427
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 4A","Contrecoeur",102,4,52,5,40,5,208,379
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 4B","Contrecoeur",117,1,48,7,37,0,210,372
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 5","Contrecoeur",104,1,47,6,44,5,207,442
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 6A","Contrecoeur",85,3,62,7,45,3,205,364
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 6B","Contrecoeur",79,2,70,4,52,5,212,376
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 7","Contrecoeur",133,2,43,8,30,5,221,551
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 8","Contrecoeur",99,3,46,2,27,5,182,434
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 9A","Contrecoeur",59,1,18,3,20,2,103,300
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 9B","Contrecoeur",54,3,16,5,26,3,107,300
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 10","Contrecoeur",106,4,49,6,28,3,196,515
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 11","Contrecoeur",115,3,100,6,48,5,277,475
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 12","Contrecoeur",109,0,31,4,49,9,202,536
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 13A","Contrecoeur",94,3,89,4,43,4,237,430
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 13B","Contrecoeur",86,3,94,8,52,2,245,429
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 14","Contrecoeur",89,1,38,4,32,3,167,359
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 15","Saint-Antoine-sur-Richelieu",128,7,58,5,32,2,232,312
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 16","Saint-Antoine-sur-Richelieu",141,2,48,6,31,1,229,402
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 17","Saint-Antoine-sur-Richelieu",111,9,82,11,44,5,262,424
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 18","Saint-Antoine-sur-Richelieu",95,3,52,1,34,8,193,348
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 19","Saint-Denis-sur-Richelieu",117,6,58,9,54,2,246,457
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 20","Saint-Denis-sur-Richelieu",161,8,50,6,34,9,268,443
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 21","Saint-Denis-sur-Richelieu",148,1,39,12,23,2,225,379
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 22","Saint-Denis-sur-Richelieu",82,2,43,1,26,4,158,302
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 23","Saint-Denis-sur-Richelieu",77,2,62,1,15,4,161,325
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 24","Verchères",172,3,81,4,30,2,292,504
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 25","Verchères",136,5,47,5,29,2,224,476
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 26","Verchères",145,2,46,8,32,1,234,458
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 27","Verchères",117,1,43,6,31,2,200,508
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 28","Verchères",153,2,54,8,37,4,258,499
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 29","Verchères",86,1,42,5,26,1,161,390
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 30","Verchères",136,4,40,9,27,5,221,554
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 31","Verchères",134,0,48,4,19,1,206,462
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 32","Verchères",86,2,64,5,24,7,188,456
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 33","Calixa-Lavallée",189,5,48,4,46,5,297,429
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 34","Verchères",76,3,27,3,20,1,130,299
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 35","Saint-Marc-sur-Richelieu",100,4,32,2,23,2,163,335
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 36","Saint-Marc-sur-Richelieu",70,2,51,4,16,3,146,359
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 37","Saint-Marc-sur-Richelieu",127,4,70,2,41,0,244,374
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 38","Saint-Marc-sur-Richelieu",113,1,76,7,27,1,225,400
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 39","Saint-Marc-sur-Richelieu",77,7,63,3,25,4,179,279
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 40","Saint-Charles-sur-Richelieu",80,1,34,2,24,0,141,335
