Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Claude Bertrand,Sophie Chatel,Todd Hoffman,Brian Nolan,Suzanne Proulx,Gilbert W. Whiteduck,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 1","Lac-Rapide",Combined with No./Résultats combinés à ceux du n°2,,,,,,,,214
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 2","Grand-Remous",3,46,1,26,24,7,3,110,373
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 3","Grand-Remous",1,23,1,24,12,7,1,69,281
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 4","Grand-Remous",3,36,1,42,24,6,1,113,362
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 5","Bois-Franc",1,36,2,86,50,9,2,186,358
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 6","Aumond",1,61,3,38,33,13,0,149,325
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 7","Aumond",2,65,1,26,25,11,1,131,335
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 8","Lytton",1,29,0,25,17,0,1,73,217
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 9","Montcerf",3,59,5,59,45,8,0,179,402
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 10","Déléage",1,28,2,26,15,7,1,80,339
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 11","Maniwaki",1,30,1,34,27,7,0,100,336
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 12","Maniwaki",1,25,2,37,36,9,1,111,470
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 13","Maniwaki",1,45,0,20,25,11,0,102,356
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 14","Déléage",1,39,0,21,13,1,1,76,290
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 15","Maniwaki",1,29,0,30,21,14,0,95,435
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 16","Maniwaki",4,31,1,37,20,5,2,100,395
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 17","Déléage",1,16,4,41,12,9,3,86,372
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 18","Egan-Sud",1,50,2,46,42,8,4,153,403
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 19","Déléage",1,28,1,25,8,3,0,66,352
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 20","Déléage",0,14,1,17,16,2,0,50,285
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 21","Maniwaki",1,24,2,21,41,7,2,98,459
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 22","Maniwaki",2,34,0,25,19,4,2,86,326
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 23","Maniwaki",1,41,1,15,24,2,4,88,404
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 24","Kitigan Zibi",0,16,0,7,0,20,0,43,412
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 25","Kitigan Zibi",0,14,0,6,0,10,1,31,252
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 26","Kitigan Zibi",0,15,0,5,1,17,1,39,381
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 27","Rapides-des-Joachims",1,12,0,19,0,2,0,34,101
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 28","Sainte-Thérèse-de-la-Gatineau",1,97,3,50,47,16,1,215,459
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 29","Cayamant",1,52,4,43,34,3,3,140,360
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 30","Cayamant",2,73,1,64,26,6,1,173,421
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 31","Messines",2,42,4,40,34,6,3,131,381
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 32","Messines",2,34,0,29,26,9,2,102,336
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 33","Messines",0,44,1,27,22,3,0,97,344
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 34","Messines",1,48,1,30,36,5,2,123,385
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 35","Bouchette",2,47,2,35,34,9,3,132,271
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 36","Bouchette",0,63,1,31,42,6,2,145,347
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 37","Blue Sea",1,74,1,32,39,6,3,156,358
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 38","Blue Sea",1,53,0,28,26,9,0,117,270
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 39","Gracefield",0,26,0,26,10,4,0,66,275
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 40","Gracefield",0,42,1,47,25,5,0,120,334
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 41","Gracefield",0,30,0,27,22,3,1,83,253
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 42","Gracefield",2,34,3,48,17,3,1,108,358
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 43","Gracefield",3,18,2,24,14,3,2,66,319
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 44","Gracefield",0,21,0,30,8,5,0,64,294
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 45","Gracefield",0,32,2,34,9,4,2,83,282
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 46","Waltham",3,68,4,101,5,3,1,185,309
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 47","Lac-Sainte-Marie",3,78,1,56,14,5,1,158,290
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 48","Lac-Sainte-Marie",2,68,0,48,10,10,0,138,274
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 49","Otter Lake",7,88,8,98,9,2,1,213,434
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 50","Otter Lake",2,80,10,120,7,2,6,227,403
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 51","Kazabazua",3,83,10,89,21,20,2,228,536
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 52","Kazabazua",4,68,4,116,9,13,1,215,485
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 53","Sheen-Esher-Aberdeen-et-Malakoff",4,65,6,61,1,5,0,142,353
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 54","L'Isle-aux-Allumettes",1,44,1,49,1,2,1,99,252
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 55","L'Isle-aux-Allumettes",2,67,3,70,1,5,0,148,380
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 56","L'Isle-aux-Allumettes",0,48,3,88,1,10,0,150,347
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 57","Mansfield-et-Pontefract",3,54,8,74,7,4,1,151,415
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 58","Mansfield-et-Pontefract",0,30,0,44,4,6,0,84,257
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 59","Mansfield-et-Pontefract",1,30,3,76,0,4,2,116,329
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 60","Mansfield-et-Pontefract",0,79,10,99,8,6,0,202,580
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 61","Mansfield-et-Pontefract",0,41,4,64,2,2,2,115,347
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 62","Denholm",4,128,5,82,30,17,4,270,463
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 63","Low",2,38,3,47,4,9,3,106,298
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 64","Low",0,31,0,44,5,5,1,86,222
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 65","Low",4,36,4,60,11,6,3,124,331
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 66","East Aldfield",3,71,2,48,21,2,3,150,292
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 67","Lac-des-Loups",8,58,1,59,27,14,1,168,301
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 68","Lac-des-Loups",0,60,2,48,20,4,3,137,321
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 69","Fort-Coulonge",2,42,4,99,5,2,2,156,449
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 70","Fort-Coulonge",3,39,3,70,4,2,1,122,351
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 71","Fort-Coulonge",0,38,1,44,2,3,0,88,280
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 72","Wakefield--Farrellton",2,46,3,34,3,11,0,99,270
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 73","Wakefield",5,169,1,73,16,34,1,299,632
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 74","La Pêche",4,63,3,36,7,23,2,138,314
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 75","Wakefield",2,56,1,38,4,15,2,118,322
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 76","Wakefield",2,104,0,36,11,27,0,180,498
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 77","Wakefield",2,29,2,19,3,18,2,75,193
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 78","La Pêche",8,94,2,66,13,14,5,202,466
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 79","La Pêche",1,55,0,16,4,27,0,103,312
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 80","Wakefield",5,90,1,24,3,16,1,140,388
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 81","Wakefield",2,37,0,38,8,12,1,98,237
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 82","Vinton",0,35,10,78,4,8,1,136,347
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 83","Campbell's Bay",0,12,5,60,4,2,0,83,302
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 84","Campbell's Bay",0,26,2,55,0,0,0,83,282
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 85","Ladysmith",4,78,10,109,6,17,0,224,411
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 86","Duclos",1,40,0,37,18,7,3,106,272
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 87","Sainte-Cécile-de-Masham",0,59,4,47,30,19,6,165,419
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 88","Sainte-Cécile-de-Masham",5,61,1,31,9,13,2,122,267
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 89","Saint-François-de-Masham",1,88,5,59,36,11,5,205,447
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 90","Sainte-Cécile-de-Masham",1,98,3,48,33,11,1,195,538
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 91","Sainte-Cécile-de-Masham",3,42,1,24,21,3,4,98,261
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 92","Saint-Louis-de-Masham",3,41,1,21,12,2,1,81,220
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 93","Sainte-Cécile-de-Masham",5,45,1,39,22,5,3,120,271
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 94","Cantley",2,80,3,60,30,9,1,185,437
