Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Luc Desilets,Michel Genois,Joseph Hakizimana,Linda Lapointe,Elia Lopez,David Santamaria Quiceno,Alec Ware,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 1","Rosemère",15,0,2,71,39,1,2,0,130,371
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 2","Rosemère",22,1,1,59,45,0,0,0,128,356
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 3","Rosemère",29,1,0,99,40,3,1,0,173,404
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 4","Rosemère",28,1,0,72,50,1,0,2,154,435
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 5","Rosemère",33,1,4,62,38,0,4,1,143,394
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 6","Rosemère",36,0,0,68,24,0,2,0,130,376
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 7","Rosemère",43,0,7,91,29,0,3,0,173,417
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 8","Rosemère",36,0,8,68,24,0,1,1,138,369
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 9","Rosemère",48,1,5,61,18,0,2,1,136,328
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 10","Rosemère",17,0,0,74,33,0,4,1,129,332
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 11","Rosemère",44,0,5,80,21,2,4,0,156,365
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 12","Rosemère",66,0,6,95,26,0,2,1,196,423
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 13","Rosemère",34,0,2,87,23,0,1,1,148,353
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 14","Rosemère",39,0,2,100,59,1,0,1,202,476
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 15","Rosemère",34,0,4,72,36,3,0,1,150,389
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 16","Rosemère",60,1,4,81,47,1,4,3,201,412
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 17","Rosemère",62,0,5,79,14,0,4,1,165,361
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 18","Rosemère",59,1,3,74,21,0,4,2,164,340
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 19","Rosemère",50,0,3,90,23,0,5,2,173,390
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 20","Rosemère",70,0,2,88,29,0,0,3,192,378
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 21","Rosemère",35,0,3,83,39,0,1,0,161,361
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 22","Rosemère",57,0,4,87,22,0,4,2,176,408
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 23","Rosemère",56,2,3,93,28,0,4,1,187,371
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 24","Rosemère",67,1,3,113,29,0,4,2,219,412
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 25","Rosemère",49,0,3,102,16,0,2,3,175,450
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 26","Rosemère",23,1,2,70,20,1,0,0,117,329
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 27","Rosemère",26,0,4,90,27,0,4,1,152,368
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 28","Boisbriand",49,0,3,51,41,1,1,0,146,370
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 29","Rosemère",37,0,2,56,39,0,0,0,134,367
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 30","Boisbriand",56,4,3,62,44,2,5,0,176,431
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 31A","Boisbriand",41,0,3,50,27,0,1,4,126,412
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 31B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,,9
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 32","Boisbriand",48,0,7,73,61,0,0,5,194,461
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 33","Rosemère",31,0,1,87,28,1,0,2,150,415
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 34","Boisbriand",54,0,5,49,27,1,3,6,145,434
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 35","Boisbriand",57,0,4,116,48,0,3,3,231,430
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 36","Boisbriand",68,0,5,113,50,0,3,2,241,569
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 37","Boisbriand",35,0,3,73,33,0,0,2,146,388
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 38","Boisbriand",50,0,3,80,21,3,3,2,162,487
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 39","Boisbriand",50,0,3,85,36,0,5,2,181,375
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 40","Boisbriand",73,1,1,87,23,2,2,1,190,512
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 41","Boisbriand",49,0,5,62,29,0,3,4,152,374
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 42","Boisbriand",49,1,3,55,44,1,4,4,161,341
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 43","Boisbriand",52,0,1,61,22,2,1,0,139,325
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 44","Boisbriand",28,0,2,61,36,0,1,1,129,388
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 45","Boisbriand",46,0,5,41,26,2,2,1,123,374
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 46","Boisbriand",44,1,11,70,36,1,2,0,165,382
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 47","Boisbriand",39,1,8,42,35,1,0,2,128,337
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 48","Boisbriand",32,0,3,28,29,2,3,1,98,337
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 49","Boisbriand",85,0,10,56,49,1,2,2,205,400
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 50","Boisbriand",40,0,3,95,34,2,4,0,178,371
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 51","Boisbriand",49,1,6,50,22,1,1,1,131,357
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 52","Boisbriand",46,0,6,60,33,3,3,0,151,349
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 53","Boisbriand",41,2,2,70,31,0,4,4,154,338
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 54","Boisbriand",45,0,1,99,32,1,0,1,179,368
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 55","Boisbriand",44,1,5,62,36,1,2,0,151,365
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 56","Boisbriand",52,0,10,65,28,1,5,1,162,383
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 57","Boisbriand",50,0,4,86,31,0,0,1,172,379
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 58","Boisbriand",60,0,3,52,36,3,3,2,159,380
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 59","Boisbriand",61,1,5,67,30,0,5,1,170,354
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 60","Boisbriand",40,0,2,58,29,1,3,0,133,351
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 61","Boisbriand",74,0,5,76,44,0,3,1,203,409
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 62","Boisbriand",67,0,5,60,30,1,1,1,165,378
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 63","Boisbriand",42,0,3,71,28,2,3,2,151,372
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 64","Boisbriand",74,1,3,111,39,0,5,1,234,408
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 65","Boisbriand",46,0,8,54,32,0,3,2,145,344
