Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Rhéal Fortin,Christel Marchand,Patricia Morrissette,Mary-Helen Walton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24064,"Rivière-du-Nord/Rivière-du-Nord"," 1","Sainte-Sophie",86,8,57,36,7,194,418
24064,"Rivière-du-Nord/Rivière-du-Nord"," 2","Sainte-Sophie",66,6,60,46,4,182,370
24064,"Rivière-du-Nord/Rivière-du-Nord"," 3","Sainte-Sophie",50,5,35,21,2,113,308
24064,"Rivière-du-Nord/Rivière-du-Nord"," 4","Sainte-Sophie",80,2,53,26,1,162,456
24064,"Rivière-du-Nord/Rivière-du-Nord"," 5","Sainte-Sophie",61,7,64,28,2,162,383
24064,"Rivière-du-Nord/Rivière-du-Nord"," 6","Sainte-Sophie",60,4,43,26,3,136,360
24064,"Rivière-du-Nord/Rivière-du-Nord"," 7","Sainte-Sophie",113,4,67,44,7,235,450
24064,"Rivière-du-Nord/Rivière-du-Nord"," 8","Sainte-Sophie",35,1,22,23,0,81,217
24064,"Rivière-du-Nord/Rivière-du-Nord"," 9","Sainte-Sophie",54,5,52,44,2,157,393
24064,"Rivière-du-Nord/Rivière-du-Nord"," 10","Sainte-Sophie",87,13,51,28,0,179,458
24064,"Rivière-du-Nord/Rivière-du-Nord"," 11","Sainte-Sophie",79,5,54,24,2,164,369
24064,"Rivière-du-Nord/Rivière-du-Nord"," 12","Sainte-Sophie",71,6,66,40,2,185,435
24064,"Rivière-du-Nord/Rivière-du-Nord"," 13","Sainte-Sophie",Combined with No./Résultats combinés à ceux du n°39,,,,,,197
24064,"Rivière-du-Nord/Rivière-du-Nord"," 14","Sainte-Sophie",64,3,48,27,4,146,355
24064,"Rivière-du-Nord/Rivière-du-Nord"," 15","Sainte-Sophie",59,6,38,27,0,130,341
24064,"Rivière-du-Nord/Rivière-du-Nord"," 16","Sainte-Sophie",47,6,42,51,4,150,383
24064,"Rivière-du-Nord/Rivière-du-Nord"," 17","Sainte-Sophie",56,6,43,26,0,131,328
24064,"Rivière-du-Nord/Rivière-du-Nord"," 18","Sainte-Sophie",85,5,38,36,12,176,424
24064,"Rivière-du-Nord/Rivière-du-Nord"," 19","Sainte-Sophie",33,4,41,31,0,109,290
24064,"Rivière-du-Nord/Rivière-du-Nord"," 20","Sainte-Sophie",59,4,38,50,3,154,393
24064,"Rivière-du-Nord/Rivière-du-Nord"," 21","Sainte-Sophie",39,1,25,14,2,81,219
24064,"Rivière-du-Nord/Rivière-du-Nord"," 22","Sainte-Sophie",57,4,36,28,2,127,298
24064,"Rivière-du-Nord/Rivière-du-Nord"," 23","Sainte-Sophie",44,5,29,18,0,96,247
24064,"Rivière-du-Nord/Rivière-du-Nord"," 24","Sainte-Sophie",32,2,24,21,0,79,258
24064,"Rivière-du-Nord/Rivière-du-Nord"," 25","Sainte-Sophie",57,1,48,13,3,122,341
24064,"Rivière-du-Nord/Rivière-du-Nord"," 26","Sainte-Sophie",31,4,24,16,2,77,212
24064,"Rivière-du-Nord/Rivière-du-Nord"," 27","Sainte-Sophie",46,3,26,28,5,108,332
24064,"Rivière-du-Nord/Rivière-du-Nord"," 28","Sainte-Sophie",77,6,38,29,0,150,361
24064,"Rivière-du-Nord/Rivière-du-Nord"," 29","Sainte-Sophie",60,0,42,30,6,138,326
24064,"Rivière-du-Nord/Rivière-du-Nord"," 30","Sainte-Sophie",45,4,40,19,8,116,372
24064,"Rivière-du-Nord/Rivière-du-Nord"," 31","Sainte-Sophie",53,7,23,17,1,101,336
24064,"Rivière-du-Nord/Rivière-du-Nord"," 32","Sainte-Sophie",38,3,39,27,3,110,362
24064,"Rivière-du-Nord/Rivière-du-Nord"," 33","Sainte-Sophie",52,7,41,25,1,126,418
24064,"Rivière-du-Nord/Rivière-du-Nord"," 34","Sainte-Sophie",67,1,40,34,3,145,387
24064,"Rivière-du-Nord/Rivière-du-Nord"," 35","Sainte-Sophie",Combined with No./Résultats combinés à ceux du n°37,,,,,,216
24064,"Rivière-du-Nord/Rivière-du-Nord"," 36","Sainte-Sophie",55,6,49,30,2,142,375
24064,"Rivière-du-Nord/Rivière-du-Nord"," 37","Sainte-Sophie",76,5,54,63,0,198,239
24064,"Rivière-du-Nord/Rivière-du-Nord"," 38","Sainte-Sophie",51,4,48,27,0,130,327
24064,"Rivière-du-Nord/Rivière-du-Nord"," 39","Sainte-Sophie",90,6,55,43,6,200,263
24064,"Rivière-du-Nord/Rivière-du-Nord"," 40","Sainte-Sophie",73,8,47,41,6,175,381
24064,"Rivière-du-Nord/Rivière-du-Nord"," 41","Sainte-Sophie",64,3,60,36,1,164,318
24064,"Rivière-du-Nord/Rivière-du-Nord"," 42","Sainte-Sophie",37,8,29,15,3,92,231
24064,"Rivière-du-Nord/Rivière-du-Nord"," 43","Sainte-Sophie",38,3,36,13,4,94,236
24064,"Rivière-du-Nord/Rivière-du-Nord"," 44A","Sainte-Sophie",42,2,57,43,6,150,359
24064,"Rivière-du-Nord/Rivière-du-Nord"," 44B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,26
24064,"Rivière-du-Nord/Rivière-du-Nord"," 45","Saint-Jérôme",63,2,30,41,3,139,360
24064,"Rivière-du-Nord/Rivière-du-Nord"," 46","Saint-Jérôme",60,6,44,34,2,146,367
24064,"Rivière-du-Nord/Rivière-du-Nord"," 47","Saint-Jérôme",80,5,40,69,1,195,458
24064,"Rivière-du-Nord/Rivière-du-Nord"," 48","Saint-Jérôme",64,7,50,52,3,176,491
24064,"Rivière-du-Nord/Rivière-du-Nord"," 49","Saint-Jérôme",80,5,56,47,5,193,557
24064,"Rivière-du-Nord/Rivière-du-Nord"," 50","Saint-Jérôme",54,2,45,44,1,146,395
24064,"Rivière-du-Nord/Rivière-du-Nord"," 51","Saint-Jérôme",47,6,24,39,5,121,390
24064,"Rivière-du-Nord/Rivière-du-Nord"," 52","Saint-Jérôme",78,8,44,51,2,183,502
24064,"Rivière-du-Nord/Rivière-du-Nord"," 53","Saint-Jérôme",53,9,38,34,2,136,420
24064,"Rivière-du-Nord/Rivière-du-Nord"," 54","Saint-Jérôme",63,4,25,31,0,123,347
24064,"Rivière-du-Nord/Rivière-du-Nord"," 55","Saint-Jérôme",61,5,32,52,0,150,438
24064,"Rivière-du-Nord/Rivière-du-Nord"," 56","Saint-Jérôme",39,5,19,29,3,95,345
24064,"Rivière-du-Nord/Rivière-du-Nord"," 57","Saint-Jérôme",43,7,36,29,5,120,362
24064,"Rivière-du-Nord/Rivière-du-Nord"," 58","Saint-Jérôme",48,6,33,34,0,121,456
24064,"Rivière-du-Nord/Rivière-du-Nord"," 59","Saint-Jérôme",74,3,50,89,1,217,542
24064,"Rivière-du-Nord/Rivière-du-Nord"," 60","Saint-Jérôme",61,6,69,51,5,192,560
