Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ryan Byrne,Richard Chambers,Manon Chevalier,Fernand Deschamps,Marielle Gendron,Emmanuella Lambropoulos,Richard Serour,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24068,"Saint-Laurent/Saint-Laurent"," 1","Montréal",11,5,2,0,3,133,62,3,219,497
24068,"Saint-Laurent/Saint-Laurent"," 2","Montréal",5,2,1,0,5,197,92,8,310,617
24068,"Saint-Laurent/Saint-Laurent"," 3","Montréal",16,2,1,0,9,140,48,1,217,570
24068,"Saint-Laurent/Saint-Laurent"," 4","Montréal",6,2,0,1,8,112,75,5,209,543
24068,"Saint-Laurent/Saint-Laurent"," 5","Montréal",10,0,2,0,6,101,26,15,160,496
24068,"Saint-Laurent/Saint-Laurent"," 6","Montréal",11,2,1,1,1,105,37,6,164,433
24068,"Saint-Laurent/Saint-Laurent"," 7","Montréal",11,4,2,0,8,75,37,4,141,444
24068,"Saint-Laurent/Saint-Laurent"," 8","Montréal",12,2,1,3,3,129,48,2,200,487
24068,"Saint-Laurent/Saint-Laurent"," 9","Montréal",11,6,0,0,13,102,48,3,183,526
24068,"Saint-Laurent/Saint-Laurent"," 10","Montréal",13,2,2,0,11,124,70,8,230,640
24068,"Saint-Laurent/Saint-Laurent"," 11","Montréal",14,2,5,0,11,97,74,6,209,616
24068,"Saint-Laurent/Saint-Laurent"," 12","Montréal",7,0,1,0,4,103,61,1,177,443
24068,"Saint-Laurent/Saint-Laurent"," 13","Montréal",9,3,3,0,4,128,64,3,214,608
24068,"Saint-Laurent/Saint-Laurent"," 14","Montréal",7,1,3,0,5,115,44,7,182,562
24068,"Saint-Laurent/Saint-Laurent"," 15","Montréal",9,6,2,0,7,115,61,3,203,532
24068,"Saint-Laurent/Saint-Laurent"," 16","Montréal",17,3,2,1,9,127,59,5,223,529
24068,"Saint-Laurent/Saint-Laurent"," 17","Montréal",6,4,1,3,10,137,72,4,237,598
24068,"Saint-Laurent/Saint-Laurent"," 18","Montréal",7,3,1,1,7,121,51,1,192,611
24068,"Saint-Laurent/Saint-Laurent"," 19","Montréal",6,1,1,0,4,120,51,2,185,639
24068,"Saint-Laurent/Saint-Laurent"," 20","Montréal",7,2,0,2,5,99,62,4,181,631
24068,"Saint-Laurent/Saint-Laurent"," 21","Montréal",7,3,2,0,5,96,28,2,143,454
24068,"Saint-Laurent/Saint-Laurent"," 22","Montréal",15,5,2,1,5,150,38,4,220,520
24068,"Saint-Laurent/Saint-Laurent"," 23","Montréal",6,1,3,0,1,75,57,0,143,510
24068,"Saint-Laurent/Saint-Laurent"," 24","Montréal",16,1,5,0,6,65,29,1,123,452
24068,"Saint-Laurent/Saint-Laurent"," 25","Montréal",10,7,1,0,12,155,66,4,255,566
24068,"Saint-Laurent/Saint-Laurent"," 26","Montréal",11,6,6,0,15,149,73,2,262,626
24068,"Saint-Laurent/Saint-Laurent"," 27","Montréal",13,4,2,3,9,171,63,6,271,601
24068,"Saint-Laurent/Saint-Laurent"," 28","Montréal",12,6,0,1,21,159,64,0,263,520
24068,"Saint-Laurent/Saint-Laurent"," 29","Montréal",12,5,2,0,13,112,52,3,199,438
24068,"Saint-Laurent/Saint-Laurent"," 30","Montréal",11,1,1,0,11,138,103,11,276,625
24068,"Saint-Laurent/Saint-Laurent"," 31","Montréal",11,2,3,1,12,141,46,3,219,541
24068,"Saint-Laurent/Saint-Laurent"," 32","Montréal",15,3,1,0,6,130,43,5,203,532
24068,"Saint-Laurent/Saint-Laurent"," 33","Montréal",10,5,0,0,15,128,46,1,205,588
24068,"Saint-Laurent/Saint-Laurent"," 34","Montréal",11,0,4,1,4,105,60,5,190,506
24068,"Saint-Laurent/Saint-Laurent"," 35","Montréal",13,3,2,0,7,144,59,10,238,563
24068,"Saint-Laurent/Saint-Laurent"," 36","Montréal",16,30,1,0,35,155,40,2,279,579
24068,"Saint-Laurent/Saint-Laurent"," 37","Montréal",11,7,1,3,15,135,37,0,209,599
24068,"Saint-Laurent/Saint-Laurent"," 38","Montréal",16,5,4,0,18,83,36,0,162,517
24068,"Saint-Laurent/Saint-Laurent"," 39","Montréal",11,11,1,1,23,158,55,5,265,568
24068,"Saint-Laurent/Saint-Laurent"," 40","Montréal",14,7,2,4,25,142,56,1,251,562
24068,"Saint-Laurent/Saint-Laurent"," 41","Montréal",14,3,1,0,9,139,20,5,191,572
24068,"Saint-Laurent/Saint-Laurent"," 42","Montréal",19,5,1,1,34,148,30,4,242,536
24068,"Saint-Laurent/Saint-Laurent"," 43","Montréal",22,5,1,1,23,117,61,5,235,512
24068,"Saint-Laurent/Saint-Laurent"," 44","Montréal",3,2,4,0,7,74,59,4,153,531
24068,"Saint-Laurent/Saint-Laurent"," 45","Montréal",11,8,0,1,42,119,37,2,220,532
24068,"Saint-Laurent/Saint-Laurent"," 46","Montréal",11,3,2,1,5,114,47,2,185,566
24068,"Saint-Laurent/Saint-Laurent"," 47","Montréal",6,6,2,0,4,87,29,3,137,424
24068,"Saint-Laurent/Saint-Laurent"," 48","Montréal",12,1,3,1,11,100,43,5,176,476
24068,"Saint-Laurent/Saint-Laurent"," 49","Montréal",3,0,1,1,9,96,29,2,141,433
24068,"Saint-Laurent/Saint-Laurent"," 50A","Montréal",18,8,1,2,23,101,46,7,206,398
24068,"Saint-Laurent/Saint-Laurent"," 50B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,,31
24068,"Saint-Laurent/Saint-Laurent"," 51","Montréal",11,3,2,0,6,94,22,1,139,443
24068,"Saint-Laurent/Saint-Laurent"," 52A","Montréal",10,2,1,0,9,74,30,6,132,378
24068,"Saint-Laurent/Saint-Laurent"," 52B","Montréal",4,3,1,0,11,76,29,5,129,353
24068,"Saint-Laurent/Saint-Laurent"," 53","Montréal",9,2,3,1,13,100,60,4,192,474
24068,"Saint-Laurent/Saint-Laurent"," 54","Montréal",12,4,1,0,9,160,75,1,262,595
24068,"Saint-Laurent/Saint-Laurent"," 55","Montréal",21,4,2,0,13,178,69,5,292,563
24068,"Saint-Laurent/Saint-Laurent"," 56","Montréal",17,12,3,1,26,166,74,2,301,561
24068,"Saint-Laurent/Saint-Laurent"," 57","Montréal",8,9,4,1,7,145,34,1,209,586
24068,"Saint-Laurent/Saint-Laurent"," 58","Montréal",16,6,1,0,7,92,44,3,169,521
24068,"Saint-Laurent/Saint-Laurent"," 59","Montréal",10,4,1,1,3,113,40,3,175,496
24068,"Saint-Laurent/Saint-Laurent"," 60","Montréal",10,0,2,1,9,137,59,1,219,537
24068,"Saint-Laurent/Saint-Laurent"," 61","Montréal",13,5,0,4,13,128,72,2,237,502
24068,"Saint-Laurent/Saint-Laurent"," 62","Montréal",9,2,3,1,20,168,58,4,265,522
24068,"Saint-Laurent/Saint-Laurent"," 63","Montréal",14,8,5,0,32,112,35,1,207,529
24068,"Saint-Laurent/Saint-Laurent"," 64","Montréal",15,4,2,2,24,92,32,1,172,533
24068,"Saint-Laurent/Saint-Laurent"," 65","Montréal",27,8,1,3,30,123,46,4,242,562
24068,"Saint-Laurent/Saint-Laurent"," 66","Montréal",18,9,2,0,38,100,46,3,216,554
24068,"Saint-Laurent/Saint-Laurent"," 67","Montréal",10,10,1,0,29,177,27,3,257,602
24068,"Saint-Laurent/Saint-Laurent"," 68A","Montréal",4,0,1,0,6,97,55,2,165,370
24068,"Saint-Laurent/Saint-Laurent"," 68B","Montréal",6,1,1,0,8,84,62,4,166,408
24068,"Saint-Laurent/Saint-Laurent"," 69","Montréal",13,1,1,0,6,101,64,4,190,501
24068,"Saint-Laurent/Saint-Laurent"," 70","Montréal",3,2,2,0,9,162,114,0,292,638
24068,"Saint-Laurent/Saint-Laurent"," 71","Montréal",16,2,6,1,27,158,80,9,299,618
24068,"Saint-Laurent/Saint-Laurent"," 72","Montréal",8,4,1,1,22,127,71,2,236,562
24068,"Saint-Laurent/Saint-Laurent"," 73","Montréal",9,2,3,0,9,116,97,0,236,606
24068,"Saint-Laurent/Saint-Laurent"," 74","Montréal",7,2,0,0,19,117,90,0,235,588
24068,"Saint-Laurent/Saint-Laurent"," 75","Montréal",11,0,2,0,12,112,77,1,215,581
24068,"Saint-Laurent/Saint-Laurent"," 76","Montréal",9,1,5,0,3,129,71,1,219,613
24068,"Saint-Laurent/Saint-Laurent"," 77","Montréal",13,1,1,1,8,104,53,3,184,543
24068,"Saint-Laurent/Saint-Laurent"," 78A","Montréal",12,5,0,2,8,62,33,3,125,325
24068,"Saint-Laurent/Saint-Laurent"," 78B","Montréal",7,1,1,1,14,80,31,0,135,329
24068,"Saint-Laurent/Saint-Laurent"," 79","Montréal",19,4,2,3,23,113,55,2,221,513
24068,"Saint-Laurent/Saint-Laurent"," 80","Montréal",22,8,1,0,16,169,50,4,270,571
24068,"Saint-Laurent/Saint-Laurent"," 81","Montréal",14,3,4,1,15,119,61,2,219,593
24068,"Saint-Laurent/Saint-Laurent"," 82","Montréal",12,3,4,0,15,116,76,1,227,574
24068,"Saint-Laurent/Saint-Laurent"," 83","Montréal",6,3,0,0,19,101,61,4,194,582
24068,"Saint-Laurent/Saint-Laurent"," 84","Montréal",7,2,0,2,3,98,67,6,185,515
24068,"Saint-Laurent/Saint-Laurent"," 85","Montréal",4,0,1,0,6,70,65,4,150,586
24068,"Saint-Laurent/Saint-Laurent"," 86","Montréal",8,3,1,1,17,155,65,0,250,630
24068,"Saint-Laurent/Saint-Laurent"," 87","Montréal",8,2,3,1,12,94,65,4,189,447
24068,"Saint-Laurent/Saint-Laurent"," 88","Montréal",10,6,1,0,18,151,80,1,267,563
24068,"Saint-Laurent/Saint-Laurent"," 89","Montréal",20,4,0,3,24,118,60,2,231,577
24068,"Saint-Laurent/Saint-Laurent"," 90","Montréal",8,4,0,1,7,90,85,3,198,491
24068,"Saint-Laurent/Saint-Laurent"," 91","Montréal",3,3,1,0,0,76,59,0,142,560
24068,"Saint-Laurent/Saint-Laurent"," 92","Montréal",7,9,4,2,13,144,71,5,255,605
24068,"Saint-Laurent/Saint-Laurent"," 93","Montréal",11,4,2,0,18,122,83,0,240,567
24068,"Saint-Laurent/Saint-Laurent"," 94","Montréal",6,1,3,0,11,118,67,1,207,552
24068,"Saint-Laurent/Saint-Laurent"," 95","Montréal",11,4,0,0,9,88,48,5,165,494
24068,"Saint-Laurent/Saint-Laurent"," 96","Montréal",5,2,1,0,7,68,57,1,141,355
24068,"Saint-Laurent/Saint-Laurent"," 97","Montréal",6,4,2,0,3,96,68,0,179,517
24068,"Saint-Laurent/Saint-Laurent"," 98","Montréal",16,4,2,0,3,110,44,3,182,538
24068,"Saint-Laurent/Saint-Laurent"," 99","Montréal",8,6,1,1,10,105,67,0,198,566
24068,"Saint-Laurent/Saint-Laurent"," 100A","Montréal",1,0,1,0,2,70,34,0,108,344
24068,"Saint-Laurent/Saint-Laurent"," 100B","Montréal",9,1,2,1,2,45,35,6,101,322
24068,"Saint-Laurent/Saint-Laurent"," 101A","Montréal",5,0,0,1,5,55,48,2,116,372
24068,"Saint-Laurent/Saint-Laurent"," 101B","Montréal",3,3,0,0,2,50,67,3,128,352
24068,"Saint-Laurent/Saint-Laurent"," 102","Montréal",7,2,4,0,1,104,74,7,199,559
24068,"Saint-Laurent/Saint-Laurent"," 103","Montréal",16,3,1,0,3,137,77,7,244,518
24068,"Saint-Laurent/Saint-Laurent"," 104","Montréal",14,2,0,0,6,130,79,8,239,582
