Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Tatiana Auguste,Maxime Beaudoin,Maria Cantore,Adrienne Charles,Benjamin Rankin,Nathalie Sinclair-Desgagné,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24073,"Terrebonne/Terrebonne"," 1","La Plaine",55,4,1,56,3,93,5,217,476
24073,"Terrebonne/Terrebonne"," 2","La Plaine",47,3,2,64,0,96,6,218,556
24073,"Terrebonne/Terrebonne"," 3","Terrebonne",56,10,2,65,7,111,5,256,518
24073,"Terrebonne/Terrebonne"," 4","La Plaine",47,9,2,70,2,117,6,253,474
24073,"Terrebonne/Terrebonne"," 5","Terrebonne",81,9,1,62,4,74,4,235,561
24073,"Terrebonne/Terrebonne"," 6","Terrebonne",97,5,0,67,6,87,7,269,574
24073,"Terrebonne/Terrebonne"," 7","Terrebonne",68,4,1,59,3,85,6,226,542
24073,"Terrebonne/Terrebonne"," 8","Terrebonne",83,10,3,60,3,80,1,240,571
24073,"Terrebonne/Terrebonne"," 9","Terrebonne",36,10,0,47,1,61,5,160,510
24073,"Terrebonne/Terrebonne"," 10","Terrebonne",70,9,1,54,3,71,6,214,589
24073,"Terrebonne/Terrebonne"," 11","Terrebonne",77,4,0,55,2,65,5,208,530
24073,"Terrebonne/Terrebonne"," 12","Terrebonne",103,8,2,43,2,77,3,238,549
24073,"Terrebonne/Terrebonne"," 13","Terrebonne",84,10,3,61,5,77,4,244,541
24073,"Terrebonne/Terrebonne"," 14","Terrebonne",93,12,0,57,1,85,1,249,501
24073,"Terrebonne/Terrebonne"," 15","Terrebonne",60,4,4,48,3,74,6,199,389
24073,"Terrebonne/Terrebonne"," 16","Terrebonne",55,4,3,53,3,91,6,215,417
24073,"Terrebonne/Terrebonne"," 17","La Plaine",62,1,3,49,1,73,1,190,486
24073,"Terrebonne/Terrebonne"," 18","Terrebonne",58,6,5,63,3,97,6,238,527
24073,"Terrebonne/Terrebonne"," 19","Terrebonne",48,9,2,43,0,92,6,200,525
24073,"Terrebonne/Terrebonne"," 20","Terrebonne",39,9,2,63,1,97,6,217,506
24073,"Terrebonne/Terrebonne"," 21","Terrebonne",58,6,4,49,0,51,4,172,476
24073,"Terrebonne/Terrebonne"," 22","Terrebonne",74,11,4,38,2,90,2,221,488
24073,"Terrebonne/Terrebonne"," 23","Terrebonne",101,6,2,50,4,72,6,241,526
24073,"Terrebonne/Terrebonne"," 24","Terrebonne",43,6,0,57,3,97,5,211,523
24073,"Terrebonne/Terrebonne"," 25","Terrebonne",122,5,3,61,5,79,5,280,587
24073,"Terrebonne/Terrebonne"," 26","Terrebonne",129,11,1,52,6,78,4,281,610
24073,"Terrebonne/Terrebonne"," 27","Terrebonne",56,6,7,54,5,108,2,238,532
24073,"Terrebonne/Terrebonne"," 28","Terrebonne",104,7,1,50,3,65,5,235,573
24073,"Terrebonne/Terrebonne"," 29","Terrebonne",82,9,5,70,0,95,4,265,559
24073,"Terrebonne/Terrebonne"," 30","Terrebonne",92,11,5,68,4,77,5,262,566
24073,"Terrebonne/Terrebonne"," 31","Terrebonne",93,9,0,68,2,84,1,257,565
24073,"Terrebonne/Terrebonne"," 32","Terrebonne",77,6,4,43,6,90,3,229,551
24073,"Terrebonne/Terrebonne"," 33","Terrebonne",70,5,5,55,1,103,5,244,564
24073,"Terrebonne/Terrebonne"," 34","Terrebonne",91,7,5,51,2,79,3,238,547
24073,"Terrebonne/Terrebonne"," 35","Terrebonne",77,3,0,40,3,62,1,186,513
24073,"Terrebonne/Terrebonne"," 36","Terrebonne",26,3,1,30,5,67,3,135,456
24073,"Terrebonne/Terrebonne"," 37","Terrebonne",72,4,1,32,2,62,4,177,417
24073,"Terrebonne/Terrebonne"," 38","Terrebonne",64,6,0,43,3,60,1,177,423
24073,"Terrebonne/Terrebonne"," 39","Terrebonne",65,4,0,41,6,54,3,173,421
