Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Caroline Desrochers,Mathieu Doyon,Yves Levesque,Yan Patry,Matthew Sévigny,David Turcotte,René Villemure,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24075,"Trois-Rivières/Trois-Rivières"," 1","Trois-Rivières",92,1,69,2,5,2,58,2,231,468
24075,"Trois-Rivières/Trois-Rivières"," 2","Trois-Rivières",72,0,40,0,2,0,49,2,165,398
24075,"Trois-Rivières/Trois-Rivières"," 3","Trois-Rivières",66,0,64,0,0,0,50,2,182,406
24075,"Trois-Rivières/Trois-Rivières"," 4","Trois-Rivières",79,0,69,0,3,2,46,0,199,449
24075,"Trois-Rivières/Trois-Rivières"," 5","Trois-Rivières",76,0,42,1,6,3,32,1,161,389
24075,"Trois-Rivières/Trois-Rivières"," 6","Trois-Rivières",59,0,43,6,7,2,39,1,157,365
24075,"Trois-Rivières/Trois-Rivières"," 7","Trois-Rivières",68,2,50,2,4,0,55,0,181,429
24075,"Trois-Rivières/Trois-Rivières"," 8","Trois-Rivières",64,0,46,1,10,1,33,3,158,462
24075,"Trois-Rivières/Trois-Rivières"," 9","Trois-Rivières",40,0,49,1,5,0,42,1,138,346
24075,"Trois-Rivières/Trois-Rivières"," 10","Trois-Rivières",43,1,51,1,7,2,54,2,161,416
24075,"Trois-Rivières/Trois-Rivières"," 11","Trois-Rivières",36,1,55,0,4,2,39,2,139,391
24075,"Trois-Rivières/Trois-Rivières"," 12","Trois-Rivières",33,2,47,0,4,5,32,9,132,353
24075,"Trois-Rivières/Trois-Rivières"," 13","Trois-Rivières",24,2,50,0,9,5,30,2,122,382
24075,"Trois-Rivières/Trois-Rivières"," 14","Trois-Rivières",45,0,57,1,4,1,40,3,151,388
24075,"Trois-Rivières/Trois-Rivières"," 15","Trois-Rivières",65,0,43,0,8,0,43,2,161,406
24075,"Trois-Rivières/Trois-Rivières"," 16","Trois-Rivières",45,0,29,0,6,2,30,5,117,337
24075,"Trois-Rivières/Trois-Rivières"," 17","Trois-Rivières",38,1,40,2,10,3,38,4,136,350
24075,"Trois-Rivières/Trois-Rivières"," 18","Trois-Rivières",34,0,44,2,5,1,37,1,124,345
24075,"Trois-Rivières/Trois-Rivières"," 19","Trois-Rivières",34,0,42,0,2,3,37,4,122,373
24075,"Trois-Rivières/Trois-Rivières"," 20","Trois-Rivières",50,1,47,3,7,2,42,3,155,346
24075,"Trois-Rivières/Trois-Rivières"," 21","Trois-Rivières",31,1,59,0,4,0,23,3,121,369
24075,"Trois-Rivières/Trois-Rivières"," 22","Trois-Rivières",60,1,42,1,4,0,47,3,158,393
24075,"Trois-Rivières/Trois-Rivières"," 23","Trois-Rivières",46,0,47,2,3,0,38,5,141,405
24075,"Trois-Rivières/Trois-Rivières"," 24","Trois-Rivières",33,1,71,0,2,1,42,5,155,441
24075,"Trois-Rivières/Trois-Rivières"," 25","Trois-Rivières",32,1,30,1,4,2,12,2,84,408
24075,"Trois-Rivières/Trois-Rivières"," 26","Trois-Rivières",30,2,47,2,4,0,35,4,124,451
24075,"Trois-Rivières/Trois-Rivières"," 27A","Trois-Rivières",46,0,55,1,3,1,39,5,150,396
24075,"Trois-Rivières/Trois-Rivières"," 27B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,,19
24075,"Trois-Rivières/Trois-Rivières"," 28","Trois-Rivières",82,2,82,0,1,0,31,3,201,441
24075,"Trois-Rivières/Trois-Rivières"," 29","Trois-Rivières",70,0,47,0,3,1,46,3,170,439
24075,"Trois-Rivières/Trois-Rivières"," 30","Trois-Rivières",43,0,52,2,3,3,48,3,154,436
24075,"Trois-Rivières/Trois-Rivières"," 31","Trois-Rivières",54,0,58,2,6,1,31,10,162,453
24075,"Trois-Rivières/Trois-Rivières"," 32","Trois-Rivières",25,1,25,0,1,3,17,1,73,388
24075,"Trois-Rivières/Trois-Rivières"," 33","Trois-Rivières",97,1,62,1,2,4,51,3,221,467
24075,"Trois-Rivières/Trois-Rivières"," 34","Trois-Rivières",68,0,44,1,2,2,35,3,155,347
24075,"Trois-Rivières/Trois-Rivières"," 35","Trois-Rivières",32,0,44,0,5,2,36,0,119,348
24075,"Trois-Rivières/Trois-Rivières"," 36","Trois-Rivières",38,1,44,4,2,1,37,4,131,359
24075,"Trois-Rivières/Trois-Rivières"," 37","Trois-Rivières",26,2,37,2,2,1,38,2,110,368
24075,"Trois-Rivières/Trois-Rivières"," 38","Trois-Rivières",25,0,40,0,5,1,37,2,110,345
24075,"Trois-Rivières/Trois-Rivières"," 39","Trois-Rivières",34,1,32,0,5,1,27,0,100,348
24075,"Trois-Rivières/Trois-Rivières"," 40","Trois-Rivières",29,0,46,1,4,0,25,2,107,307
24075,"Trois-Rivières/Trois-Rivières"," 41","Trois-Rivières",29,1,41,1,6,1,32,6,117,363
24075,"Trois-Rivières/Trois-Rivières"," 42","Trois-Rivières",32,0,39,0,3,0,36,1,111,357
24075,"Trois-Rivières/Trois-Rivières"," 43","Trois-Rivières",33,0,45,1,4,2,34,7,126,360
24075,"Trois-Rivières/Trois-Rivières"," 44","Trois-Rivières",45,0,59,0,4,1,49,0,158,411
24075,"Trois-Rivières/Trois-Rivières"," 45","Trois-Rivières",57,0,45,1,1,2,44,0,150,361
24075,"Trois-Rivières/Trois-Rivières"," 46","Trois-Rivières",65,0,62,0,3,0,53,4,187,359
24075,"Trois-Rivières/Trois-Rivières"," 47","Trois-Rivières",41,1,48,1,4,5,42,2,144,418
24075,"Trois-Rivières/Trois-Rivières"," 48","Trois-Rivières",62,0,70,0,2,0,36,1,171,378
24075,"Trois-Rivières/Trois-Rivières"," 49","Trois-Rivières",57,0,63,3,8,7,60,4,202,459
24075,"Trois-Rivières/Trois-Rivières"," 50","Trois-Rivières",54,1,44,0,5,0,58,3,165,438
24075,"Trois-Rivières/Trois-Rivières"," 51","Trois-Rivières",17,1,31,4,1,2,15,4,75,255
24075,"Trois-Rivières/Trois-Rivières"," 52","Trois-Rivières",57,0,49,2,1,3,51,1,164,454
24075,"Trois-Rivières/Trois-Rivières"," 53","Trois-Rivières",64,1,52,3,4,1,44,1,170,530
24075,"Trois-Rivières/Trois-Rivières"," 54","Trois-Rivières",90,0,50,1,2,1,45,3,192,429
24075,"Trois-Rivières/Trois-Rivières"," 55","Trois-Rivières",37,1,32,1,5,0,40,3,119,362
24075,"Trois-Rivières/Trois-Rivières"," 56","Trois-Rivières",43,0,51,2,7,0,36,0,139,351
24075,"Trois-Rivières/Trois-Rivières"," 57","Trois-Rivières",55,1,43,1,3,4,45,3,155,348
24075,"Trois-Rivières/Trois-Rivières"," 58","Trois-Rivières",32,1,51,0,1,2,33,1,121,380
24075,"Trois-Rivières/Trois-Rivières"," 59","Trois-Rivières",32,1,45,3,3,3,30,2,119,335
24075,"Trois-Rivières/Trois-Rivières"," 60","Trois-Rivières",34,3,34,1,4,3,37,0,116,401
24075,"Trois-Rivières/Trois-Rivières"," 61","Trois-Rivières",52,0,38,1,5,2,25,3,126,325
24075,"Trois-Rivières/Trois-Rivières"," 62","Trois-Rivières",17,2,38,1,1,0,19,4,82,310
24075,"Trois-Rivières/Trois-Rivières"," 63","Trois-Rivières",40,1,43,2,4,2,24,2,118,325
24075,"Trois-Rivières/Trois-Rivières"," 64A","Trois-Rivières",33,0,22,0,1,0,37,0,93,343
24075,"Trois-Rivières/Trois-Rivières"," 64B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,,93
24075,"Trois-Rivières/Trois-Rivières"," 65","Trois-Rivières",22,0,31,0,0,3,31,2,89,329
24075,"Trois-Rivières/Trois-Rivières"," 66","Trois-Rivières",27,0,51,3,4,1,44,1,131,375
24075,"Trois-Rivières/Trois-Rivières"," 67","Trois-Rivières",24,0,47,1,7,0,36,2,117,380
24075,"Trois-Rivières/Trois-Rivières"," 68","Trois-Rivières",36,1,44,1,1,1,32,1,117,358
24075,"Trois-Rivières/Trois-Rivières"," 69","Trois-Rivières",73,0,92,0,4,2,68,2,241,482
24075,"Trois-Rivières/Trois-Rivières"," 70","Trois-Rivières",54,2,90,1,6,1,70,3,227,470
24075,"Trois-Rivières/Trois-Rivières"," 71","Trois-Rivières",48,0,81,3,2,0,40,1,175,440
24075,"Trois-Rivières/Trois-Rivières"," 72","Trois-Rivières",104,0,75,0,8,1,56,5,249,578
24075,"Trois-Rivières/Trois-Rivières"," 73","Trois-Rivières",49,1,41,0,3,3,29,3,129,313
24075,"Trois-Rivières/Trois-Rivières"," 74","Trois-Rivières",39,1,47,3,4,5,38,1,138,419
24075,"Trois-Rivières/Trois-Rivières"," 75","Trois-Rivières",52,0,38,0,7,2,32,0,131,364
24075,"Trois-Rivières/Trois-Rivières"," 76","Trois-Rivières",48,0,53,0,3,1,42,6,153,450
24075,"Trois-Rivières/Trois-Rivières"," 77","Trois-Rivières",50,1,46,0,3,2,52,3,157,402
24075,"Trois-Rivières/Trois-Rivières"," 78","Trois-Rivières",59,0,44,2,2,2,46,0,155,360
24075,"Trois-Rivières/Trois-Rivières"," 79","Trois-Rivières",56,1,34,0,5,6,38,2,142,356
24075,"Trois-Rivières/Trois-Rivières"," 80","Trois-Rivières",22,0,33,0,14,6,35,1,111,418
24075,"Trois-Rivières/Trois-Rivières"," 81","Trois-Rivières",31,1,28,0,5,1,34,3,103,321
24075,"Trois-Rivières/Trois-Rivières"," 82A","Trois-Rivières",44,1,22,1,2,1,26,1,98,225
