Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Sat Anand,Amandeep Judge,Ruby Sahota,Ruby Zaman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 1","Caledon",1,85,50,3,0,139,456
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 2","Caledon",2,93,61,2,0,158,440
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 3","Caledon",4,112,71,8,0,195,459
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 4","Brampton",3,143,109,10,8,273,574
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 5","Caledon",2,89,93,4,0,188,542
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 6","Caledon",2,74,68,3,1,148,405
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 7","Brampton",2,139,167,7,0,315,642
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 8","Brampton",7,114,135,3,2,261,533
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 9","Brampton",12,133,142,5,1,293,647
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 10","Brampton",2,118,149,3,1,273,627
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 11","Brampton",2,111,150,8,2,273,553
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 12","Brampton",2,107,81,2,0,192,489
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 13","Brampton",4,105,140,1,4,254,587
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 14A","Brampton",2,60,89,10,3,164,381
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 14B","Brampton",2,90,81,2,0,175,389
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 15A","Brampton",3,82,77,4,1,167,385
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 15B","Brampton",1,74,71,5,4,155,446
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 16A","Brampton",2,73,60,4,7,146,371
