Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Sukhdeep Kang,Manmohan Khroud,Vijay Kumar,Rajni Sharma,Sonia Sidhu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35013,"Brampton South/Brampton-Sud"," 1","Brampton",75,0,1,4,62,0,142,419
35013,"Brampton South/Brampton-Sud"," 2","Brampton",117,1,1,11,82,2,214,433
35013,"Brampton South/Brampton-Sud"," 3","Brampton",90,0,2,3,85,10,190,495
35013,"Brampton South/Brampton-Sud"," 4","Brampton",56,2,0,1,94,4,157,419
35013,"Brampton South/Brampton-Sud"," 5","Brampton",72,2,3,5,53,6,141,384
35013,"Brampton South/Brampton-Sud"," 6","Brampton",83,0,0,3,66,1,153,398
35013,"Brampton South/Brampton-Sud"," 7","Brampton",70,0,1,1,68,0,140,416
35013,"Brampton South/Brampton-Sud"," 8","Brampton",91,1,1,5,73,1,172,487
35013,"Brampton South/Brampton-Sud"," 9","Brampton",58,0,0,3,96,3,160,444
35013,"Brampton South/Brampton-Sud"," 10","Brampton",49,0,0,3,71,1,124,443
35013,"Brampton South/Brampton-Sud"," 11","Brampton",72,4,2,3,78,6,165,447
35013,"Brampton South/Brampton-Sud"," 12","Brampton",81,0,0,2,116,0,199,450
35013,"Brampton South/Brampton-Sud"," 13","Brampton",74,1,0,7,101,1,184,506
35013,"Brampton South/Brampton-Sud"," 14","Brampton",69,2,0,1,75,0,147,437
35013,"Brampton South/Brampton-Sud"," 15","Brampton",62,1,2,7,58,2,132,382
35013,"Brampton South/Brampton-Sud"," 16","Brampton",72,3,0,3,100,0,178,510
35013,"Brampton South/Brampton-Sud"," 17","Brampton",44,3,1,2,78,0,128,363
35013,"Brampton South/Brampton-Sud"," 18","Brampton",55,4,0,2,45,1,107,309
35013,"Brampton South/Brampton-Sud"," 19","Brampton",47,0,3,1,69,2,122,333
35013,"Brampton South/Brampton-Sud"," 20","Brampton",57,1,1,2,59,1,121,374
35013,"Brampton South/Brampton-Sud"," 21","Brampton",83,6,0,3,96,0,188,436
35013,"Brampton South/Brampton-Sud"," 22","Brampton",54,2,1,4,106,0,167,422
35013,"Brampton South/Brampton-Sud"," 23","Brampton",81,0,4,5,90,4,184,601
35013,"Brampton South/Brampton-Sud"," 24A","Brampton",70,0,2,1,85,0,158,476
35013,"Brampton South/Brampton-Sud"," 24B","Brampton",89,0,3,3,80,0,175,460
35013,"Brampton South/Brampton-Sud"," 25A","Brampton",50,1,1,0,72,1,125,358
35013,"Brampton South/Brampton-Sud"," 25B","Brampton",54,1,0,0,52,1,108,304
35013,"Brampton South/Brampton-Sud"," 26","Brampton",92,0,3,6,120,0,221,536
35013,"Brampton South/Brampton-Sud"," 27","Brampton",73,1,3,2,83,5,167,592
35013,"Brampton South/Brampton-Sud"," 28","Brampton",128,0,0,3,100,1,232,609
35013,"Brampton South/Brampton-Sud"," 29","Brampton",68,1,1,0,105,0,175,398
35013,"Brampton South/Brampton-Sud"," 30","Brampton",73,0,0,3,70,0,146,444
35013,"Brampton South/Brampton-Sud"," 31","Brampton",74,1,0,3,92,5,175,374
35013,"Brampton South/Brampton-Sud"," 32","Brampton",63,0,2,1,108,3,177,398
35013,"Brampton South/Brampton-Sud"," 33","Brampton",85,0,1,2,96,2,186,413
35013,"Brampton South/Brampton-Sud"," 34","Brampton",71,0,0,4,65,2,142,344
35013,"Brampton South/Brampton-Sud"," 35","Brampton",108,3,1,8,124,2,246,582
35013,"Brampton South/Brampton-Sud"," 36","Brampton",83,1,1,4,104,1,194,565
35013,"Brampton South/Brampton-Sud"," 37","Brampton",63,1,2,2,61,1,130,387
35013,"Brampton South/Brampton-Sud"," 38","Brampton",62,4,1,4,94,0,165,397
35013,"Brampton South/Brampton-Sud"," 39","Brampton",131,4,0,8,154,1,298,604
35013,"Brampton South/Brampton-Sud"," 40","Brampton",62,1,1,2,76,0,142,480
35013,"Brampton South/Brampton-Sud"," 41","Brampton",62,0,0,6,87,0,155,470
35013,"Brampton South/Brampton-Sud"," 42","Brampton",75,2,8,2,115,0,202,452
35013,"Brampton South/Brampton-Sud"," 43","Brampton",101,0,1,3,80,3,188,491
35013,"Brampton South/Brampton-Sud"," 44","Brampton",68,2,1,2,81,0,154,382
35013,"Brampton South/Brampton-Sud"," 45","Brampton",66,4,0,5,85,0,160,469
35013,"Brampton South/Brampton-Sud"," 46","Brampton",96,5,1,4,84,1,191,494
35013,"Brampton South/Brampton-Sud"," 47","Brampton",93,2,0,0,131,1,227,538
35013,"Brampton South/Brampton-Sud"," 48","Brampton",99,2,0,5,120,7,233,546
35013,"Brampton South/Brampton-Sud"," 49","Brampton",99,5,4,6,105,1,220,547
35013,"Brampton South/Brampton-Sud"," 50","Brampton",124,0,0,7,116,1,248,577
35013,"Brampton South/Brampton-Sud"," 51A","Brampton",67,2,2,5,55,3,134,317
35013,"Brampton South/Brampton-Sud"," 51B","Brampton",75,0,3,3,36,0,117,355
35013,"Brampton South/Brampton-Sud"," 52","Brampton",158,0,1,1,114,0,274,588
35013,"Brampton South/Brampton-Sud"," 53","Brampton",72,0,2,1,67,0,142,375
35013,"Brampton South/Brampton-Sud"," 54","Brampton",104,0,2,3,91,3,203,439
35013,"Brampton South/Brampton-Sud"," 55A","Brampton",67,1,4,8,87,0,167,243
35013,"Brampton South/Brampton-Sud"," 55B","Brampton",80,1,1,8,73,5,168,245
35013,"Brampton South/Brampton-Sud"," 55C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504B,,,,,,,166
35013,"Brampton South/Brampton-Sud"," 56","Brampton",80,2,2,4,90,0,178,413
35013,"Brampton South/Brampton-Sud"," 57","Brampton",94,6,0,10,117,2,229,494
35013,"Brampton South/Brampton-Sud"," 58","Brampton",66,5,2,1,124,0,198,447
35013,"Brampton South/Brampton-Sud"," 59","Brampton",57,4,0,2,84,1,148,432
35013,"Brampton South/Brampton-Sud"," 60","Brampton",102,3,0,5,112,1,223,581
35013,"Brampton South/Brampton-Sud"," 61","Brampton",Combined with No./Résultats combinés à ceux du n°504A,,,,,,,132
35013,"Brampton South/Brampton-Sud"," 62","Brampton",47,1,1,3,80,0,132,411
35013,"Brampton South/Brampton-Sud"," 63","Brampton",69,2,0,4,94,1,170,369
35013,"Brampton South/Brampton-Sud"," 64","Brampton",86,2,3,0,87,3,181,352
35013,"Brampton South/Brampton-Sud"," 65","Brampton",74,2,0,1,62,1,140,371
35013,"Brampton South/Brampton-Sud"," 66","Brampton",64,1,0,3,73,3,144,375
35013,"Brampton South/Brampton-Sud"," 67","Brampton",80,3,1,5,112,1,202,471
35013,"Brampton South/Brampton-Sud"," 68","Brampton",65,1,0,3,77,3,149,398
35013,"Brampton South/Brampton-Sud"," 69","Brampton",85,0,1,1,110,2,199,504
35013,"Brampton South/Brampton-Sud"," 70","Brampton",88,3,2,5,104,1,203,530
35013,"Brampton South/Brampton-Sud"," 71","Brampton",73,0,2,0,105,2,182,381
35013,"Brampton South/Brampton-Sud"," 72","Brampton",65,0,1,1,61,0,128,361
35013,"Brampton South/Brampton-Sud"," 73","Brampton",80,3,0,1,78,0,162,392
35013,"Brampton South/Brampton-Sud"," 74","Brampton",103,1,2,1,78,1,186,513
35013,"Brampton South/Brampton-Sud"," 75","Brampton",113,0,4,5,73,0,195,494
35013,"Brampton South/Brampton-Sud"," 76","Brampton",106,2,2,6,87,3,206,507
35013,"Brampton South/Brampton-Sud"," 77","Brampton",136,0,0,4,107,2,249,591
35013,"Brampton South/Brampton-Sud"," 78","Brampton",114,1,1,3,115,5,239,473
35013,"Brampton South/Brampton-Sud"," 79","Brampton",134,2,4,1,128,1,270,572
35013,"Brampton South/Brampton-Sud"," 80","Brampton",118,1,7,6,85,2,219,496
35013,"Brampton South/Brampton-Sud"," 81","Brampton",106,1,3,1,95,5,211,533
35013,"Brampton South/Brampton-Sud"," 82","Brampton",140,2,1,4,90,1,238,549
35013,"Brampton South/Brampton-Sud"," 83","Brampton",114,0,0,7,123,2,246,555
35013,"Brampton South/Brampton-Sud"," 84A","Brampton",67,2,0,1,41,0,111,314
35013,"Brampton South/Brampton-Sud"," 84B","Brampton",62,0,1,0,54,3,120,339
35013,"Brampton South/Brampton-Sud"," 85","Brampton",107,3,2,6,104,2,224,590
35013,"Brampton South/Brampton-Sud"," 86","Brampton",119,0,3,3,110,2,237,613
