Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Naveed Ahmed,Nadeem Akbar,Adam Van Koeverden,Charles Zach,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 1","Milton",4,85,88,3,1,181,510
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 2","Milton",4,95,83,6,0,188,490
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 3","Milton",4,114,99,5,0,222,530
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 4","Milton",6,121,82,5,1,215,605
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 5","Milton",8,81,95,2,0,186,459
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 6","Milton",7,160,96,3,0,266,595
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 7","Milton",14,116,76,8,0,214,460
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 8","Milton",7,80,113,2,0,202,514
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 9","Milton",5,93,122,3,1,224,605
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 10","Milton",5,66,65,2,1,139,473
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 11","Milton",1,58,38,1,0,98,337
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 12","Milton",8,144,103,1,0,256,608
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 13","Milton",7,133,90,3,0,233,588
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 14","Milton",7,105,102,1,0,215,565
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 15","Milton",3,86,85,4,2,180,569
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 16","Milton",2,97,119,1,0,219,590
