Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Elaine Baetz,Janice Folk-Dawson,Gurvir Khaira,Dominique O'Rourke,Jeffrey Swackhammer,Michael Wassilyn,Yurii Yavorskyi,Anne-Marie Zajdlik,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35033,"Guelph/Guelph"," 1","Guelph",0,5,87,117,2,0,0,17,9,237,566
35033,"Guelph/Guelph"," 2","Guelph",0,5,90,93,3,0,0,14,2,207,538
35033,"Guelph/Guelph"," 3","Guelph",0,6,83,113,1,0,0,13,8,224,573
35033,"Guelph/Guelph"," 4","Guelph",0,8,90,86,4,0,0,20,2,210,387
35033,"Guelph/Guelph"," 5","Guelph",1,5,79,77,0,0,0,16,1,179,454
35033,"Guelph/Guelph"," 6","Guelph",1,10,74,71,0,1,0,21,0,178,381
35033,"Guelph/Guelph"," 7","Guelph",0,11,83,77,4,1,1,34,2,213,448
35033,"Guelph/Guelph"," 8","Guelph",0,12,70,109,0,0,0,28,3,222,501
35033,"Guelph/Guelph"," 9","Guelph",2,9,94,86,1,1,0,23,2,218,544
35033,"Guelph/Guelph"," 10","Guelph",0,6,146,143,3,2,0,15,0,315,576
35033,"Guelph/Guelph"," 11","Guelph",1,6,88,93,1,2,1,13,1,206,542
35033,"Guelph/Guelph"," 12","Guelph",0,4,89,89,3,0,0,13,0,198,548
35033,"Guelph/Guelph"," 13","Guelph",0,4,91,70,0,0,0,14,1,180,506
35033,"Guelph/Guelph"," 14","Guelph",0,7,84,70,4,0,0,18,1,184,484
35033,"Guelph/Guelph"," 15","Guelph",1,3,57,52,1,2,0,33,1,150,471
35033,"Guelph/Guelph"," 16","Guelph",0,5,79,97,0,0,0,25,0,206,563
35033,"Guelph/Guelph"," 17","Guelph",0,5,50,54,2,1,0,6,0,118,414
35033,"Guelph/Guelph"," 18","Guelph",1,2,60,58,2,0,0,20,0,143,364
35033,"Guelph/Guelph"," 19","Guelph",0,12,99,95,1,0,1,30,0,238,624
35033,"Guelph/Guelph"," 20","Guelph",0,5,97,132,6,0,0,34,0,274,593
35033,"Guelph/Guelph"," 21","Guelph",0,5,76,88,0,0,1,30,2,202,572
35033,"Guelph/Guelph"," 22","Guelph",0,6,82,83,1,1,1,34,1,209,510
35033,"Guelph/Guelph"," 23","Guelph",0,5,135,121,1,1,0,30,0,293,562
35033,"Guelph/Guelph"," 24","Guelph",0,7,106,102,0,2,0,28,1,246,467
35033,"Guelph/Guelph"," 25","Guelph",0,5,86,105,1,0,0,17,0,214,472
35033,"Guelph/Guelph"," 26","Guelph",0,14,87,109,2,0,1,14,1,228,447
35033,"Guelph/Guelph"," 27","Guelph",0,4,100,142,3,0,0,25,1,275,548
35033,"Guelph/Guelph"," 28","Guelph",0,9,66,99,1,0,0,22,1,198,534
35033,"Guelph/Guelph"," 29","Guelph",0,3,86,89,0,0,1,20,1,200,532
35033,"Guelph/Guelph"," 30","Guelph",0,4,77,91,0,0,0,42,1,215,519
35033,"Guelph/Guelph"," 31","Guelph",0,6,71,116,6,1,1,20,2,223,500
35033,"Guelph/Guelph"," 32","Guelph",0,3,106,115,0,2,0,21,2,249,568
35033,"Guelph/Guelph"," 33","Guelph",0,2,85,112,3,0,0,24,1,227,608
35033,"Guelph/Guelph"," 34","Guelph",0,3,91,114,3,0,0,23,1,235,470
35033,"Guelph/Guelph"," 35","Guelph",0,2,83,84,3,0,0,15,4,191,486
35033,"Guelph/Guelph"," 36","Guelph",0,4,106,90,1,0,0,12,1,214,617
35033,"Guelph/Guelph"," 37","Guelph",1,2,106,128,5,1,0,13,0,256,586
35033,"Guelph/Guelph"," 38","Guelph",0,1,83,83,3,1,0,11,0,182,464
35033,"Guelph/Guelph"," 39","Guelph",0,3,76,55,4,0,1,17,0,156,424
35033,"Guelph/Guelph"," 40","Guelph",0,3,131,93,2,1,0,8,1,239,608
35033,"Guelph/Guelph"," 41","Guelph",0,10,107,94,5,0,0,17,0,233,602
35033,"Guelph/Guelph"," 42","Guelph",0,4,113,92,8,0,0,12,0,229,591
35033,"Guelph/Guelph"," 43","Guelph",0,2,88,79,3,2,0,13,1,188,527
35033,"Guelph/Guelph"," 44","Guelph",1,5,54,68,3,0,0,36,2,169,437
35033,"Guelph/Guelph"," 45","Guelph",0,2,58,83,3,0,0,14,1,161,364
35033,"Guelph/Guelph"," 46","Guelph",0,3,65,96,1,0,0,27,0,192,353
35033,"Guelph/Guelph"," 47","Guelph",0,15,90,125,1,0,0,34,1,266,448
35033,"Guelph/Guelph"," 48","Guelph",0,6,76,107,1,1,0,28,1,220,435
35033,"Guelph/Guelph"," 49","Guelph",1,7,65,77,1,0,0,19,0,170,375
35033,"Guelph/Guelph"," 50","Guelph",0,5,50,130,2,1,0,26,0,214,380
35033,"Guelph/Guelph"," 51","Guelph",0,1,67,129,3,1,1,36,0,238,424
35033,"Guelph/Guelph"," 52A","Guelph",0,8,45,73,0,0,0,20,0,146,283
35033,"Guelph/Guelph"," 52B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,,,54
35033,"Guelph/Guelph"," 53","Guelph",0,15,64,143,3,0,0,37,1,263,517
35033,"Guelph/Guelph"," 54","Guelph",0,8,79,100,0,3,0,26,0,216,512
35033,"Guelph/Guelph"," 55","Guelph",0,5,38,74,0,0,0,14,2,133,336
35033,"Guelph/Guelph"," 56","Guelph",3,18,88,110,3,2,1,33,0,258,406
35033,"Guelph/Guelph"," 57","Guelph",1,5,58,119,0,0,0,33,0,216,567
35033,"Guelph/Guelph"," 58","Guelph",0,9,65,95,1,0,0,22,0,192,516
35033,"Guelph/Guelph"," 59","Guelph",0,4,70,67,1,0,1,21,0,164,461
35033,"Guelph/Guelph"," 60","Guelph",0,9,46,164,2,0,1,55,0,277,596
35033,"Guelph/Guelph"," 61","Guelph",0,5,65,71,1,0,0,29,0,171,489
35033,"Guelph/Guelph"," 62","Guelph",0,8,59,74,2,0,0,24,5,172,492
35033,"Guelph/Guelph"," 63","Guelph",0,12,84,150,0,0,1,51,0,298,556
35033,"Guelph/Guelph"," 64","Guelph",0,9,75,97,0,1,0,45,3,230,506
35033,"Guelph/Guelph"," 65","Guelph",2,15,60,113,0,0,0,33,0,223,526
35033,"Guelph/Guelph"," 66","Guelph",0,13,45,140,1,0,0,36,1,236,514
35033,"Guelph/Guelph"," 67","Guelph",0,11,38,117,2,1,0,45,2,216,524
35033,"Guelph/Guelph"," 68","Guelph",0,15,95,164,2,2,1,58,0,337,722
35033,"Guelph/Guelph"," 69","Guelph",1,10,64,83,2,1,0,54,0,215,485
35033,"Guelph/Guelph"," 70","Guelph",1,10,72,131,5,0,0,36,0,255,653
35033,"Guelph/Guelph"," 71","Guelph",0,14,35,95,4,0,0,48,0,196,344
35033,"Guelph/Guelph"," 72","Guelph",1,25,39,101,0,0,0,26,1,193,371
35033,"Guelph/Guelph"," 73","Guelph",1,4,34,163,2,0,0,47,0,251,557
35033,"Guelph/Guelph"," 74","Guelph",3,13,61,137,2,0,1,35,2,254,609
