Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Cody Chenier,Sandy Crawley,Carla Green,Matthew Green,Hayden Lawrence,Michael Loomans,Aslam Rana,David Speicher,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35036,"Hamilton Centre/Hamilton-Centre"," 1","Hamilton",3,2,1,47,75,1,52,6,2,189,528
35036,"Hamilton Centre/Hamilton-Centre"," 2","Hamilton",1,1,1,30,45,0,28,2,1,109,351
35036,"Hamilton Centre/Hamilton-Centre"," 3","Hamilton",0,2,0,33,62,0,35,0,1,133,366
35036,"Hamilton Centre/Hamilton-Centre"," 4","Hamilton",1,3,2,43,68,1,54,3,1,176,451
35036,"Hamilton Centre/Hamilton-Centre"," 5","Hamilton",0,2,1,68,83,1,55,3,2,215,566
35036,"Hamilton Centre/Hamilton-Centre"," 6","Hamilton",2,5,0,78,73,0,92,3,4,257,611
35036,"Hamilton Centre/Hamilton-Centre"," 7","Hamilton",1,4,2,81,67,1,85,4,1,246,476
35036,"Hamilton Centre/Hamilton-Centre"," 8","Hamilton",2,4,2,65,112,1,84,1,2,273,644
35036,"Hamilton Centre/Hamilton-Centre"," 9","Hamilton",0,7,1,80,109,1,78,5,0,281,628
35036,"Hamilton Centre/Hamilton-Centre"," 10","Hamilton",0,2,0,46,92,0,54,2,1,197,492
35036,"Hamilton Centre/Hamilton-Centre"," 11","Hamilton",2,3,0,54,63,1,46,2,1,172,441
35036,"Hamilton Centre/Hamilton-Centre"," 12","Hamilton",0,3,0,51,53,0,52,5,2,166,558
35036,"Hamilton Centre/Hamilton-Centre"," 13","Hamilton",1,3,0,64,42,0,76,0,0,186,392
35036,"Hamilton Centre/Hamilton-Centre"," 14","Hamilton",1,1,3,58,47,2,83,5,5,205,404
35036,"Hamilton Centre/Hamilton-Centre"," 15","Hamilton",2,1,2,30,84,0,43,4,3,169,630
35036,"Hamilton Centre/Hamilton-Centre"," 16","Hamilton",1,5,0,16,63,0,30,4,2,121,415
35036,"Hamilton Centre/Hamilton-Centre"," 17","Hamilton",0,4,0,46,80,0,50,1,0,181,429
35036,"Hamilton Centre/Hamilton-Centre"," 18","Hamilton",1,5,2,43,99,1,82,2,1,236,473
35036,"Hamilton Centre/Hamilton-Centre"," 19","Hamilton",0,3,2,22,67,0,72,0,0,166,441
35036,"Hamilton Centre/Hamilton-Centre"," 20","Hamilton",0,0,1,45,97,0,58,3,2,206,441
35036,"Hamilton Centre/Hamilton-Centre"," 21","Hamilton",1,3,0,57,113,1,82,1,0,258,482
35036,"Hamilton Centre/Hamilton-Centre"," 22","Hamilton",1,5,1,68,75,0,95,5,0,250,544
35036,"Hamilton Centre/Hamilton-Centre"," 23","Hamilton",3,0,0,37,65,0,68,1,2,176,398
35036,"Hamilton Centre/Hamilton-Centre"," 24","Hamilton",0,2,1,76,84,0,88,3,2,256,524
35036,"Hamilton Centre/Hamilton-Centre"," 25","Hamilton",3,3,2,102,114,0,97,5,2,328,615
35036,"Hamilton Centre/Hamilton-Centre"," 26","Hamilton",2,3,1,72,84,1,88,10,3,264,478
35036,"Hamilton Centre/Hamilton-Centre"," 27","Hamilton",0,6,1,127,81,0,105,1,0,321,544
35036,"Hamilton Centre/Hamilton-Centre"," 28","Hamilton",3,5,4,112,89,0,115,5,1,334,577
35036,"Hamilton Centre/Hamilton-Centre"," 29","Hamilton",0,2,0,73,77,0,92,2,0,246,483
35036,"Hamilton Centre/Hamilton-Centre"," 30","Hamilton",1,2,0,61,43,1,59,2,1,170,407
35036,"Hamilton Centre/Hamilton-Centre"," 31","Hamilton",1,3,3,59,39,0,62,1,1,169,402
35036,"Hamilton Centre/Hamilton-Centre"," 32","Hamilton",2,6,2,81,64,0,117,1,1,274,550
35036,"Hamilton Centre/Hamilton-Centre"," 33","Hamilton",0,2,0,36,33,0,36,2,0,109,346
35036,"Hamilton Centre/Hamilton-Centre"," 34","Hamilton",0,4,0,54,39,1,70,4,0,172,439
35036,"Hamilton Centre/Hamilton-Centre"," 35","Hamilton",0,2,0,42,68,0,38,4,4,158,491
35036,"Hamilton Centre/Hamilton-Centre"," 36","Hamilton",0,5,0,37,80,0,38,0,0,160,512
35036,"Hamilton Centre/Hamilton-Centre"," 37","Hamilton",0,3,0,32,61,0,30,0,0,126,426
35036,"Hamilton Centre/Hamilton-Centre"," 38","Hamilton",0,5,0,57,67,1,57,1,3,191,430
35036,"Hamilton Centre/Hamilton-Centre"," 39","Hamilton",0,5,3,49,69,0,56,1,2,185,460
35036,"Hamilton Centre/Hamilton-Centre"," 40","Hamilton",1,0,1,19,50,0,24,5,2,102,372
35036,"Hamilton Centre/Hamilton-Centre"," 41","Hamilton",0,0,0,30,46,1,35,8,0,120,460
35036,"Hamilton Centre/Hamilton-Centre"," 42","Hamilton",1,2,0,60,69,0,49,3,1,185,499
35036,"Hamilton Centre/Hamilton-Centre"," 43","Hamilton",0,1,1,47,62,0,48,3,3,165,518
35036,"Hamilton Centre/Hamilton-Centre"," 44","Hamilton",0,2,0,32,65,1,39,1,2,142,442
35036,"Hamilton Centre/Hamilton-Centre"," 45","Hamilton",0,6,2,49,66,0,61,3,3,190,474
35036,"Hamilton Centre/Hamilton-Centre"," 46","Hamilton",2,6,0,42,59,0,61,0,1,171,415
35036,"Hamilton Centre/Hamilton-Centre"," 47","Hamilton",5,0,0,47,62,0,45,3,1,163,450
35036,"Hamilton Centre/Hamilton-Centre"," 48","Hamilton",0,4,1,83,52,2,69,1,2,214,508
35036,"Hamilton Centre/Hamilton-Centre"," 49","Hamilton",3,0,0,51,37,1,50,5,2,149,430
35036,"Hamilton Centre/Hamilton-Centre"," 50","Hamilton",1,3,0,47,28,0,67,2,0,148,408
35036,"Hamilton Centre/Hamilton-Centre"," 51","Hamilton",1,0,1,75,57,2,64,1,9,210,530
35036,"Hamilton Centre/Hamilton-Centre"," 52","Hamilton",0,4,2,96,52,0,70,1,3,228,373
35036,"Hamilton Centre/Hamilton-Centre"," 53","Hamilton",1,5,1,70,46,3,75,0,5,206,355
35036,"Hamilton Centre/Hamilton-Centre"," 54","Hamilton",1,5,1,88,101,0,87,3,2,288,698
35036,"Hamilton Centre/Hamilton-Centre"," 55","Hamilton",0,8,0,53,43,0,64,3,1,172,397
35036,"Hamilton Centre/Hamilton-Centre"," 56","Hamilton",5,8,1,84,60,1,120,5,3,287,643
35036,"Hamilton Centre/Hamilton-Centre"," 57","Hamilton",1,4,0,52,31,0,68,2,0,158,324
35036,"Hamilton Centre/Hamilton-Centre"," 58","Hamilton",1,5,0,64,53,1,69,2,0,195,627
35036,"Hamilton Centre/Hamilton-Centre"," 59","Hamilton",0,1,0,48,70,0,78,0,3,200,598
35036,"Hamilton Centre/Hamilton-Centre"," 60","Hamilton",1,4,0,22,33,0,42,0,1,103,318
35036,"Hamilton Centre/Hamilton-Centre"," 61","Hamilton",0,2,0,53,80,0,105,5,3,248,671
35036,"Hamilton Centre/Hamilton-Centre"," 62","Hamilton",1,1,5,19,23,0,37,0,4,90,340
35036,"Hamilton Centre/Hamilton-Centre"," 63","Hamilton",0,1,1,53,39,0,69,2,2,167,422
35036,"Hamilton Centre/Hamilton-Centre"," 64","Hamilton",1,1,0,29,30,0,47,1,1,110,336
35036,"Hamilton Centre/Hamilton-Centre"," 65","Hamilton",1,6,0,59,73,1,86,3,0,229,628
35036,"Hamilton Centre/Hamilton-Centre"," 66","Hamilton",0,4,1,24,58,0,71,0,2,160,453
35036,"Hamilton Centre/Hamilton-Centre"," 67","Hamilton",0,1,0,46,46,0,43,1,0,137,339
35036,"Hamilton Centre/Hamilton-Centre"," 68","Hamilton",0,4,1,63,32,0,59,0,0,159,378
35036,"Hamilton Centre/Hamilton-Centre"," 69","Hamilton",1,3,3,62,67,0,78,2,3,219,499
35036,"Hamilton Centre/Hamilton-Centre"," 70","Hamilton",1,4,1,69,34,0,93,1,4,207,397
35036,"Hamilton Centre/Hamilton-Centre"," 71","Hamilton",2,1,0,67,31,0,60,2,1,164,388
35036,"Hamilton Centre/Hamilton-Centre"," 72","Hamilton",1,3,5,50,70,1,76,4,3,213,660
35036,"Hamilton Centre/Hamilton-Centre"," 73","Hamilton",2,1,2,40,32,1,51,0,1,130,444
35036,"Hamilton Centre/Hamilton-Centre"," 74","Hamilton",0,0,0,31,62,1,37,0,2,133,479
35036,"Hamilton Centre/Hamilton-Centre"," 75","Hamilton",1,3,0,63,45,0,44,5,1,162,434
35036,"Hamilton Centre/Hamilton-Centre"," 76","Hamilton",0,2,3,70,58,0,53,2,1,189,528
35036,"Hamilton Centre/Hamilton-Centre"," 77","Hamilton",0,2,0,33,70,2,47,2,1,157,414
35036,"Hamilton Centre/Hamilton-Centre"," 78","Hamilton",1,1,0,43,99,0,32,2,0,178,488
35036,"Hamilton Centre/Hamilton-Centre"," 79","Hamilton",0,6,2,49,69,0,48,0,0,174,476
35036,"Hamilton Centre/Hamilton-Centre"," 80","Hamilton",0,2,1,48,47,0,45,4,0,147,444
35036,"Hamilton Centre/Hamilton-Centre"," 81","Hamilton",1,5,2,56,46,0,58,2,1,171,452
