Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jim Boutsikakis,Chad Collins,Ned Kuruc,Nayla Mithani,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 1","Hamilton",3,142,140,12,0,297,569
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 2","Hamilton",0,194,130,12,5,341,575
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 3","Hamilton",2,64,112,22,1,201,513
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 4","Hamilton",0,46,97,14,0,157,415
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 5","Hamilton",1,57,93,14,3,168,434
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 6","Hamilton",8,79,110,18,2,217,485
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 7","Hamilton",5,57,78,17,1,158,400
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 8","Hamilton",0,53,89,5,0,147,360
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 9","Hamilton",3,78,64,11,1,157,432
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 10","Hamilton",1,55,75,4,0,135,354
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 11","Hamilton",0,106,98,5,1,210,526
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 12","Hamilton",3,55,80,3,1,142,415
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 13","Hamilton",0,85,117,6,1,209,519
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 14","Hamilton",2,77,82,4,1,166,464
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 15","Hamilton",0,79,118,4,0,201,551
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 16","Hamilton",0,73,58,3,0,134,439
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 17","Hamilton",2,94,135,0,1,232,608
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 18A","Hamilton",0,51,66,2,0,119,387
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 18B","Hamilton",1,44,69,1,6,121,368
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 19","Hamilton",3,73,114,5,0,195,579
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 20","Hamilton",1,68,122,0,1,192,534
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 21","Hamilton",1,67,89,7,0,164,416
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 22","Hamilton",2,82,96,5,1,186,407
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 23","Hamilton",0,61,82,2,5,150,429
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 24","Hamilton",2,82,113,6,1,204,504
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 25","Hamilton",4,57,73,2,2,138,369
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 26","Hamilton",0,64,98,4,0,166,563
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 27","Hamilton",1,60,77,6,0,144,426
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 28","Hamilton",0,66,88,5,3,162,495
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 29","Hamilton",4,59,49,5,2,119,391
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 30","Hamilton",2,56,73,17,1,149,563
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 31","Hamilton",5,71,57,4,1,138,419
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 32","Hamilton",0,70,84,4,6,164,463
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 33","Hamilton",5,62,75,6,5,153,516
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 34","Hamilton",5,42,29,1,1,78,341
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 35","Hamilton",1,75,67,5,0,148,466
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 36","Hamilton",12,77,82,32,2,205,599
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 37","Hamilton",4,62,94,14,1,175,499
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 38","Hamilton",5,95,114,24,1,239,519
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 39","Hamilton",12,78,68,9,0,167,454
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 40","Hamilton",2,77,96,18,1,194,561
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 41","Hamilton",2,61,63,9,1,136,489
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 42","Hamilton",2,67,98,3,0,170,490
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 43","Hamilton",3,79,102,8,0,192,439
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 44","Hamilton",6,81,95,8,0,190,459
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 45","Hamilton",3,101,80,2,1,187,412
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 46","Hamilton",3,100,123,6,0,232,424
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 47","Hamilton",4,68,96,3,0,171,434
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 48","Hamilton",0,74,98,6,0,178,396
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 49","Hamilton",0,82,94,15,0,191,416
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 50","Hamilton",1,118,133,15,1,268,622
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 51","Hamilton",3,61,98,8,0,170,422
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 52","Hamilton",4,79,114,9,1,207,491
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 53","Hamilton",1,68,69,11,0,149,337
