Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Erika Alexander,Georgia Beauchemin,John-Paul Danko,Jim Enos,Roberto Henriquez,Ava Sharavi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 1","Hamilton",77,8,159,1,14,0,1,260,480
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 2","Hamilton",95,2,179,0,23,1,2,302,582
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 3","Hamilton",94,1,158,0,17,3,0,273,477
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 4","Hamilton",112,5,193,3,14,2,2,331,581
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 5","Hamilton",120,6,182,1,11,2,4,326,573
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 6","Hamilton",41,3,113,0,9,2,0,168,404
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 7","Hamilton",30,3,122,0,20,0,0,175,471
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 8","Hamilton",34,5,118,0,20,2,0,179,418
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 9","Hamilton",42,6,92,3,27,2,0,172,517
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 10","Hamilton",30,3,88,0,18,0,0,139,351
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 11","Hamilton",74,9,178,0,38,0,1,300,572
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 12","Hamilton",33,2,80,0,9,0,2,126,386
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 13","Hamilton",26,5,97,0,20,0,1,149,357
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 14","Hamilton",49,7,105,0,22,2,3,188,465
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 15","Hamilton",38,4,72,0,15,0,1,130,393
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 16","Hamilton",63,1,165,0,8,1,1,239,591
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 17","Hamilton",56,9,164,2,15,0,0,246,519
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 18","Hamilton",63,4,124,2,14,0,2,209,452
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 19","Hamilton",83,9,142,0,27,1,0,262,571
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 20","Hamilton",49,5,116,0,23,2,1,196,544
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 21","Hamilton",29,0,70,0,18,1,0,118,343
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 22","Hamilton",75,5,110,0,16,1,0,207,454
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 23","Hamilton",65,2,119,0,12,2,0,200,406
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 24","Hamilton",78,2,116,0,15,1,0,212,462
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 25","Hamilton",57,2,82,0,22,2,0,165,430
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 26","Hamilton",57,3,81,0,12,2,0,155,401
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 27","Hamilton",58,4,99,0,12,2,0,175,463
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 28","Hamilton",39,3,132,0,5,0,0,179,333
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 29","Hamilton",64,3,96,0,10,0,1,174,535
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 30","Hamilton",27,1,62,0,11,0,1,102,463
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 31","Hamilton",48,2,88,0,18,1,0,157,546
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 32","Hamilton",62,8,79,0,31,1,0,181,467
