Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Mubarak Ahmed,Ann Raney,Anna Roberts,Vageesh Sabharwal,Samantha Sanchez,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35047,"King--Vaughan/King--Vaughan"," 1","King",61,9,172,3,5,3,253,475
35047,"King--Vaughan/King--Vaughan"," 2","King",74,6,184,0,6,1,271,486
35047,"King--Vaughan/King--Vaughan"," 3","King",37,1,87,0,1,2,128,372
35047,"King--Vaughan/King--Vaughan"," 4","King",35,3,88,0,2,1,129,388
35047,"King--Vaughan/King--Vaughan"," 5A","King",26,1,73,0,1,1,102,297
35047,"King--Vaughan/King--Vaughan"," 5B","King",24,0,76,1,1,0,102,259
35047,"King--Vaughan/King--Vaughan"," 6","King",34,4,100,0,1,0,139,384
35047,"King--Vaughan/King--Vaughan"," 7A","King",24,2,92,1,0,0,119,305
35047,"King--Vaughan/King--Vaughan"," 7B","King",23,1,48,0,0,0,72,214
35047,"King--Vaughan/King--Vaughan"," 8","King",19,0,81,0,0,1,101,349
35047,"King--Vaughan/King--Vaughan"," 9","King",38,4,88,0,0,0,130,355
35047,"King--Vaughan/King--Vaughan"," 10","King",34,0,111,1,2,0,148,358
35047,"King--Vaughan/King--Vaughan"," 11","King",59,1,137,0,1,2,200,544
35047,"King--Vaughan/King--Vaughan"," 12","King",33,1,64,2,0,0,100,302
35047,"King--Vaughan/King--Vaughan"," 13","King",41,5,50,1,3,0,100,274
35047,"King--Vaughan/King--Vaughan"," 14","Schomberg",40,2,73,1,2,0,118,316
35047,"King--Vaughan/King--Vaughan"," 15","King",31,6,65,0,2,1,105,258
35047,"King--Vaughan/King--Vaughan"," 16","King",47,2,78,2,2,0,131,326
35047,"King--Vaughan/King--Vaughan"," 17","King",34,3,57,0,2,0,96,308
35047,"King--Vaughan/King--Vaughan"," 18","King",14,0,58,0,0,0,72,327
35047,"King--Vaughan/King--Vaughan"," 19","King",40,1,74,0,0,1,116,385
35047,"King--Vaughan/King--Vaughan"," 20","King",52,2,124,0,2,5,185,453
35047,"King--Vaughan/King--Vaughan"," 21","King",68,9,122,1,0,3,203,411
35047,"King--Vaughan/King--Vaughan"," 22A","King",40,0,48,0,1,0,89,285
35047,"King--Vaughan/King--Vaughan"," 22B","King",30,1,36,2,1,0,70,264
35047,"King--Vaughan/King--Vaughan"," 23","King",24,0,58,0,0,0,82,245
35047,"King--Vaughan/King--Vaughan"," 24","King",26,4,71,1,1,1,104,320
35047,"King--Vaughan/King--Vaughan"," 25","King",32,1,63,0,0,0,96,271
35047,"King--Vaughan/King--Vaughan"," 26","King",29,3,104,0,0,0,136,408
35047,"King--Vaughan/King--Vaughan"," 27","King",39,2,112,3,2,0,158,381
35047,"King--Vaughan/King--Vaughan"," 28","King",45,3,185,2,1,0,236,628
35047,"King--Vaughan/King--Vaughan"," 29","King",32,0,110,3,2,0,147,390
35047,"King--Vaughan/King--Vaughan"," 30A","King",39,1,100,0,0,1,141,409
35047,"King--Vaughan/King--Vaughan"," 30B","King",27,0,97,1,0,0,125,388
35047,"King--Vaughan/King--Vaughan"," 31","King",41,2,163,4,2,1,213,489
35047,"King--Vaughan/King--Vaughan"," 32","King",20,2,88,1,1,0,112,301
35047,"King--Vaughan/King--Vaughan"," 33A","King",33,1,93,0,2,1,130,384
35047,"King--Vaughan/King--Vaughan"," 33B","King",26,1,85,1,2,0,115,286
35047,"King--Vaughan/King--Vaughan"," 34","King",42,1,138,0,6,1,188,729
35047,"King--Vaughan/King--Vaughan"," 35","King",59,3,110,1,2,2,177,619
35047,"King--Vaughan/King--Vaughan"," 36","King City",37,2,112,0,0,1,152,569
35047,"King--Vaughan/King--Vaughan"," 37","King City",29,0,77,0,1,1,108,337
35047,"King--Vaughan/King--Vaughan"," 38","King",17,0,65,0,1,0,83,308
35047,"King--Vaughan/King--Vaughan"," 39","King",36,1,81,1,2,0,121,320
35047,"King--Vaughan/King--Vaughan"," 40","King",41,2,60,0,2,0,105,330
35047,"King--Vaughan/King--Vaughan"," 41","King City",37,2,54,0,4,0,97,309
35047,"King--Vaughan/King--Vaughan"," 42","King",38,4,55,0,0,0,97,286
35047,"King--Vaughan/King--Vaughan"," 43A","King",41,0,67,2,1,0,111,306
35047,"King--Vaughan/King--Vaughan"," 43B","King",27,1,59,4,0,0,91,282
35047,"King--Vaughan/King--Vaughan"," 44","King",46,1,107,1,1,0,156,504
35047,"King--Vaughan/King--Vaughan"," 45","King",56,1,127,2,1,1,188,526
35047,"King--Vaughan/King--Vaughan"," 46","King",33,0,75,1,1,1,111,271
35047,"King--Vaughan/King--Vaughan"," 47","Vaughan",56,2,95,2,1,2,158,547
35047,"King--Vaughan/King--Vaughan"," 48","Vaughan",39,1,60,0,0,0,100,329
35047,"King--Vaughan/King--Vaughan"," 49","Vaughan",86,1,135,4,2,4,232,598
35047,"King--Vaughan/King--Vaughan"," 50","Vaughan",69,2,108,0,3,0,182,477
35047,"King--Vaughan/King--Vaughan"," 51","Vaughan",44,0,110,0,0,0,154,537
35047,"King--Vaughan/King--Vaughan"," 52","Vaughan",43,0,98,0,3,3,147,507
35047,"King--Vaughan/King--Vaughan"," 53","Vaughan",58,1,102,1,9,1,172,525
35047,"King--Vaughan/King--Vaughan"," 54","Vaughan",87,2,118,0,6,0,213,529
35047,"King--Vaughan/King--Vaughan"," 55","Vaughan",23,2,73,2,0,0,100,371
35047,"King--Vaughan/King--Vaughan"," 56","Vaughan",37,1,74,0,0,0,112,412
35047,"King--Vaughan/King--Vaughan"," 57","Vaughan",27,0,93,1,0,0,121,423
35047,"King--Vaughan/King--Vaughan"," 58A","Vaughan",45,3,101,0,1,3,153,515
35047,"King--Vaughan/King--Vaughan"," 58B","Vaughan",31,0,88,0,3,0,122,441
35047,"King--Vaughan/King--Vaughan"," 59","Vaughan",50,2,130,0,2,2,186,532
35047,"King--Vaughan/King--Vaughan"," 60","Vaughan",53,0,135,0,1,4,193,598
35047,"King--Vaughan/King--Vaughan"," 61","Vaughan",24,0,105,1,0,0,130,453
35047,"King--Vaughan/King--Vaughan"," 62","Vaughan",44,1,69,0,2,0,116,540
35047,"King--Vaughan/King--Vaughan"," 63","Vaughan",61,1,128,0,2,1,193,586
35047,"King--Vaughan/King--Vaughan"," 64","Vaughan",27,1,49,0,0,0,77,308
35047,"King--Vaughan/King--Vaughan"," 65","Vaughan",61,0,103,0,3,0,167,462
35047,"King--Vaughan/King--Vaughan"," 66","Vaughan",22,1,124,0,0,0,147,450
35047,"King--Vaughan/King--Vaughan"," 67A","Vaughan",28,1,114,0,1,0,144,467
35047,"King--Vaughan/King--Vaughan"," 67B","Vaughan",18,2,86,0,1,0,107,342
35047,"King--Vaughan/King--Vaughan"," 68","Vaughan",48,2,120,2,2,2,176,503
35047,"King--Vaughan/King--Vaughan"," 69","Vaughan",102,1,182,2,4,1,292,535
35047,"King--Vaughan/King--Vaughan"," 70","Vaughan",93,1,156,1,1,3,255,561
35047,"King--Vaughan/King--Vaughan"," 71","Vaughan",98,2,142,1,4,0,247,529
35047,"King--Vaughan/King--Vaughan"," 72A","Vaughan",49,2,81,3,4,1,140,301
35047,"King--Vaughan/King--Vaughan"," 72B","Vaughan",49,1,75,4,5,0,134,315
35047,"King--Vaughan/King--Vaughan"," 73","Vaughan",62,4,102,1,2,1,172,375
35047,"King--Vaughan/King--Vaughan"," 74","Vaughan",69,2,133,0,1,1,206,485
35047,"King--Vaughan/King--Vaughan"," 75","Vaughan",81,3,147,0,3,1,235,505
35047,"King--Vaughan/King--Vaughan"," 76","Vaughan",81,2,121,0,0,0,204,430
35047,"King--Vaughan/King--Vaughan"," 77A","Vaughan",53,3,72,1,3,5,137,320
35047,"King--Vaughan/King--Vaughan"," 77B","Vaughan",57,2,77,0,1,0,137,304
35047,"King--Vaughan/King--Vaughan"," 78","Vaughan",73,2,126,4,3,1,209,545
35047,"King--Vaughan/King--Vaughan"," 79","Vaughan",61,2,93,0,6,0,162,425
35047,"King--Vaughan/King--Vaughan"," 80","Vaughan",103,1,24,0,2,4,134,768
35047,"King--Vaughan/King--Vaughan"," 81","Vaughan",17,0,78,4,1,0,100,342
35047,"King--Vaughan/King--Vaughan"," 82","Vaughan",76,3,72,0,5,1,157,447
35047,"King--Vaughan/King--Vaughan"," 83","Vaughan",103,4,89,3,3,4,206,503
35047,"King--Vaughan/King--Vaughan"," 84","King",45,3,198,4,2,3,255,738
35047,"King--Vaughan/King--Vaughan"," 85","King",33,0,99,0,1,0,133,347
35047,"King--Vaughan/King--Vaughan"," 86","King",39,1,93,3,1,1,138,415
35047,"King--Vaughan/King--Vaughan"," 87","Nobleton",44,0,152,0,1,2,199,496
35047,"King--Vaughan/King--Vaughan"," 88","King",49,1,116,1,1,0,168,426
35047,"King--Vaughan/King--Vaughan"," 89","Vaughan",13,2,111,0,0,0,126,412
35047,"King--Vaughan/King--Vaughan"," 90A","Vaughan",73,1,113,0,5,0,192,560
35047,"King--Vaughan/King--Vaughan"," 90B","Vaughan",46,0,105,2,3,1,157,488
35047,"King--Vaughan/King--Vaughan"," 91","Vaughan",80,4,84,3,8,2,181,551
35047,"King--Vaughan/King--Vaughan"," 92","Vaughan",46,0,103,0,2,3,154,456
35047,"King--Vaughan/King--Vaughan"," 93","Vaughan",64,4,123,1,3,2,197,519
35047,"King--Vaughan/King--Vaughan"," 94","Vaughan",72,1,66,0,0,0,139,413
35047,"King--Vaughan/King--Vaughan"," 95","Vaughan",91,2,130,0,3,0,226,469
35047,"King--Vaughan/King--Vaughan"," 96","Vaughan",69,4,132,1,6,1,213,500
35047,"King--Vaughan/King--Vaughan"," 97","Vaughan",61,0,27,1,2,2,93,529
35047,"King--Vaughan/King--Vaughan"," 98","Vaughan",94,1,68,2,2,2,169,561
35047,"King--Vaughan/King--Vaughan"," 99","Vaughan",68,0,64,1,2,0,135,387
35047,"King--Vaughan/King--Vaughan"," 100","Vaughan",84,2,108,1,5,0,200,534
35047,"King--Vaughan/King--Vaughan"," 101","Vaughan",94,4,126,1,4,1,230,476
35047,"King--Vaughan/King--Vaughan"," 102","Vaughan",68,3,122,0,5,1,199,455
35047,"King--Vaughan/King--Vaughan"," 103","Vaughan",90,0,131,3,4,1,229,534
35047,"King--Vaughan/King--Vaughan"," 104","Vaughan",63,0,114,0,4,0,181,434
35047,"King--Vaughan/King--Vaughan"," 105","Vaughan",78,1,148,2,2,3,234,474
35047,"King--Vaughan/King--Vaughan"," 106","Vaughan",55,2,134,0,3,0,194,457
35047,"King--Vaughan/King--Vaughan"," 107","Vaughan",91,3,156,2,4,1,257,558
35047,"King--Vaughan/King--Vaughan"," 108","Vaughan",71,1,37,0,1,1,111,496
35047,"King--Vaughan/King--Vaughan"," 109","Vaughan",71,0,60,2,3,0,136,535
35047,"King--Vaughan/King--Vaughan"," 110","Vaughan",67,0,49,1,4,1,122,278
35047,"King--Vaughan/King--Vaughan"," 111","Vaughan",60,0,82,0,5,4,151,401
35047,"King--Vaughan/King--Vaughan"," 112","Vaughan",30,2,97,3,1,0,133,328
35047,"King--Vaughan/King--Vaughan"," 113","Vaughan",66,3,76,0,1,2,148,531
35047,"King--Vaughan/King--Vaughan"," 114","Vaughan",71,2,61,1,3,0,138,526
35047,"King--Vaughan/King--Vaughan"," 115","Vaughan",78,2,112,3,0,0,195,598
35047,"King--Vaughan/King--Vaughan"," 116","Vaughan",91,0,99,1,7,2,200,591
35047,"King--Vaughan/King--Vaughan"," 117","Vaughan",64,2,121,1,1,0,189,451
35047,"King--Vaughan/King--Vaughan"," 118","Vaughan",72,1,114,2,1,1,191,455
35047,"King--Vaughan/King--Vaughan"," 119","Vaughan",84,3,112,1,3,1,204,424
35047,"King--Vaughan/King--Vaughan"," 120","Vaughan",79,1,145,2,2,2,231,489
35047,"King--Vaughan/King--Vaughan"," 121","Vaughan",64,4,156,0,0,0,224,602
35047,"King--Vaughan/King--Vaughan"," 122","Vaughan",51,1,65,1,4,2,124,469
35047,"King--Vaughan/King--Vaughan"," 123","Vaughan",82,2,124,0,3,4,215,385
35047,"King--Vaughan/King--Vaughan"," 124","Vaughan",39,0,67,2,2,1,111,363
35047,"King--Vaughan/King--Vaughan"," 125","Vaughan",45,0,152,3,2,0,202,552
35047,"King--Vaughan/King--Vaughan"," 126","Vaughan",41,2,84,1,3,1,132,370
35047,"King--Vaughan/King--Vaughan"," 127","Vaughan",50,0,84,0,2,0,136,380
35047,"King--Vaughan/King--Vaughan"," 128","Vaughan",47,0,62,0,0,2,111,316
35047,"King--Vaughan/King--Vaughan"," 129","Vaughan",66,3,141,1,3,3,217,514
35047,"King--Vaughan/King--Vaughan"," 130","Vaughan",30,1,47,2,3,0,83,304
35047,"King--Vaughan/King--Vaughan"," 131","Vaughan",31,3,69,0,1,2,106,363
35047,"King--Vaughan/King--Vaughan"," 132","Vaughan",62,2,127,0,5,3,199,537
35047,"King--Vaughan/King--Vaughan"," 133","Vaughan",11,0,52,1,1,0,65,270
35047,"King--Vaughan/King--Vaughan"," 134","Vaughan",38,0,70,3,2,1,114,489
35047,"King--Vaughan/King--Vaughan"," 135","Vaughan",31,1,59,0,2,0,93,368
35047,"King--Vaughan/King--Vaughan"," 136","Vaughan",75,4,148,3,3,2,235,501
35047,"King--Vaughan/King--Vaughan"," 137","Vaughan",71,4,168,0,2,0,245,571
35047,"King--Vaughan/King--Vaughan"," 138","Vaughan",63,1,163,0,6,0,233,671
35047,"King--Vaughan/King--Vaughan"," 139","Vaughan",39,2,126,2,4,0,173,453
35047,"King--Vaughan/King--Vaughan"," 140","Vaughan",92,3,88,1,6,2,192,478
35047,"King--Vaughan/King--Vaughan"," 141","Vaughan",74,0,87,2,4,1,168,442
