Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Brian Adeba,Kelly DeRidder,Margaretha Dyck,Mike Morrice,Ellen Papenburg,Wasai Rahimi,Heather Zaleski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35048,"Kitchener Centre/Kitchener-Centre"," 1","Kitchener",95,109,0,24,0,0,4,2,234,645
35048,"Kitchener Centre/Kitchener-Centre"," 2","Kitchener",60,95,0,30,0,2,3,1,191,472
35048,"Kitchener Centre/Kitchener-Centre"," 3","Kitchener",63,64,0,27,1,1,1,1,158,420
35048,"Kitchener Centre/Kitchener-Centre"," 4","Kitchener",91,88,0,57,0,2,2,3,243,590
35048,"Kitchener Centre/Kitchener-Centre"," 5","Kitchener",58,91,0,54,1,1,6,0,211,474
35048,"Kitchener Centre/Kitchener-Centre"," 6","Kitchener",55,96,0,49,0,1,3,0,204,502
35048,"Kitchener Centre/Kitchener-Centre"," 7","Kitchener",49,112,0,41,0,2,4,0,208,542
35048,"Kitchener Centre/Kitchener-Centre"," 8","Kitchener",52,70,0,30,0,1,0,0,153,362
35048,"Kitchener Centre/Kitchener-Centre"," 9","Kitchener",53,97,2,69,1,1,4,2,229,510
35048,"Kitchener Centre/Kitchener-Centre"," 10","Kitchener",65,115,0,31,1,1,1,1,215,681
35048,"Kitchener Centre/Kitchener-Centre"," 11","Kitchener",27,58,0,31,0,4,0,0,120,359
35048,"Kitchener Centre/Kitchener-Centre"," 12","Kitchener",40,63,3,42,0,2,0,1,151,459
35048,"Kitchener Centre/Kitchener-Centre"," 13","Kitchener",29,31,0,26,0,0,1,0,87,305
35048,"Kitchener Centre/Kitchener-Centre"," 14","Kitchener",35,52,0,39,1,3,6,0,136,412
35048,"Kitchener Centre/Kitchener-Centre"," 15","Kitchener",26,69,0,39,0,0,4,1,139,431
35048,"Kitchener Centre/Kitchener-Centre"," 16","Kitchener",39,61,1,32,0,2,4,0,139,446
35048,"Kitchener Centre/Kitchener-Centre"," 17","Kitchener",40,40,0,53,0,0,1,0,134,319
35048,"Kitchener Centre/Kitchener-Centre"," 18","Kitchener",44,59,1,27,0,0,3,1,135,466
35048,"Kitchener Centre/Kitchener-Centre"," 19","Kitchener",38,58,0,39,1,1,6,0,143,474
35048,"Kitchener Centre/Kitchener-Centre"," 20","Kitchener",23,49,0,24,1,1,2,1,101,379
35048,"Kitchener Centre/Kitchener-Centre"," 21","Kitchener",33,38,0,29,0,2,4,2,108,391
35048,"Kitchener Centre/Kitchener-Centre"," 22","Kitchener",35,54,0,49,0,3,2,1,144,350
35048,"Kitchener Centre/Kitchener-Centre"," 23","Kitchener",29,37,1,35,1,1,4,0,108,338
35048,"Kitchener Centre/Kitchener-Centre"," 24","Kitchener",32,59,2,56,0,2,3,0,154,425
35048,"Kitchener Centre/Kitchener-Centre"," 25","Kitchener",55,63,0,64,1,0,4,0,187,427
35048,"Kitchener Centre/Kitchener-Centre"," 26","Kitchener",38,81,0,48,1,1,4,1,174,405
35048,"Kitchener Centre/Kitchener-Centre"," 27","Kitchener",24,52,1,47,0,0,7,3,134,375
35048,"Kitchener Centre/Kitchener-Centre"," 28","Kitchener",29,86,0,69,0,2,4,0,190,527
35048,"Kitchener Centre/Kitchener-Centre"," 29","Kitchener",52,70,2,77,0,1,2,0,204,655
35048,"Kitchener Centre/Kitchener-Centre"," 30","Kitchener",35,70,0,27,0,0,3,0,135,377
35048,"Kitchener Centre/Kitchener-Centre"," 31","Kitchener",42,66,0,34,0,0,2,0,144,435
35048,"Kitchener Centre/Kitchener-Centre"," 32","Kitchener",66,81,1,55,1,1,1,0,206,487
35048,"Kitchener Centre/Kitchener-Centre"," 33","Kitchener",70,87,1,44,0,2,1,1,206,640
35048,"Kitchener Centre/Kitchener-Centre"," 34","Kitchener",31,52,0,31,0,0,2,1,117,340
35048,"Kitchener Centre/Kitchener-Centre"," 35","Kitchener",32,59,1,22,1,3,5,1,124,384
35048,"Kitchener Centre/Kitchener-Centre"," 36","Kitchener",60,66,0,56,0,1,1,1,185,489
35048,"Kitchener Centre/Kitchener-Centre"," 37","Kitchener",30,62,0,41,2,1,3,0,139,395
35048,"Kitchener Centre/Kitchener-Centre"," 38","Kitchener",39,80,0,31,0,0,2,0,152,373
35048,"Kitchener Centre/Kitchener-Centre"," 39","Kitchener",43,112,0,39,0,0,4,1,199,569
35048,"Kitchener Centre/Kitchener-Centre"," 40","Kitchener",53,92,0,34,0,3,1,0,183,523
35048,"Kitchener Centre/Kitchener-Centre"," 41","Kitchener",45,92,1,43,0,0,0,0,181,550
35048,"Kitchener Centre/Kitchener-Centre"," 42","Kitchener",54,102,0,29,0,3,1,4,193,598
35048,"Kitchener Centre/Kitchener-Centre"," 43","Kitchener",63,150,0,29,0,2,2,7,253,842
35048,"Kitchener Centre/Kitchener-Centre"," 44","Kitchener",57,116,0,35,0,2,4,0,214,632
35048,"Kitchener Centre/Kitchener-Centre"," 45","Kitchener",34,48,0,28,1,0,4,0,115,392
35048,"Kitchener Centre/Kitchener-Centre"," 46","Kitchener",35,57,2,39,0,2,3,2,140,368
35048,"Kitchener Centre/Kitchener-Centre"," 47","Kitchener",21,52,0,46,2,1,7,1,130,369
35048,"Kitchener Centre/Kitchener-Centre"," 48","Kitchener",34,74,0,32,0,1,5,0,146,435
35048,"Kitchener Centre/Kitchener-Centre"," 49","Kitchener",42,65,0,17,0,0,5,1,130,387
35048,"Kitchener Centre/Kitchener-Centre"," 50","Kitchener",63,59,1,57,1,1,12,1,195,548
35048,"Kitchener Centre/Kitchener-Centre"," 51","Kitchener",46,75,0,69,1,0,1,1,193,512
35048,"Kitchener Centre/Kitchener-Centre"," 52","Kitchener",34,43,0,72,0,1,5,0,155,426
35048,"Kitchener Centre/Kitchener-Centre"," 53","Kitchener",44,51,0,75,0,1,5,0,176,428
35048,"Kitchener Centre/Kitchener-Centre"," 54","Kitchener",41,44,0,72,0,1,7,0,165,435
35048,"Kitchener Centre/Kitchener-Centre"," 55","Kitchener",36,37,0,91,0,0,2,0,166,433
35048,"Kitchener Centre/Kitchener-Centre"," 56","Kitchener",36,46,0,61,0,0,0,0,143,355
35048,"Kitchener Centre/Kitchener-Centre"," 57","Kitchener",43,47,0,91,0,0,0,1,182,435
35048,"Kitchener Centre/Kitchener-Centre"," 58","Kitchener",47,63,0,91,0,0,0,2,203,445
35048,"Kitchener Centre/Kitchener-Centre"," 59","Kitchener",67,113,0,68,0,1,4,2,255,591
35048,"Kitchener Centre/Kitchener-Centre"," 60","Kitchener",54,76,0,44,0,0,6,3,183,429
35048,"Kitchener Centre/Kitchener-Centre"," 61","Kitchener",58,98,0,86,0,0,2,4,248,489
35048,"Kitchener Centre/Kitchener-Centre"," 62","Kitchener",49,74,0,64,1,0,5,1,194,421
35048,"Kitchener Centre/Kitchener-Centre"," 63","Kitchener",36,93,0,67,0,1,6,0,203,447
35048,"Kitchener Centre/Kitchener-Centre"," 64","Kitchener",40,79,1,87,1,2,0,1,211,420
35048,"Kitchener Centre/Kitchener-Centre"," 65","Kitchener",56,77,0,63,0,1,8,0,205,442
35048,"Kitchener Centre/Kitchener-Centre"," 66","Kitchener",56,55,0,53,0,0,1,0,165,342
35048,"Kitchener Centre/Kitchener-Centre"," 67","Kitchener",20,60,0,33,2,1,0,1,117,369
35048,"Kitchener Centre/Kitchener-Centre"," 68","Kitchener",58,103,0,82,0,0,2,2,247,529
35048,"Kitchener Centre/Kitchener-Centre"," 69","Kitchener",42,56,1,59,1,0,4,2,165,397
35048,"Kitchener Centre/Kitchener-Centre"," 70","Kitchener",31,56,0,48,0,0,1,2,138,306
35048,"Kitchener Centre/Kitchener-Centre"," 71","Kitchener",46,64,0,32,0,0,1,1,144,382
35048,"Kitchener Centre/Kitchener-Centre"," 72","Kitchener",41,55,0,28,0,0,1,4,129,291
35048,"Kitchener Centre/Kitchener-Centre"," 73","Kitchener",41,51,0,19,0,1,3,0,115,297
35048,"Kitchener Centre/Kitchener-Centre"," 74","Kitchener",62,82,0,127,2,3,4,1,281,571
35048,"Kitchener Centre/Kitchener-Centre"," 75","Kitchener",35,40,1,48,0,0,4,1,129,363
35048,"Kitchener Centre/Kitchener-Centre"," 76","Kitchener",27,31,0,65,0,0,4,1,128,346
35048,"Kitchener Centre/Kitchener-Centre"," 77","Kitchener",44,52,0,63,0,2,3,0,164,352
35048,"Kitchener Centre/Kitchener-Centre"," 78","Kitchener",39,39,0,49,0,0,2,0,129,322
35048,"Kitchener Centre/Kitchener-Centre"," 79","Kitchener",47,49,0,69,0,0,2,0,167,344
35048,"Kitchener Centre/Kitchener-Centre"," 80","Kitchener",29,41,1,81,0,2,0,0,154,318
35048,"Kitchener Centre/Kitchener-Centre"," 81","Kitchener",43,43,0,68,1,2,1,0,158,375
35048,"Kitchener Centre/Kitchener-Centre"," 82","Kitchener",51,36,0,114,0,0,1,1,203,397
35048,"Kitchener Centre/Kitchener-Centre"," 83","Kitchener",35,35,0,69,0,1,7,0,147,392
35048,"Kitchener Centre/Kitchener-Centre"," 84","Kitchener",30,35,1,38,0,1,5,1,111,355
35048,"Kitchener Centre/Kitchener-Centre"," 85","Kitchener",65,79,1,118,0,1,12,1,277,732
35048,"Kitchener Centre/Kitchener-Centre"," 86","Kitchener",52,65,0,62,0,1,4,0,184,658
35048,"Kitchener Centre/Kitchener-Centre"," 87","Kitchener",52,59,1,67,3,1,6,1,190,459
35048,"Kitchener Centre/Kitchener-Centre"," 88","Kitchener",34,81,1,20,1,2,1,1,141,398
35048,"Kitchener Centre/Kitchener-Centre"," 89","Kitchener",33,70,0,21,0,0,2,1,127,327
35048,"Kitchener Centre/Kitchener-Centre"," 90","Kitchener",68,81,0,47,1,0,3,2,202,408
35048,"Kitchener Centre/Kitchener-Centre"," 91","Kitchener",25,60,0,43,1,3,0,0,132,298
35048,"Kitchener Centre/Kitchener-Centre"," 92","Kitchener",53,75,0,29,0,0,2,0,159,340
35048,"Kitchener Centre/Kitchener-Centre"," 93","Kitchener",50,101,0,65,0,1,2,0,219,459
35048,"Kitchener Centre/Kitchener-Centre"," 94","Kitchener",78,111,1,40,0,1,5,2,238,504
35048,"Kitchener Centre/Kitchener-Centre"," 95","Kitchener",40,92,0,45,0,0,2,0,179,351
35048,"Kitchener Centre/Kitchener-Centre"," 96","Kitchener",61,42,0,114,1,4,6,1,229,504
35048,"Kitchener Centre/Kitchener-Centre"," 97","Kitchener",48,37,0,121,0,1,3,0,210,451
35048,"Kitchener Centre/Kitchener-Centre"," 98","Kitchener",96,80,0,172,0,4,5,3,360,711
35048,"Kitchener Centre/Kitchener-Centre"," 99","Kitchener",57,49,0,81,0,0,0,0,187,436
35048,"Kitchener Centre/Kitchener-Centre"," 100","Kitchener",50,37,0,46,0,1,3,4,141,490
35048,"Kitchener Centre/Kitchener-Centre"," 101","Kitchener",49,73,0,86,0,2,4,0,214,478
35048,"Kitchener Centre/Kitchener-Centre"," 102","Kitchener",63,27,1,75,0,0,3,1,170,442
35048,"Kitchener Centre/Kitchener-Centre"," 103","Kitchener",50,105,0,58,0,4,6,1,224,456
35048,"Kitchener Centre/Kitchener-Centre"," 104","Kitchener",82,76,0,91,0,0,5,3,257,475
35048,"Kitchener Centre/Kitchener-Centre"," 105","Kitchener",56,83,0,51,0,2,2,0,194,422
35048,"Kitchener Centre/Kitchener-Centre"," 106","Kitchener",63,89,0,92,0,3,4,0,251,513
35048,"Kitchener Centre/Kitchener-Centre"," 107","Kitchener",45,36,0,43,0,0,4,1,129,342
35048,"Kitchener Centre/Kitchener-Centre"," 108A","Kitchener",25,33,0,26,1,0,5,3,93,317
