Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Michelle Foxton,Jesse Pauley,Danielle Rae,Scott Reid,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35051,"Lanark--Frontenac/Lanark--Frontenac"," 1","Mississippi Mills",60,1,3,215,0,279,476
35051,"Lanark--Frontenac/Lanark--Frontenac"," 2","Mississippi Mills",53,4,10,134,0,201,379
35051,"Lanark--Frontenac/Lanark--Frontenac"," 3","Mississippi Mills",110,5,8,124,0,247,468
35051,"Lanark--Frontenac/Lanark--Frontenac"," 4","Mississippi Mills",47,4,4,95,1,151,306
35051,"Lanark--Frontenac/Lanark--Frontenac"," 5","Mississippi Mills",48,3,4,128,1,184,353
35051,"Lanark--Frontenac/Lanark--Frontenac"," 6","Mississippi Mills",128,1,7,153,0,289,556
35051,"Lanark--Frontenac/Lanark--Frontenac"," 7","Mississippi Mills",87,2,8,100,0,197,492
35051,"Lanark--Frontenac/Lanark--Frontenac"," 8","Mississippi Mills",87,3,3,96,0,189,367
35051,"Lanark--Frontenac/Lanark--Frontenac"," 9","Mississippi Mills",89,1,0,90,1,181,493
35051,"Lanark--Frontenac/Lanark--Frontenac"," 10","Mississippi Mills",49,2,4,88,0,143,421
35051,"Lanark--Frontenac/Lanark--Frontenac"," 11","Mississippi Mills",67,1,6,37,0,111,386
35051,"Lanark--Frontenac/Lanark--Frontenac"," 12","Mississippi Mills",57,2,5,66,1,131,394
35051,"Lanark--Frontenac/Lanark--Frontenac"," 13","Mississippi Mills",57,4,3,50,0,114,408
35051,"Lanark--Frontenac/Lanark--Frontenac"," 14","Mississippi Mills",120,1,4,83,1,209,417
35051,"Lanark--Frontenac/Lanark--Frontenac"," 15","Mississippi Mills",69,1,6,57,0,133,360
35051,"Lanark--Frontenac/Lanark--Frontenac"," 16","Mississippi Mills",55,3,6,54,1,119,379
35051,"Lanark--Frontenac/Lanark--Frontenac"," 17","Mississippi Mills",87,1,8,72,3,171,482
35051,"Lanark--Frontenac/Lanark--Frontenac"," 18","Mississippi Mills",74,1,2,49,0,126,414
35051,"Lanark--Frontenac/Lanark--Frontenac"," 19","Mississippi Mills",68,0,3,36,2,109,406
35051,"Lanark--Frontenac/Lanark--Frontenac"," 20","Mississippi Mills",90,1,8,73,1,173,535
35051,"Lanark--Frontenac/Lanark--Frontenac"," 21","Mississippi Mills",103,3,4,63,1,174,450
35051,"Lanark--Frontenac/Lanark--Frontenac"," 22","Mississippi Mills",69,3,11,51,0,134,441
35051,"Lanark--Frontenac/Lanark--Frontenac"," 23","Lanark Highlands",69,2,3,112,1,187,283
35051,"Lanark--Frontenac/Lanark--Frontenac"," 24","Mississippi Mills",77,4,4,64,1,150,404
35051,"Lanark--Frontenac/Lanark--Frontenac"," 25","Mississippi Mills",47,0,3,30,0,80,284
35051,"Lanark--Frontenac/Lanark--Frontenac"," 26","Mississippi Mills",33,0,3,43,0,79,238
35051,"Lanark--Frontenac/Lanark--Frontenac"," 27","Carleton Place",62,5,6,66,2,141,455
35051,"Lanark--Frontenac/Lanark--Frontenac"," 28","Carleton Place",47,0,1,46,0,94,351
35051,"Lanark--Frontenac/Lanark--Frontenac"," 29","Carleton Place",66,2,8,62,0,138,418
35051,"Lanark--Frontenac/Lanark--Frontenac"," 30A","Carleton Place",85,1,1,67,0,154,533
35051,"Lanark--Frontenac/Lanark--Frontenac"," 30B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,38
35051,"Lanark--Frontenac/Lanark--Frontenac"," 31","Carleton Place",73,1,10,84,1,169,495
35051,"Lanark--Frontenac/Lanark--Frontenac"," 32","Carleton Place",61,2,6,57,0,126,438
35051,"Lanark--Frontenac/Lanark--Frontenac"," 33","Carleton Place",59,2,5,72,0,138,430
35051,"Lanark--Frontenac/Lanark--Frontenac"," 34","Carleton Place",64,2,4,97,1,168,590
35051,"Lanark--Frontenac/Lanark--Frontenac"," 35","Carleton Place",64,5,3,64,1,137,399
35051,"Lanark--Frontenac/Lanark--Frontenac"," 36","Mississippi Mills",Combined with No./Résultats combinés à ceux du n°37,,,,,,299
35051,"Lanark--Frontenac/Lanark--Frontenac"," 37","Mississippi Mills",77,2,8,126,1,214,315
