Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Elvin Kao,Michael Ma,Sameer Qureshi,Peter Yuen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35058,"Markham--Unionville/Markham--Unionville"," 1","Markham",0,61,4,31,1,97,381
35058,"Markham--Unionville/Markham--Unionville"," 2","Markham",0,137,4,100,0,241,513
35058,"Markham--Unionville/Markham--Unionville"," 3","Markham",2,122,0,92,1,217,466
35058,"Markham--Unionville/Markham--Unionville"," 4","Markham",4,122,5,102,0,233,509
35058,"Markham--Unionville/Markham--Unionville"," 5","Markham",3,174,3,130,3,313,567
35058,"Markham--Unionville/Markham--Unionville"," 6","Markham",4,155,3,128,1,291,560
35058,"Markham--Unionville/Markham--Unionville"," 7","Markham",1,121,7,136,1,266,527
35058,"Markham--Unionville/Markham--Unionville"," 8","Markham",2,88,1,87,0,178,413
35058,"Markham--Unionville/Markham--Unionville"," 9","Markham",1,136,4,101,0,242,466
35058,"Markham--Unionville/Markham--Unionville"," 10","Markham",2,112,2,59,1,176,438
35058,"Markham--Unionville/Markham--Unionville"," 11","Markham",1,134,8,115,3,261,563
35058,"Markham--Unionville/Markham--Unionville"," 12","Markham",2,116,6,121,0,245,546
35058,"Markham--Unionville/Markham--Unionville"," 13","Markham",1,160,3,133,1,298,531
35058,"Markham--Unionville/Markham--Unionville"," 14","Markham",6,110,4,114,2,236,532
35058,"Markham--Unionville/Markham--Unionville"," 15","Markham",2,125,3,114,0,244,507
35058,"Markham--Unionville/Markham--Unionville"," 16","Markham",3,80,6,49,0,138,580
35058,"Markham--Unionville/Markham--Unionville"," 17","Markham",3,79,0,37,0,119,470
35058,"Markham--Unionville/Markham--Unionville"," 18","Markham",1,94,3,76,0,174,597
35058,"Markham--Unionville/Markham--Unionville"," 19","Markham",3,89,1,75,0,168,581
35058,"Markham--Unionville/Markham--Unionville"," 20","Markham",1,86,0,58,1,146,574
35058,"Markham--Unionville/Markham--Unionville"," 21A","Markham",0,59,0,48,0,107,361
35058,"Markham--Unionville/Markham--Unionville"," 21B","Markham",1,136,1,73,1,212,269
35058,"Markham--Unionville/Markham--Unionville"," 22","Markham",1,110,4,60,1,176,454
35058,"Markham--Unionville/Markham--Unionville"," 23","Markham",3,112,10,109,0,234,467
35058,"Markham--Unionville/Markham--Unionville"," 24","Markham",1,104,5,72,1,183,481
35058,"Markham--Unionville/Markham--Unionville"," 25","Markham",2,113,5,176,1,297,558
35058,"Markham--Unionville/Markham--Unionville"," 26","Markham",3,164,5,137,2,311,560
35058,"Markham--Unionville/Markham--Unionville"," 27","Markham",1,136,0,95,1,233,595
35058,"Markham--Unionville/Markham--Unionville"," 28","Markham",0,112,1,105,0,218,509
35058,"Markham--Unionville/Markham--Unionville"," 29","Markham",1,100,2,65,0,168,395
35058,"Markham--Unionville/Markham--Unionville"," 30A","Markham",1,84,0,43,1,129,452
35058,"Markham--Unionville/Markham--Unionville"," 30B","Markham",2,68,1,41,0,112,393
35058,"Markham--Unionville/Markham--Unionville"," 31","Markham",5,87,2,69,0,163,351
35058,"Markham--Unionville/Markham--Unionville"," 32","Markham",3,148,6,108,1,266,555
35058,"Markham--Unionville/Markham--Unionville"," 33","Markham",2,91,5,89,2,189,416
35058,"Markham--Unionville/Markham--Unionville"," 34A","Markham",0,91,0,66,1,158,402
