Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Sandra Cobena,Anna Gollen,Jennifer McLachlan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35068,"Newmarket--Aurora/Newmarket--Aurora"," 1","East Gwillimbury",103,5,86,0,194,387
35068,"Newmarket--Aurora/Newmarket--Aurora"," 2","Newmarket",77,5,90,1,173,375
35068,"Newmarket--Aurora/Newmarket--Aurora"," 3","Newmarket",136,6,123,1,266,538
35068,"Newmarket--Aurora/Newmarket--Aurora"," 4","Newmarket",75,2,97,0,174,367
35068,"Newmarket--Aurora/Newmarket--Aurora"," 5","Newmarket",84,8,99,2,193,498
35068,"Newmarket--Aurora/Newmarket--Aurora"," 6","Newmarket",89,5,74,1,169,411
35068,"Newmarket--Aurora/Newmarket--Aurora"," 7","Newmarket",99,2,101,2,204,497
35068,"Newmarket--Aurora/Newmarket--Aurora"," 8","Newmarket",125,9,167,2,303,565
35068,"Newmarket--Aurora/Newmarket--Aurora"," 9","Newmarket",116,7,136,1,260,558
35068,"Newmarket--Aurora/Newmarket--Aurora"," 10","Newmarket",97,6,97,3,203,424
35068,"Newmarket--Aurora/Newmarket--Aurora"," 11","Newmarket",134,3,86,0,223,437
35068,"Newmarket--Aurora/Newmarket--Aurora"," 12","Newmarket",122,12,93,4,231,510
35068,"Newmarket--Aurora/Newmarket--Aurora"," 13","Newmarket",129,8,100,2,239,481
35068,"Newmarket--Aurora/Newmarket--Aurora"," 14","Newmarket",120,5,75,3,203,533
35068,"Newmarket--Aurora/Newmarket--Aurora"," 15","Newmarket",68,5,47,2,122,403
35068,"Newmarket--Aurora/Newmarket--Aurora"," 16","Newmarket",84,6,62,1,153,350
35068,"Newmarket--Aurora/Newmarket--Aurora"," 17","Newmarket",76,3,79,3,161,394
35068,"Newmarket--Aurora/Newmarket--Aurora"," 18","Newmarket",79,4,80,1,164,377
35068,"Newmarket--Aurora/Newmarket--Aurora"," 19","Newmarket",89,7,63,1,160,429
35068,"Newmarket--Aurora/Newmarket--Aurora"," 20","Newmarket",86,7,86,4,183,447
35068,"Newmarket--Aurora/Newmarket--Aurora"," 21","Newmarket",70,9,59,1,139,418
35068,"Newmarket--Aurora/Newmarket--Aurora"," 22A","Newmarket",Combined with No./Résultats combinés à ceux du n°73A,,,,,154
35068,"Newmarket--Aurora/Newmarket--Aurora"," 22B","Newmarket",Combined with No./Résultats combinés à ceux du n°73B,,,,,145
