Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Justin Abando,Dean Allison,Ryan Anderson,Dave Bylsma,Jennifer Korstanje,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35072,"Niagara West/Niagara-Ouest"," 1","St. Catharines",9,129,1,4,83,0,226,470
35072,"Niagara West/Niagara-Ouest"," 2","St. Catharines",7,148,0,3,76,0,234,451
35072,"Niagara West/Niagara-Ouest"," 3","St. Catharines",7,73,1,2,57,0,140,289
35072,"Niagara West/Niagara-Ouest"," 4","Grimsby",7,133,2,0,89,2,233,560
35072,"Niagara West/Niagara-Ouest"," 5","Lincoln",0,95,0,2,90,0,187,433
35072,"Niagara West/Niagara-Ouest"," 6","Lincoln",3,126,1,2,60,1,193,369
35072,"Niagara West/Niagara-Ouest"," 7","Grimsby",6,129,0,3,107,0,245,548
35072,"Niagara West/Niagara-Ouest"," 8","Grimsby",10,83,0,0,63,0,156,449
35072,"Niagara West/Niagara-Ouest"," 9","Grimsby",7,93,1,0,76,0,177,418
35072,"Niagara West/Niagara-Ouest"," 10","Grimsby",10,103,2,0,70,2,187,409
35072,"Niagara West/Niagara-Ouest"," 11","Grimsby",7,116,0,1,96,0,220,516
35072,"Niagara West/Niagara-Ouest"," 12","Grimsby",11,129,4,0,84,0,228,470
35072,"Niagara West/Niagara-Ouest"," 13","Grimsby",3,116,1,2,101,2,225,468
35072,"Niagara West/Niagara-Ouest"," 14","Grimsby",2,70,0,0,80,0,152,388
35072,"Niagara West/Niagara-Ouest"," 15","Grimsby",11,137,2,1,75,1,227,418
35072,"Niagara West/Niagara-Ouest"," 16","Grimsby",2,85,1,0,92,0,180,395
35072,"Niagara West/Niagara-Ouest"," 17","Grimsby",11,175,4,0,113,0,303,564
35072,"Niagara West/Niagara-Ouest"," 18","Grimsby",7,117,2,0,84,1,211,528
35072,"Niagara West/Niagara-Ouest"," 19","Lincoln",1,110,0,10,65,0,186,426
35072,"Niagara West/Niagara-Ouest"," 20","Lincoln",1,35,0,4,28,1,69,337
35072,"Niagara West/Niagara-Ouest"," 21","Lincoln",2,34,1,3,36,1,77,382
35072,"Niagara West/Niagara-Ouest"," 22","Lincoln",7,83,2,1,78,3,174,437
35072,"Niagara West/Niagara-Ouest"," 23A","Grimsby",0,99,0,1,60,3,163,442
35072,"Niagara West/Niagara-Ouest"," 23B","Grimsby",3,74,1,0,49,2,129,406
35072,"Niagara West/Niagara-Ouest"," 24","Grimsby",2,55,3,0,48,1,109,139
35072,"Niagara West/Niagara-Ouest"," 25","Grimsby",7,168,1,1,89,2,268,526
35072,"Niagara West/Niagara-Ouest"," 26","Grimsby",9,107,3,1,96,1,217,463
35072,"Niagara West/Niagara-Ouest"," 27","Grimsby",7,105,0,1,91,0,204,453
35072,"Niagara West/Niagara-Ouest"," 28","Grimsby",16,75,6,3,69,1,170,493
35072,"Niagara West/Niagara-Ouest"," 29","Grimsby",3,51,1,6,56,0,117,385
35072,"Niagara West/Niagara-Ouest"," 30","Grimsby",5,89,2,0,68,0,164,493
35072,"Niagara West/Niagara-Ouest"," 31","Grimsby",6,51,0,2,99,0,158,385
35072,"Niagara West/Niagara-Ouest"," 32","Grimsby",8,97,2,1,95,0,203,497
35072,"Niagara West/Niagara-Ouest"," 33","Grimsby",2,81,2,0,82,0,167,435
35072,"Niagara West/Niagara-Ouest"," 34","Grimsby",6,96,0,1,68,2,173,355
35072,"Niagara West/Niagara-Ouest"," 35","Grimsby",9,114,0,0,106,0,229,490
35072,"Niagara West/Niagara-Ouest"," 36","Grimsby",5,95,4,1,109,1,215,527
35072,"Niagara West/Niagara-Ouest"," 37","Grimsby",9,93,3,1,74,3,183,479
35072,"Niagara West/Niagara-Ouest"," 38","Grimsby",6,108,1,1,91,0,207,503
35072,"Niagara West/Niagara-Ouest"," 39","Grimsby",2,132,1,0,82,1,218,492
35072,"Niagara West/Niagara-Ouest"," 40","Grimsby",6,111,0,0,81,0,198,475
35072,"Niagara West/Niagara-Ouest"," 41","Grimsby",3,104,1,1,93,1,203,469
35072,"Niagara West/Niagara-Ouest"," 42","Lincoln",3,92,1,2,37,0,135,331
35072,"Niagara West/Niagara-Ouest"," 43","Lincoln",8,97,3,2,67,0,177,562
35072,"Niagara West/Niagara-Ouest"," 44","Lincoln",8,141,3,1,82,0,235,571
35072,"Niagara West/Niagara-Ouest"," 45","Lincoln",17,135,2,0,66,2,222,530
35072,"Niagara West/Niagara-Ouest"," 46","Lincoln",3,118,1,1,46,2,171,376
35072,"Niagara West/Niagara-Ouest"," 47A","Grimsby",0,74,0,2,84,0,160,361
35072,"Niagara West/Niagara-Ouest"," 47B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,125
35072,"Niagara West/Niagara-Ouest"," 48","Grimsby",8,106,1,0,68,1,184,436
35072,"Niagara West/Niagara-Ouest"," 49","Grimsby",6,115,0,1,99,0,221,486
35072,"Niagara West/Niagara-Ouest"," 50","Grimsby",11,116,2,0,93,0,222,405
35072,"Niagara West/Niagara-Ouest"," 51","St. Catharines",21,62,0,3,84,0,170,450
35072,"Niagara West/Niagara-Ouest"," 52","St. Catharines",6,58,3,0,85,2,154,423
35072,"Niagara West/Niagara-Ouest"," 53","St. Catharines",9,65,2,0,82,0,158,517
35072,"Niagara West/Niagara-Ouest"," 54","St. Catharines",16,84,4,0,76,1,181,440
35072,"Niagara West/Niagara-Ouest"," 55","St. Catharines",11,104,2,1,75,0,193,452
35072,"Niagara West/Niagara-Ouest"," 56","St. Catharines",10,73,0,0,62,2,147,423
35072,"Niagara West/Niagara-Ouest"," 57","St. Catharines",24,101,5,5,68,0,203,442
35072,"Niagara West/Niagara-Ouest"," 58","St. Catharines",17,89,5,2,80,0,193,531
35072,"Niagara West/Niagara-Ouest"," 59","St. Catharines",24,108,5,3,66,1,207,555
35072,"Niagara West/Niagara-Ouest"," 60","Grimsby",10,114,2,3,100,4,233,537
35072,"Niagara West/Niagara-Ouest"," 61","Grimsby",3,80,1,1,85,3,173,517
35072,"Niagara West/Niagara-Ouest"," 62","Grimsby",4,63,0,1,74,0,142,373
35072,"Niagara West/Niagara-Ouest"," 63","Grimsby",7,122,4,3,98,0,234,584
35072,"Niagara West/Niagara-Ouest"," 64","Grimsby",11,110,1,3,106,0,231,558
35072,"Niagara West/Niagara-Ouest"," 65","Lincoln",9,120,3,0,95,1,228,501
35072,"Niagara West/Niagara-Ouest"," 66","Lincoln",9,99,3,0,76,0,187,473
35072,"Niagara West/Niagara-Ouest"," 67","Lincoln",7,173,1,2,74,0,257,453
35072,"Niagara West/Niagara-Ouest"," 68","Lincoln",6,156,3,3,75,0,243,451
35072,"Niagara West/Niagara-Ouest"," 69","Lincoln",1,94,0,3,72,0,170,436
35072,"Niagara West/Niagara-Ouest"," 70","Lincoln",4,91,4,1,66,0,166,328
35072,"Niagara West/Niagara-Ouest"," 71","Lincoln",4,106,6,0,51,0,167,416
35072,"Niagara West/Niagara-Ouest"," 72","Lincoln",7,81,3,1,70,0,162,386
35072,"Niagara West/Niagara-Ouest"," 73","Lincoln",13,100,0,0,53,0,166,443
35072,"Niagara West/Niagara-Ouest"," 74","Lincoln",7,102,4,1,72,1,187,480
35072,"Niagara West/Niagara-Ouest"," 75","Grimsby",6,107,0,1,113,0,227,538
35072,"Niagara West/Niagara-Ouest"," 76","Grimsby",0,95,0,1,110,3,209,507
