Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,John Janssen,Garry Keller,Valerie Kennedy,Louise Poitras,Pauline Rochefort,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 1","Chamberlain",1,94,12,1,27,0,135,287
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 2","Evanturel",1,108,11,1,31,0,152,430
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 3A","Englehart",3,95,20,0,40,1,159,468
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 3B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,27
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 4","Englehart",0,83,15,3,49,1,151,497
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 5","Englehart",3,91,14,2,39,0,149,422
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 6","Hilliard",3,104,25,0,43,0,175,359
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 7","Dane",0,12,3,0,0,0,15,24
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 8","Dack",6,103,21,0,49,1,180,439
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 9","Charlton",4,88,23,0,23,0,138,336
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 10","Earlton",3,68,7,0,30,0,108,269
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 11","Earlton",1,80,11,0,34,0,126,322
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 12","Earlton",1,86,9,1,54,0,151,367
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 13","Brethour",1,90,12,1,79,3,186,364
