Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Rhonda Kirkland,Sara Labelle,Katherine Mathewson,Isaac Ransom,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35078,"Oshawa/Oshawa"," 1","Oshawa",82,14,5,131,5,237,312
35078,"Oshawa/Oshawa"," 2","Oshawa",54,12,0,105,4,175,214
35078,"Oshawa/Oshawa"," 3","Oshawa",143,22,2,95,1,263,606
35078,"Oshawa/Oshawa"," 4","Oshawa",149,19,1,126,0,295,626
35078,"Oshawa/Oshawa"," 5","Oshawa",135,16,4,103,4,262,619
35078,"Oshawa/Oshawa"," 6","Oshawa",125,17,4,136,2,284,549
35078,"Oshawa/Oshawa"," 7","Oshawa",117,1,2,100,1,221,582
35078,"Oshawa/Oshawa"," 8","Oshawa",141,17,3,112,1,274,580
35078,"Oshawa/Oshawa"," 9","Oshawa",91,16,3,101,3,214,531
35078,"Oshawa/Oshawa"," 10","Oshawa",106,10,3,101,2,222,599
35078,"Oshawa/Oshawa"," 11","Oshawa",89,11,0,79,2,181,564
35078,"Oshawa/Oshawa"," 12","Oshawa",99,18,0,119,5,241,547
35078,"Oshawa/Oshawa"," 13","Oshawa",114,21,4,135,5,279,556
35078,"Oshawa/Oshawa"," 14","Oshawa",93,12,4,67,0,176,606
35078,"Oshawa/Oshawa"," 15","Oshawa",131,25,4,111,0,271,632
35078,"Oshawa/Oshawa"," 16","Oshawa",120,15,3,131,1,270,601
35078,"Oshawa/Oshawa"," 17","Oshawa",160,18,1,106,0,285,603
35078,"Oshawa/Oshawa"," 18","Oshawa",109,21,6,63,1,200,561
35078,"Oshawa/Oshawa"," 19","Oshawa",96,11,2,81,1,191,560
35078,"Oshawa/Oshawa"," 20","Oshawa",116,20,0,97,1,234,546
35078,"Oshawa/Oshawa"," 21","Oshawa",91,16,3,76,1,187,566
35078,"Oshawa/Oshawa"," 22","Oshawa",121,17,1,104,0,243,611
35078,"Oshawa/Oshawa"," 23","Oshawa",109,4,3,94,0,210,563
35078,"Oshawa/Oshawa"," 24","Oshawa",99,18,3,93,1,214,689
35078,"Oshawa/Oshawa"," 25","Oshawa",124,14,1,113,0,252,694
35078,"Oshawa/Oshawa"," 26","Oshawa",74,14,4,82,1,175,514
35078,"Oshawa/Oshawa"," 27","Oshawa",100,10,1,93,0,204,597
35078,"Oshawa/Oshawa"," 28","Oshawa",87,10,2,90,2,191,575
35078,"Oshawa/Oshawa"," 29","Oshawa",93,14,2,68,3,180,571
35078,"Oshawa/Oshawa"," 30","Oshawa",82,13,0,78,1,174,503
35078,"Oshawa/Oshawa"," 31","Oshawa",123,10,1,99,0,233,588
35078,"Oshawa/Oshawa"," 32","Oshawa",83,24,3,92,0,202,790
35078,"Oshawa/Oshawa"," 33","Oshawa",82,30,1,89,0,202,696
35078,"Oshawa/Oshawa"," 34","Oshawa",155,19,5,108,1,288,833
35078,"Oshawa/Oshawa"," 35","Oshawa",109,25,3,97,3,237,770
35078,"Oshawa/Oshawa"," 36","Oshawa",132,23,4,96,5,260,812
35078,"Oshawa/Oshawa"," 37","Oshawa",158,31,5,122,3,319,884
35078,"Oshawa/Oshawa"," 38","Oshawa",102,19,2,64,1,188,607
35078,"Oshawa/Oshawa"," 39","Oshawa",104,13,3,83,1,204,595
35078,"Oshawa/Oshawa"," 40","Oshawa",54,8,0,82,1,145,705
35078,"Oshawa/Oshawa"," 41","Oshawa",118,12,2,110,0,242,595
35078,"Oshawa/Oshawa"," 42","Oshawa",98,17,2,99,0,216,536
35078,"Oshawa/Oshawa"," 43","Oshawa",103,6,0,81,2,192,631
35078,"Oshawa/Oshawa"," 44","Oshawa",97,28,2,95,1,223,619
35078,"Oshawa/Oshawa"," 45","Oshawa",119,18,3,122,0,262,579
35078,"Oshawa/Oshawa"," 46","Oshawa",86,20,2,94,1,203,701
35078,"Oshawa/Oshawa"," 47","Oshawa",181,20,2,126,0,329,630
35078,"Oshawa/Oshawa"," 48","Oshawa",127,23,4,92,0,246,587
35078,"Oshawa/Oshawa"," 49","Oshawa",137,16,7,103,2,265,568
35078,"Oshawa/Oshawa"," 50","Oshawa",170,17,7,115,2,311,622
35078,"Oshawa/Oshawa"," 51","Oshawa",147,24,8,134,2,315,612
35078,"Oshawa/Oshawa"," 52","Oshawa",131,17,5,95,2,250,611
35078,"Oshawa/Oshawa"," 53","Oshawa",136,14,1,86,3,240,599
35078,"Oshawa/Oshawa"," 54","Oshawa",118,12,2,106,0,238,556
35078,"Oshawa/Oshawa"," 55","Oshawa",122,15,1,97,0,235,591
35078,"Oshawa/Oshawa"," 56","Oshawa",99,26,4,104,0,233,604
35078,"Oshawa/Oshawa"," 57","Oshawa",102,21,0,98,6,227,573
35078,"Oshawa/Oshawa"," 58","Oshawa",87,14,1,68,1,171,532
35078,"Oshawa/Oshawa"," 59","Oshawa",95,9,1,94,0,199,551
35078,"Oshawa/Oshawa"," 60","Oshawa",91,8,1,77,3,180,567
35078,"Oshawa/Oshawa"," 61","Oshawa",129,16,3,81,3,232,634
35078,"Oshawa/Oshawa"," 62A","Oshawa",87,7,3,71,0,168,425
35078,"Oshawa/Oshawa"," 62B","Oshawa",85,7,1,92,0,185,461
35078,"Oshawa/Oshawa"," 63","Oshawa",102,20,3,91,0,216,589
35078,"Oshawa/Oshawa"," 64","Oshawa",78,16,2,73,0,169,517
35078,"Oshawa/Oshawa"," 65","Oshawa",75,8,1,54,2,140,505
35078,"Oshawa/Oshawa"," 66","Oshawa",98,7,1,64,2,172,551
35078,"Oshawa/Oshawa"," 67","Oshawa",92,18,3,75,0,188,542
35078,"Oshawa/Oshawa"," 68","Oshawa",97,21,1,60,4,183,623
35078,"Oshawa/Oshawa"," 69","Oshawa",88,13,1,116,2,220,533
35078,"Oshawa/Oshawa"," 70","Oshawa",101,13,1,95,3,213,509
35078,"Oshawa/Oshawa"," 71","Oshawa",127,26,3,86,0,242,550
35078,"Oshawa/Oshawa"," 72","Oshawa",97,5,0,89,0,191,561
35078,"Oshawa/Oshawa"," 73","Oshawa",93,29,1,103,3,229,561
35078,"Oshawa/Oshawa"," 74","Oshawa",105,26,4,125,0,260,621
35078,"Oshawa/Oshawa"," 75","Oshawa",100,11,4,86,2,203,566
35078,"Oshawa/Oshawa"," 76","Oshawa",40,14,0,63,1,118,515
35078,"Oshawa/Oshawa"," 77","Oshawa",130,17,3,88,0,238,553
35078,"Oshawa/Oshawa"," 78","Oshawa",119,16,3,92,1,231,596
35078,"Oshawa/Oshawa"," 79","Oshawa",95,12,3,88,0,198,505
35078,"Oshawa/Oshawa"," 80","Oshawa",117,15,0,82,1,215,520
35078,"Oshawa/Oshawa"," 81","Oshawa",83,9,5,64,1,162,445
35078,"Oshawa/Oshawa"," 82","Oshawa",115,20,6,108,0,249,584
35078,"Oshawa/Oshawa"," 83","Oshawa",117,39,4,120,0,280,633
35078,"Oshawa/Oshawa"," 84","Oshawa",124,23,2,100,0,249,689
35078,"Oshawa/Oshawa"," 85","Oshawa",127,30,5,134,0,296,627
35078,"Oshawa/Oshawa"," 86","Oshawa",148,25,3,136,0,312,680
35078,"Oshawa/Oshawa"," 87","Oshawa",103,12,3,96,2,216,575
35078,"Oshawa/Oshawa"," 88","Oshawa",101,27,5,91,0,224,644
35078,"Oshawa/Oshawa"," 89A","Oshawa",68,12,1,74,0,155,454
35078,"Oshawa/Oshawa"," 89B","Oshawa",58,15,2,80,0,155,461
35078,"Oshawa/Oshawa"," 90","Oshawa",116,37,5,122,0,280,611
35078,"Oshawa/Oshawa"," 91","Oshawa",118,15,1,98,0,232,607
35078,"Oshawa/Oshawa"," 92","Oshawa",98,13,3,111,4,229,618
35078,"Oshawa/Oshawa"," 93","Oshawa",115,19,2,115,0,251,604
35078,"Oshawa/Oshawa"," 94","Oshawa",125,15,3,106,3,252,596
35078,"Oshawa/Oshawa"," 95","Oshawa",127,19,2,100,0,248,539
35078,"Oshawa/Oshawa"," 96","Oshawa",107,13,1,101,1,223,620
35078,"Oshawa/Oshawa"," 97","Oshawa",104,18,2,75,2,201,594
35078,"Oshawa/Oshawa"," 98","Oshawa",104,22,6,75,1,208,685
35078,"Oshawa/Oshawa"," 99","Oshawa",82,19,1,78,0,180,712
35078,"Oshawa/Oshawa"," 100","Oshawa",125,36,7,83,2,253,735
35078,"Oshawa/Oshawa"," 101","Oshawa",100,22,7,93,3,225,583
35078,"Oshawa/Oshawa"," 102","Oshawa",95,21,1,109,1,227,594
35078,"Oshawa/Oshawa"," 103","Oshawa",105,19,6,80,0,210,564
35078,"Oshawa/Oshawa"," 104","Oshawa",168,29,2,93,3,295,617
35078,"Oshawa/Oshawa"," 105","Oshawa",142,15,2,87,1,247,658
35078,"Oshawa/Oshawa"," 106","Oshawa",135,27,5,86,0,253,593
35078,"Oshawa/Oshawa"," 107","Oshawa",102,14,5,83,3,207,554
35078,"Oshawa/Oshawa"," 108","Oshawa",106,11,4,67,0,188,519
35078,"Oshawa/Oshawa"," 109","Oshawa",137,14,4,83,1,239,602
35078,"Oshawa/Oshawa"," 110","Oshawa",142,14,1,80,1,238,548
35078,"Oshawa/Oshawa"," 111","Oshawa",120,28,3,89,1,241,594
35078,"Oshawa/Oshawa"," 112","Oshawa",117,21,4,95,2,239,616
35078,"Oshawa/Oshawa"," 113","Oshawa",143,12,0,79,0,234,593
35078,"Oshawa/Oshawa"," 114","Oshawa",74,17,6,85,2,184,597
35078,"Oshawa/Oshawa"," 115","Oshawa",111,11,4,79,0,205,611
35078,"Oshawa/Oshawa"," 116","Oshawa",105,32,6,85,0,228,687
35078,"Oshawa/Oshawa"," 117","Oshawa",124,25,2,104,1,256,582
35078,"Oshawa/Oshawa"," 118","Oshawa",165,23,2,116,3,309,806
35078,"Oshawa/Oshawa"," 119","Oshawa",138,20,0,80,1,239,543
35078,"Oshawa/Oshawa"," 120","Oshawa",130,19,0,78,0,227,631
35078,"Oshawa/Oshawa"," 121","Oshawa",143,27,4,80,0,254,598
35078,"Oshawa/Oshawa"," 122","Oshawa",133,21,4,101,0,259,699
35078,"Oshawa/Oshawa"," 123","Oshawa",117,30,1,63,1,212,753
35078,"Oshawa/Oshawa"," 124","Oshawa",90,20,3,66,1,180,628
35078,"Oshawa/Oshawa"," 125","Oshawa",122,33,4,80,2,241,664
35078,"Oshawa/Oshawa"," 126","Oshawa",144,22,5,84,0,255,607
35078,"Oshawa/Oshawa"," 127","Oshawa",79,17,3,63,0,162,721
35078,"Oshawa/Oshawa"," 128","Oshawa",107,20,2,82,4,215,747
35078,"Oshawa/Oshawa"," 129","Oshawa",74,12,3,68,6,163,715
35078,"Oshawa/Oshawa"," 130","Oshawa",94,21,8,72,1,196,730
35078,"Oshawa/Oshawa"," 131","Oshawa",73,8,5,72,1,159,578
35078,"Oshawa/Oshawa"," 132","Oshawa",127,12,4,102,0,245,648
35078,"Oshawa/Oshawa"," 133","Oshawa",92,27,4,76,4,203,700
35078,"Oshawa/Oshawa"," 134","Oshawa",86,20,2,81,2,191,616
35078,"Oshawa/Oshawa"," 135","Oshawa",101,31,2,107,1,242,668
35078,"Oshawa/Oshawa"," 136","Oshawa",82,19,4,81,6,192,569
35078,"Oshawa/Oshawa"," 137","Oshawa",114,15,1,118,1,249,579
35078,"Oshawa/Oshawa"," 138","Oshawa",166,27,7,133,4,337,638
35078,"Oshawa/Oshawa"," 139","Oshawa",109,19,3,117,1,249,585
35078,"Oshawa/Oshawa"," 140","Oshawa",126,20,3,105,2,256,609
35078,"Oshawa/Oshawa"," 141","Oshawa",137,25,2,98,3,265,708
35078,"Oshawa/Oshawa"," 142","Oshawa",119,21,7,96,3,246,662
35078,"Oshawa/Oshawa"," 143","Oshawa",118,13,1,51,5,188,557
35078,"Oshawa/Oshawa"," 144","Oshawa",153,27,1,121,0,302,603
35078,"Oshawa/Oshawa"," 145","Oshawa",120,16,5,98,0,239,607
35078,"Oshawa/Oshawa"," 146","Oshawa",133,10,4,83,3,233,529
35078,"Oshawa/Oshawa"," 147","Oshawa",117,17,5,63,1,203,695
35078,"Oshawa/Oshawa"," 148","Oshawa",106,16,6,91,5,224,634
35078,"Oshawa/Oshawa"," 149","Oshawa",117,26,0,67,5,215,614
35078,"Oshawa/Oshawa"," 150","Oshawa",103,27,2,76,4,212,646
35078,"Oshawa/Oshawa"," 151","Oshawa",121,30,6,110,1,268,710
35078,"Oshawa/Oshawa"," 152","Oshawa",144,19,6,88,1,258,586
35078,"Oshawa/Oshawa"," 153","Oshawa",90,12,3,58,2,165,648
35078,"Oshawa/Oshawa"," 154","Oshawa",157,19,6,97,2,281,676
35078,"Oshawa/Oshawa"," 155","Oshawa",140,26,6,92,1,265,687
35078,"Oshawa/Oshawa"," 156","Oshawa",116,19,4,61,0,200,577
35078,"Oshawa/Oshawa"," 157","Oshawa",112,17,2,71,3,205,563
35078,"Oshawa/Oshawa"," 158","Oshawa",125,12,5,83,4,229,652
35078,"Oshawa/Oshawa"," 159","Oshawa",111,34,5,100,0,250,624
35078,"Oshawa/Oshawa"," 160","Oshawa",132,21,8,93,2,256,670
35078,"Oshawa/Oshawa"," 161","Oshawa",123,16,1,90,0,230,648
35078,"Oshawa/Oshawa"," 162","Oshawa",124,21,6,89,1,241,745
35078,"Oshawa/Oshawa"," 163","Oshawa",108,19,4,83,0,214,604
35078,"Oshawa/Oshawa"," 164","Oshawa",125,20,6,100,2,253,683
35078,"Oshawa/Oshawa"," 165","Oshawa",136,28,5,81,0,250,670
35078,"Oshawa/Oshawa"," 166","Oshawa",129,22,4,87,1,243,682
35078,"Oshawa/Oshawa"," 167","Oshawa",112,12,3,85,0,212,663
35078,"Oshawa/Oshawa"," 168","Oshawa",116,10,5,63,1,195,609
35078,"Oshawa/Oshawa"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,197
35078,"Oshawa/Oshawa"," 501","Mobile poll/Bureau itinérant",46,20,9,33,3,111,290
35078,"Oshawa/Oshawa"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,48
35078,"Oshawa/Oshawa"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,48
35078,"Oshawa/Oshawa"," 504","Mobile poll/Bureau itinérant",37,18,5,39,3,102,148
35078,"Oshawa/Oshawa"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,64
35078,"Oshawa/Oshawa"," 506","Mobile poll/Bureau itinérant",29,12,0,42,4,87,75
35078,"Oshawa/Oshawa"," 507","Mobile poll/Bureau itinérant",31,13,3,25,4,76,45
35078,"Oshawa/Oshawa"," 508","Mobile poll/Bureau itinérant",47,12,3,46,3,111,128
35078,"Oshawa/Oshawa"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,75
35078,"Oshawa/Oshawa"," 510","Mobile poll/Bureau itinérant",30,13,2,39,0,84,94
35078,"Oshawa/Oshawa"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,48
35078,"Oshawa/Oshawa"," 600","Oshawa",584,44,4,600,3,1235,
35078,"Oshawa/Oshawa"," 601","Oshawa",577,56,12,625,9,1279,
35078,"Oshawa/Oshawa"," 602","Oshawa",551,106,15,722,11,1405,
35078,"Oshawa/Oshawa"," 603","Oshawa",494,115,19,553,5,1186,
35078,"Oshawa/Oshawa"," 604","Oshawa",544,78,8,534,5,1169,
35078,"Oshawa/Oshawa"," 605","Oshawa",667,67,11,817,7,1569,
35078,"Oshawa/Oshawa"," 606","Oshawa",508,64,9,572,4,1157,
35078,"Oshawa/Oshawa"," 607","Oshawa",534,67,10,730,9,1350,
35078,"Oshawa/Oshawa"," 608","Oshawa",327,47,7,399,6,786,
35078,"Oshawa/Oshawa"," 609","Oshawa",614,86,10,608,6,1324,
35078,"Oshawa/Oshawa"," 610","Oshawa",658,66,11,747,6,1488,
35078,"Oshawa/Oshawa"," 611","Oshawa",620,79,15,592,9,1315,
35078,"Oshawa/Oshawa"," 612","Oshawa",558,67,12,431,2,1070,
35078,"Oshawa/Oshawa"," 613","Oshawa",313,67,6,373,2,761,
35078,"Oshawa/Oshawa"," 614","Oshawa",371,83,8,371,11,844,
35078,"Oshawa/Oshawa"," 615","Oshawa",512,61,11,513,9,1106,
35078,"Oshawa/Oshawa"," 616","Oshawa",314,60,10,245,2,631,
35078,"Oshawa/Oshawa"," 617","Oshawa",396,90,8,309,12,815,
35078,"Oshawa/Oshawa"," 618","Oshawa",454,75,13,406,7,955,
35078,"Oshawa/Oshawa"," 619","Oshawa",547,101,18,490,8,1164,
35078,"Oshawa/Oshawa"," 620","Oshawa",474,76,13,467,9,1039,
35078,"Oshawa/Oshawa",,Group 1/Groupe 1, 132,42,9,293,30,506,310
35078,"Oshawa/Oshawa",,Group 2/Groupe 2, 2044,317,26,1396,95,3878,
