Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Cheryle Baker,Steven Beausoleil,Matthew Chambers,David Hilderley,Arpan Khanna,Melanie Van Brugge,Akshay Varun Raj Vardhan,Jacob Watson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35083,"Oxford/Oxford"," 1","Blandford-Blenheim",2,1,15,44,90,0,0,1,0,153,362
35083,"Oxford/Oxford"," 2","Blandford-Blenheim",2,2,5,54,105,0,1,1,0,170,426
35083,"Oxford/Oxford"," 3","Blandford-Blenheim",6,2,5,64,106,0,0,0,1,184,480
35083,"Oxford/Oxford"," 4","Plattsville",1,5,5,80,143,0,1,0,1,236,525
35083,"Oxford/Oxford"," 5","Ratho",3,3,9,56,113,0,0,3,3,190,432
35083,"Oxford/Oxford"," 6","Bright",9,3,6,69,183,0,0,2,1,273,596
35083,"Oxford/Oxford"," 7","Maple Lake Park",1,0,6,40,104,4,0,5,0,160,440
35083,"Oxford/Oxford"," 8","East Zorra-Tavistock",2,1,9,68,100,0,0,0,0,180,421
35083,"Oxford/Oxford"," 9","East Zorra-Tavistock",4,2,11,50,80,0,1,0,0,148,426
35083,"Oxford/Oxford"," 10","East Zorra-Tavistock",4,3,13,88,142,1,0,1,0,252,594
35083,"Oxford/Oxford"," 11A","East Zorra-Tavistock",1,0,5,59,88,0,0,0,0,153,399
35083,"Oxford/Oxford"," 11B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,,,12
35083,"Oxford/Oxford"," 12","East Zorra-Tavistock",2,4,14,56,89,1,0,1,2,169,469
35083,"Oxford/Oxford"," 13","East Zorra-Tavistock",4,2,6,57,113,1,0,5,1,189,404
35083,"Oxford/Oxford"," 14","East Zorra-Tavistock",0,1,5,33,77,0,0,0,0,116,352
35083,"Oxford/Oxford"," 15","Cassel",1,4,6,51,169,0,0,1,0,232,519
35083,"Oxford/Oxford"," 16","Wolverton",5,7,7,50,122,1,0,0,0,192,426
35083,"Oxford/Oxford"," 17","Drumbo",2,1,5,49,137,0,0,4,0,198,471
35083,"Oxford/Oxford"," 18","Richwood",4,0,7,62,84,0,0,1,0,158,359
35083,"Oxford/Oxford"," 19","Drumbo",4,5,7,39,110,2,1,3,0,171,390
35083,"Oxford/Oxford"," 20","Princeton",3,2,9,62,136,0,0,1,0,213,525
35083,"Oxford/Oxford"," 21","Princeton",2,2,6,62,141,1,0,3,1,218,539
35083,"Oxford/Oxford"," 22","Blandford-Blenheim--Forest Estates",7,1,12,45,130,0,0,9,0,204,447
35083,"Oxford/Oxford"," 23","Innerkip",4,0,7,48,120,0,0,1,1,181,505
35083,"Oxford/Oxford"," 24","East Zorra-Tavistock",6,0,7,45,103,2,0,0,1,164,434
35083,"Oxford/Oxford"," 25","East Zorra-Tavistock",5,3,10,64,139,0,0,4,2,227,578
35083,"Oxford/Oxford"," 26","Strathallan",5,2,14,60,144,0,1,3,2,231,576
35083,"Oxford/Oxford"," 27","East Zorra-Tavistock",2,3,4,58,138,0,0,1,0,206,510
35083,"Oxford/Oxford"," 28","Uniondale",4,1,10,73,122,0,1,5,2,218,429
35083,"Oxford/Oxford"," 29","Harrington",2,5,10,68,139,2,0,0,1,227,527
35083,"Oxford/Oxford"," 30","Lakeside",4,5,12,96,136,2,0,1,0,256,504
35083,"Oxford/Oxford"," 31","Kintore",4,1,3,83,116,0,0,7,1,215,520
35083,"Oxford/Oxford"," 32","Woodstock",2,4,3,85,94,0,0,0,0,188,531
35083,"Oxford/Oxford"," 33","Woodstock",1,0,4,74,91,0,2,1,0,173,465
35083,"Oxford/Oxford"," 34","Woodstock",0,2,6,108,152,3,0,0,1,272,610
35083,"Oxford/Oxford"," 35","Woodstock",0,1,16,106,136,0,0,0,1,260,562
35083,"Oxford/Oxford"," 36","Woodstock",0,1,4,87,112,0,0,4,0,208,525
35083,"Oxford/Oxford"," 37","Woodstock",0,4,13,95,125,0,0,1,1,239,536
35083,"Oxford/Oxford"," 38","Woodstock",0,2,2,45,70,0,0,0,0,119,452
35083,"Oxford/Oxford"," 39","Woodstock",1,2,3,37,69,0,0,0,1,113,317
35083,"Oxford/Oxford"," 40","Woodstock",0,2,7,35,52,2,0,0,3,101,442
35083,"Oxford/Oxford"," 41","Woodstock",1,4,10,78,127,1,0,2,1,224,666
35083,"Oxford/Oxford"," 42","Woodstock",1,2,1,81,81,0,0,1,0,167,449
35083,"Oxford/Oxford"," 43","Woodstock",1,1,3,90,73,0,0,3,1,172,545
35083,"Oxford/Oxford"," 44","Woodstock",5,1,7,54,91,0,0,0,0,158,491
35083,"Oxford/Oxford"," 45","Woodstock",1,2,4,38,92,0,0,2,0,139,396
35083,"Oxford/Oxford"," 46","Woodstock",0,0,2,61,64,2,0,0,2,131,435
35083,"Oxford/Oxford"," 47","Woodstock",2,4,8,101,116,2,0,1,1,235,629
35083,"Oxford/Oxford"," 48","Woodstock",1,2,15,97,109,0,0,6,0,230,600
35083,"Oxford/Oxford"," 49","Woodstock",2,1,12,71,101,1,0,3,3,194,528
35083,"Oxford/Oxford"," 50","Woodstock",2,2,13,84,98,0,0,2,0,201,589
35083,"Oxford/Oxford"," 51","Woodstock",2,2,12,84,71,1,0,4,1,177,595
35083,"Oxford/Oxford"," 52","Woodstock",3,0,22,64,91,0,0,1,0,181,564
35083,"Oxford/Oxford"," 53","Woodstock",1,1,7,82,64,0,0,0,0,155,540
35083,"Oxford/Oxford"," 54","Woodstock",4,1,11,56,92,0,0,0,0,164,522
35083,"Oxford/Oxford"," 55","Woodstock",3,0,3,61,50,0,0,0,1,118,455
35083,"Oxford/Oxford"," 56","Woodstock",4,1,13,66,97,0,0,2,1,184,597
35083,"Oxford/Oxford"," 57","Woodstock",1,2,6,99,107,0,0,0,0,215,556
35083,"Oxford/Oxford"," 58","Woodstock",2,2,18,124,115,3,2,3,3,272,403
35083,"Oxford/Oxford"," 59","Woodstock",3,3,5,115,74,0,0,1,3,204,439
35083,"Oxford/Oxford"," 60","Woodstock",0,1,10,77,93,0,0,0,0,181,534
35083,"Oxford/Oxford"," 61","Woodstock",1,2,7,84,90,0,0,3,1,188,535
35083,"Oxford/Oxford"," 62","Woodstock",3,0,16,101,112,0,0,1,0,233,647
35083,"Oxford/Oxford"," 63","Woodstock",2,2,6,61,81,0,0,3,2,157,484
35083,"Oxford/Oxford"," 64","Woodstock",2,1,8,44,92,0,0,3,1,151,553
35083,"Oxford/Oxford"," 65","Woodstock",2,1,9,95,100,0,0,1,0,208,555
35083,"Oxford/Oxford"," 66","Woodstock",0,0,10,110,77,1,1,3,0,202,462
35083,"Oxford/Oxford"," 67","Woodstock",2,1,5,90,79,0,0,0,1,178,449
35083,"Oxford/Oxford"," 68","Woodstock",1,0,12,86,121,0,0,0,2,222,639
35083,"Oxford/Oxford"," 69","Woodstock",4,2,6,78,113,0,1,0,1,205,576
35083,"Oxford/Oxford"," 70","Woodstock",7,1,15,75,105,0,0,0,2,205,615
35083,"Oxford/Oxford"," 71","Woodstock",4,0,8,112,110,0,0,1,0,235,577
35083,"Oxford/Oxford"," 72","Woodstock",4,1,8,101,124,1,0,5,0,244,587
35083,"Oxford/Oxford"," 73","Woodstock",2,3,11,96,132,0,0,4,2,250,564
35083,"Oxford/Oxford"," 74","Woodstock",5,4,16,77,91,1,0,1,1,196,485
35083,"Oxford/Oxford"," 75","Woodstock",5,5,12,98,134,3,0,3,0,260,611
35083,"Oxford/Oxford"," 76","Woodstock",2,2,8,84,140,0,1,1,1,239,596
35083,"Oxford/Oxford"," 77","Woodstock",3,3,11,64,102,0,2,1,0,186,499
35083,"Oxford/Oxford"," 78","Woodstock",0,5,20,61,89,0,0,2,0,177,501
35083,"Oxford/Oxford"," 79","Woodstock",1,1,5,53,51,0,0,0,0,111,340
35083,"Oxford/Oxford"," 80","Woodstock",2,1,8,23,56,0,0,4,0,94,340
