Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Wayne Baker,Kevin Kruchkywich,David Mackey,John Nater,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35085,"Perth--Wellington/Perth--Wellington"," 1","Wellington North",1,9,54,97,1,162,602
35085,"Perth--Wellington/Perth--Wellington"," 2","Wellington North",6,10,44,81,2,143,505
35085,"Perth--Wellington/Perth--Wellington"," 3","Wellington North",8,5,34,93,0,140,460
35085,"Perth--Wellington/Perth--Wellington"," 4","Wellington North",4,7,36,54,0,101,367
35085,"Perth--Wellington/Perth--Wellington"," 5","Wellington North",5,10,46,103,1,165,488
35085,"Perth--Wellington/Perth--Wellington"," 6","Mount Forest",4,7,48,106,0,165,504
35085,"Perth--Wellington/Perth--Wellington"," 7","Wellington North",2,7,57,77,1,144,522
35085,"Perth--Wellington/Perth--Wellington"," 8","Wellington North",4,8,40,56,0,108,494
35085,"Perth--Wellington/Perth--Wellington"," 9","Mount Forest",7,7,36,91,0,141,510
35085,"Perth--Wellington/Perth--Wellington"," 10","Mount Forest",4,12,49,99,0,164,553
35085,"Perth--Wellington/Perth--Wellington"," 11","Wellington North",1,2,34,103,0,140,505
35085,"Perth--Wellington/Perth--Wellington"," 12","Wellington North",1,2,56,102,0,161,575
35085,"Perth--Wellington/Perth--Wellington"," 13","Minto",10,9,63,119,0,201,414
35085,"Perth--Wellington/Perth--Wellington"," 14","Minto",2,6,54,127,0,189,456
35085,"Perth--Wellington/Perth--Wellington"," 15","Minto",8,18,55,140,2,223,435
35085,"Perth--Wellington/Perth--Wellington"," 16","Minto",5,2,40,68,3,118,361
35085,"Perth--Wellington/Perth--Wellington"," 17","Minto",4,2,28,85,0,119,340
35085,"Perth--Wellington/Perth--Wellington"," 18","Minto",5,0,24,70,0,99,234
35085,"Perth--Wellington/Perth--Wellington"," 19","Minto",5,4,56,104,1,170,478
35085,"Perth--Wellington/Perth--Wellington"," 20","Minto",1,18,40,96,0,155,494
35085,"Perth--Wellington/Perth--Wellington"," 21","Minto",2,4,43,105,5,159,482
35085,"Perth--Wellington/Perth--Wellington"," 22","Minto",7,7,19,118,1,152,319
35085,"Perth--Wellington/Perth--Wellington"," 23","Wellington North",5,7,22,104,0,138,383
35085,"Perth--Wellington/Perth--Wellington"," 24","Wellington North",7,3,26,83,0,119,404
35085,"Perth--Wellington/Perth--Wellington"," 25","Wellington North",5,8,47,123,0,183,448
35085,"Perth--Wellington/Perth--Wellington"," 26","Wellington North",3,6,50,175,1,235,622
35085,"Perth--Wellington/Perth--Wellington"," 27","Wellington North",4,5,44,134,0,187,459
35085,"Perth--Wellington/Perth--Wellington"," 28","Wellington North",6,16,54,88,2,166,425
35085,"Perth--Wellington/Perth--Wellington"," 29","Wellington North",9,4,23,113,1,150,408
35085,"Perth--Wellington/Perth--Wellington"," 30","Wellington North",5,14,58,196,0,273,762
35085,"Perth--Wellington/Perth--Wellington"," 31","Wellington North",7,10,38,89,0,144,423
35085,"Perth--Wellington/Perth--Wellington"," 32","Minto",4,6,38,96,0,144,446
35085,"Perth--Wellington/Perth--Wellington"," 33","Minto",2,7,38,113,0,160,425
35085,"Perth--Wellington/Perth--Wellington"," 34","Minto",9,7,46,122,0,184,478
35085,"Perth--Wellington/Perth--Wellington"," 35","Minto",5,5,50,99,2,161,440
35085,"Perth--Wellington/Perth--Wellington"," 36","Minto",9,6,43,101,1,160,463
35085,"Perth--Wellington/Perth--Wellington"," 37","Minto",5,4,32,114,2,157,497
35085,"Perth--Wellington/Perth--Wellington"," 38","North Perth",5,5,32,125,3,170,475
35085,"Perth--Wellington/Perth--Wellington"," 39","Mapleton",5,7,40,111,1,164,406
35085,"Perth--Wellington/Perth--Wellington"," 40","Drayton",3,8,44,106,3,164,424
35085,"Perth--Wellington/Perth--Wellington"," 41","Mapleton",4,3,52,215,0,274,460
35085,"Perth--Wellington/Perth--Wellington"," 42","Alma",3,7,73,232,2,317,470
35085,"Perth--Wellington/Perth--Wellington"," 43","Mapleton",5,3,46,130,0,184,442
