Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Amir Hart,Liane Kotler,Melissa Lantsman,William McCarty,Dominic Piotrowski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35106,"Thornhill/Thornhill"," 1","Vaughan",0,24,121,1,0,1,147,403
35106,"Thornhill/Thornhill"," 2","Vaughan",0,50,111,2,0,2,165,493
35106,"Thornhill/Thornhill"," 3","Vaughan",1,38,160,2,2,0,203,505
35106,"Thornhill/Thornhill"," 4","Vaughan",2,41,132,1,1,23,200,585
35106,"Thornhill/Thornhill"," 5","Vaughan",2,22,121,2,2,0,149,451
35106,"Thornhill/Thornhill"," 6","Vaughan",2,21,123,2,0,3,151,503
35106,"Thornhill/Thornhill"," 7","Vaughan",0,14,76,0,0,0,90,341
35106,"Thornhill/Thornhill"," 8","Vaughan",1,35,147,1,0,3,187,549
35106,"Thornhill/Thornhill"," 9","Vaughan",3,37,137,3,0,3,183,713
35106,"Thornhill/Thornhill"," 10","Vaughan",0,36,135,0,0,1,172,612
35106,"Thornhill/Thornhill"," 11","Vaughan",0,10,62,0,1,0,73,284
35106,"Thornhill/Thornhill"," 12","Vaughan",0,40,155,1,0,0,196,677
35106,"Thornhill/Thornhill"," 13","Vaughan",0,26,60,0,0,4,90,319
35106,"Thornhill/Thornhill"," 14","Vaughan",4,72,158,4,2,0,240,758
35106,"Thornhill/Thornhill"," 15","Vaughan",4,32,119,2,0,0,157,601
35106,"Thornhill/Thornhill"," 16","Vaughan",0,47,116,0,1,0,164,512
35106,"Thornhill/Thornhill"," 17","Vaughan",4,23,118,1,1,1,148,462
35106,"Thornhill/Thornhill"," 18","Vaughan",1,40,106,2,1,3,153,549
35106,"Thornhill/Thornhill"," 19","Vaughan",1,32,98,0,2,1,134,408
35106,"Thornhill/Thornhill"," 20","Vaughan",1,36,99,5,1,4,146,525
35106,"Thornhill/Thornhill"," 21","Markham",1,47,60,3,1,0,112,309
35106,"Thornhill/Thornhill"," 22","Markham",2,56,68,3,1,0,130,380
35106,"Thornhill/Thornhill"," 23","Vaughan",0,27,126,1,1,3,158,508
35106,"Thornhill/Thornhill"," 24","Vaughan",0,46,119,0,0,2,167,457
35106,"Thornhill/Thornhill"," 25","Vaughan",1,41,109,1,1,2,155,544
35106,"Thornhill/Thornhill"," 26","Vaughan",0,53,142,2,1,0,198,580
35106,"Thornhill/Thornhill"," 27","Vaughan",0,41,138,3,0,0,182,499
35106,"Thornhill/Thornhill"," 28","Vaughan",0,43,128,0,0,0,171,532
35106,"Thornhill/Thornhill"," 29","Vaughan",1,35,97,1,0,0,134,440
35106,"Thornhill/Thornhill"," 30","Vaughan",1,62,89,3,1,0,156,455
35106,"Thornhill/Thornhill"," 31","Vaughan",2,47,72,1,3,0,125,466
35106,"Thornhill/Thornhill"," 32","Vaughan",2,34,108,0,4,3,151,538
35106,"Thornhill/Thornhill"," 33","Vaughan",0,46,87,1,0,0,134,475
35106,"Thornhill/Thornhill"," 34","Vaughan",2,64,127,5,0,2,200,380
35106,"Thornhill/Thornhill"," 35","Vaughan",0,38,99,0,1,0,138,375
35106,"Thornhill/Thornhill"," 36","Vaughan",1,33,67,0,1,2,104,332
35106,"Thornhill/Thornhill"," 37","Markham",0,66,60,3,1,1,131,306
35106,"Thornhill/Thornhill"," 38","Markham",1,116,98,8,2,2,227,488
35106,"Thornhill/Thornhill"," 39","Markham",1,106,117,6,4,2,236,523
35106,"Thornhill/Thornhill"," 40","Markham",3,137,108,3,4,2,257,535
35106,"Thornhill/Thornhill"," 41","Markham",0,87,92,0,3,0,182,433
35106,"Thornhill/Thornhill"," 42","Markham",1,132,98,9,0,1,241,538
35106,"Thornhill/Thornhill"," 43","Markham",1,90,95,5,2,3,196,387
35106,"Thornhill/Thornhill"," 44","Vaughan",2,30,78,2,0,0,112,446
35106,"Thornhill/Thornhill"," 45","Markham",5,103,153,10,6,4,281,592
35106,"Thornhill/Thornhill"," 46","Vaughan",1,72,74,3,0,3,153,445
35106,"Thornhill/Thornhill"," 47","Markham",0,92,89,1,1,1,184,414
35106,"Thornhill/Thornhill"," 48","Vaughan",2,50,128,2,0,0,182,494
35106,"Thornhill/Thornhill"," 49","Vaughan",0,44,155,4,1,4,208,573
35106,"Thornhill/Thornhill"," 50","Vaughan",1,49,130,1,0,2,183,479
35106,"Thornhill/Thornhill"," 51","Vaughan",0,45,69,1,1,2,118,396
35106,"Thornhill/Thornhill"," 52","Vaughan",1,61,122,1,1,0,186,499
35106,"Thornhill/Thornhill"," 53","Vaughan",1,50,71,1,1,2,126,513
35106,"Thornhill/Thornhill"," 54","Vaughan",0,22,117,2,0,1,142,465
35106,"Thornhill/Thornhill"," 55","Vaughan",1,46,95,1,0,1,144,455
35106,"Thornhill/Thornhill"," 56","Vaughan",4,64,112,4,2,0,186,420
35106,"Thornhill/Thornhill"," 57","Vaughan",0,58,142,0,0,0,200,484
35106,"Thornhill/Thornhill"," 58","Vaughan",1,32,123,0,1,0,157,521
35106,"Thornhill/Thornhill"," 59","Vaughan",1,40,105,3,1,1,151,519
35106,"Thornhill/Thornhill"," 60","Markham",1,17,25,1,2,0,46,218
35106,"Thornhill/Thornhill"," 61","Markham",4,65,60,7,1,0,137,369
35106,"Thornhill/Thornhill"," 62","Markham",1,67,60,7,1,2,138,380
35106,"Thornhill/Thornhill"," 63","Vaughan",4,71,161,7,1,1,245,569
35106,"Thornhill/Thornhill"," 64","Vaughan",0,45,122,4,0,1,172,431
35106,"Thornhill/Thornhill"," 65","Vaughan",4,64,100,0,3,2,173,410
35106,"Thornhill/Thornhill"," 66","Vaughan",2,75,144,4,2,2,229,446
35106,"Thornhill/Thornhill"," 67","Vaughan",5,101,153,1,0,1,261,508
35106,"Thornhill/Thornhill"," 68","Vaughan",4,93,125,3,1,1,227,468
35106,"Thornhill/Thornhill"," 69","Vaughan",2,80,133,2,0,1,218,424
35106,"Thornhill/Thornhill"," 70","Vaughan",5,76,130,3,1,3,218,384
35106,"Thornhill/Thornhill"," 71","Vaughan",3,113,125,5,0,2,248,467
35106,"Thornhill/Thornhill"," 72","Vaughan",0,84,135,3,3,3,228,465
35106,"Thornhill/Thornhill"," 73","Vaughan",0,34,117,1,0,0,152,419
35106,"Thornhill/Thornhill"," 74","Vaughan",0,35,88,0,0,0,123,319
35106,"Thornhill/Thornhill"," 75","Vaughan",0,30,109,0,0,3,142,443
35106,"Thornhill/Thornhill"," 76","Vaughan",0,15,80,1,0,0,96,386
35106,"Thornhill/Thornhill"," 77","Vaughan",0,38,118,2,3,1,162,467
35106,"Thornhill/Thornhill"," 78","Vaughan",1,23,72,1,0,1,98,377
35106,"Thornhill/Thornhill"," 79","Vaughan",1,36,90,0,1,1,129,415
35106,"Thornhill/Thornhill"," 80","Vaughan",0,52,145,2,1,5,205,538
35106,"Thornhill/Thornhill"," 81","Vaughan",1,63,145,1,1,4,215,440
35106,"Thornhill/Thornhill"," 82","Vaughan",1,51,72,1,1,0,126,430
35106,"Thornhill/Thornhill"," 83","Vaughan",0,6,83,0,0,1,90,440
35106,"Thornhill/Thornhill"," 84","Vaughan",0,16,104,2,2,0,124,416
35106,"Thornhill/Thornhill"," 85","Vaughan",1,48,67,1,0,0,117,404
35106,"Thornhill/Thornhill"," 86","Vaughan",0,20,75,0,1,0,96,480
35106,"Thornhill/Thornhill"," 87","Vaughan",1,26,62,6,0,0,95,429
35106,"Thornhill/Thornhill"," 88","Vaughan",0,7,84,0,1,1,93,368
35106,"Thornhill/Thornhill"," 89","Vaughan",1,23,120,0,2,0,146,493
35106,"Thornhill/Thornhill"," 90","Vaughan",0,18,74,2,1,2,97,390
35106,"Thornhill/Thornhill"," 91","Vaughan",0,11,69,1,1,0,82,330
35106,"Thornhill/Thornhill"," 92","Vaughan",2,10,108,1,0,0,121,491
35106,"Thornhill/Thornhill"," 93","Vaughan",0,16,62,0,0,0,78,364
35106,"Thornhill/Thornhill"," 94","Markham",0,56,35,2,0,1,94,300
35106,"Thornhill/Thornhill"," 95","Markham",0,36,37,2,2,1,78,249
35106,"Thornhill/Thornhill"," 96","Markham",0,57,63,0,0,0,120,408
35106,"Thornhill/Thornhill"," 97","Markham",0,66,64,0,0,0,130,391
35106,"Thornhill/Thornhill"," 98","Markham",1,45,67,0,4,1,118,367
35106,"Thornhill/Thornhill"," 99","Markham",1,53,71,2,1,3,131,370
35106,"Thornhill/Thornhill"," 100","Markham",7,68,110,3,2,0,190,545
35106,"Thornhill/Thornhill"," 101","Markham",1,44,70,1,0,4,120,373
35106,"Thornhill/Thornhill"," 102","Markham",3,58,77,5,4,0,147,495
35106,"Thornhill/Thornhill"," 103","Markham",1,54,69,4,1,1,130,385
35106,"Thornhill/Thornhill"," 104","Markham",1,92,123,6,1,0,223,527
35106,"Thornhill/Thornhill"," 105","Markham",5,85,73,0,3,2,168,382
35106,"Thornhill/Thornhill"," 106","Markham",2,71,65,3,1,0,142,353
35106,"Thornhill/Thornhill"," 107","Markham",1,92,108,4,1,1,207,547
35106,"Thornhill/Thornhill"," 108","Markham",1,64,92,4,0,1,162,535
35106,"Thornhill/Thornhill"," 109","Vaughan",0,26,77,1,0,1,105,342
35106,"Thornhill/Thornhill"," 110","Vaughan",0,19,77,1,0,1,98,310
35106,"Thornhill/Thornhill"," 111","Vaughan",1,30,107,0,1,0,139,368
35106,"Thornhill/Thornhill"," 112","Vaughan",0,14,71,0,0,2,87,307
35106,"Thornhill/Thornhill"," 113","Vaughan",5,71,246,7,1,1,331,1062
35106,"Thornhill/Thornhill"," 114","Vaughan",0,9,34,0,0,0,43,129
35106,"Thornhill/Thornhill"," 115","Vaughan",0,33,115,0,0,1,149,432
35106,"Thornhill/Thornhill"," 116","Vaughan",0,23,46,0,0,0,69,282
35106,"Thornhill/Thornhill"," 117","Vaughan",0,28,76,1,0,1,106,358
35106,"Thornhill/Thornhill"," 118","Vaughan",1,55,88,1,1,1,147,330
35106,"Thornhill/Thornhill"," 119","Vaughan",0,24,89,1,0,1,115,389
35106,"Thornhill/Thornhill"," 120","Vaughan",1,24,97,2,1,1,126,354
35106,"Thornhill/Thornhill"," 121","Vaughan",1,56,100,3,2,1,163,472
35106,"Thornhill/Thornhill"," 122","Vaughan",0,63,64,2,3,0,132,409
35106,"Thornhill/Thornhill"," 123","Vaughan",4,74,134,1,3,3,219,612
35106,"Thornhill/Thornhill"," 124","Vaughan",0,31,71,3,2,0,107,367
35106,"Thornhill/Thornhill"," 125","Vaughan",0,26,107,0,0,0,133,421
35106,"Thornhill/Thornhill"," 126","Vaughan",0,57,85,0,0,2,144,377
35106,"Thornhill/Thornhill"," 127","Vaughan",1,35,113,0,1,2,152,496
35106,"Thornhill/Thornhill"," 128","Vaughan",1,65,138,4,1,2,211,512
35106,"Thornhill/Thornhill"," 129","Vaughan",2,58,79,7,1,1,148,431
35106,"Thornhill/Thornhill"," 130","Vaughan",2,16,133,3,0,2,156,577
35106,"Thornhill/Thornhill"," 131","Vaughan",0,40,147,1,1,1,190,448
35106,"Thornhill/Thornhill"," 132","Vaughan",2,58,110,5,4,0,179,485
35106,"Thornhill/Thornhill"," 133","Vaughan",0,57,87,3,1,0,148,462
35106,"Thornhill/Thornhill"," 134","Vaughan",1,66,101,4,2,0,174,449
35106,"Thornhill/Thornhill"," 135","Vaughan",0,55,100,5,2,3,165,443
35106,"Thornhill/Thornhill"," 136","Vaughan",0,26,119,1,0,18,164,507
35106,"Thornhill/Thornhill"," 137A","Vaughan",1,51,105,1,0,0,158,466
35106,"Thornhill/Thornhill"," 137B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,56
35106,"Thornhill/Thornhill"," 138","Vaughan",2,84,93,3,1,1,184,415
35106,"Thornhill/Thornhill"," 139","Vaughan",2,52,71,5,5,1,136,406
35106,"Thornhill/Thornhill"," 140","Vaughan",3,15,101,2,1,0,122,486
35106,"Thornhill/Thornhill"," 141","Vaughan",1,32,135,3,0,1,172,529
35106,"Thornhill/Thornhill"," 142","Vaughan",4,66,116,7,3,3,199,510
35106,"Thornhill/Thornhill"," 143","Vaughan",1,50,151,3,1,5,211,456
35106,"Thornhill/Thornhill"," 144","Vaughan",1,18,56,1,0,0,76,347
35106,"Thornhill/Thornhill"," 145","Vaughan",0,36,104,3,2,0,145,493
35106,"Thornhill/Thornhill"," 146","Vaughan",2,52,92,3,2,3,154,493
35106,"Thornhill/Thornhill"," 147","Vaughan",2,51,93,2,3,1,152,626
35106,"Thornhill/Thornhill"," 148","Vaughan",0,50,145,2,1,0,198,530
35106,"Thornhill/Thornhill"," 149","Vaughan",0,31,67,5,1,0,104,289
35106,"Thornhill/Thornhill"," 150","Vaughan",0,31,86,1,0,2,120,354
35106,"Thornhill/Thornhill"," 151","Vaughan",1,56,110,2,0,7,176,407
35106,"Thornhill/Thornhill"," 152","Vaughan",4,53,52,4,0,2,115,313
35106,"Thornhill/Thornhill"," 153","Vaughan",1,127,245,4,1,4,382,1121
35106,"Thornhill/Thornhill"," 154","Vaughan",2,75,96,2,1,5,181,446
35106,"Thornhill/Thornhill"," 155","Vaughan",1,61,64,2,0,4,132,495
35106,"Thornhill/Thornhill"," 156","Vaughan",0,30,40,0,0,0,70,319
35106,"Thornhill/Thornhill"," 157","Vaughan",2,48,57,2,0,4,113,342
