Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Waseem Botros,Bardish Chagger,Santa Claus Chatham,Héline Chow,Simon Guthrie,Jamie Hari,Val Neekman,Hans Roach,Douglas Ross,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35114,"Waterloo/Waterloo"," 1","Waterloo",94,77,0,5,3,0,0,0,1,2,182,523
35114,"Waterloo/Waterloo"," 2","Waterloo",77,66,0,0,2,0,0,0,0,0,145,429
35114,"Waterloo/Waterloo"," 3","Waterloo",81,65,0,5,4,0,0,0,0,0,155,383
35114,"Waterloo/Waterloo"," 4","Waterloo",66,89,0,5,3,1,0,2,1,1,168,436
35114,"Waterloo/Waterloo"," 5","Waterloo",55,96,1,4,3,0,0,0,1,2,162,394
35114,"Waterloo/Waterloo"," 6","Waterloo",84,127,0,13,6,0,1,1,1,2,235,506
35114,"Waterloo/Waterloo"," 7","Waterloo",84,102,0,9,6,0,1,3,0,0,205,494
35114,"Waterloo/Waterloo"," 8","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,,,,25
35114,"Waterloo/Waterloo"," 9","Waterloo",94,85,0,10,5,0,0,0,2,1,197,623
35114,"Waterloo/Waterloo"," 10","Waterloo",76,118,1,2,2,1,1,1,1,1,204,489
35114,"Waterloo/Waterloo"," 11","Waterloo",66,69,0,8,2,0,0,0,0,0,145,444
35114,"Waterloo/Waterloo"," 12","Waterloo",82,99,2,3,5,0,0,0,2,0,193,439
35114,"Waterloo/Waterloo"," 13","Waterloo",86,109,0,5,2,0,0,0,2,0,204,476
35114,"Waterloo/Waterloo"," 14","Waterloo",81,120,0,3,7,1,0,1,0,0,213,450
35114,"Waterloo/Waterloo"," 15","Waterloo",91,123,0,3,5,0,0,0,2,0,224,488
35114,"Waterloo/Waterloo"," 16","Waterloo",106,81,0,6,5,0,0,1,1,1,201,434
35114,"Waterloo/Waterloo"," 17","Waterloo",82,86,0,13,2,0,1,0,1,0,185,561
35114,"Waterloo/Waterloo"," 18","Waterloo",74,75,1,4,4,0,0,0,2,0,160,382
35114,"Waterloo/Waterloo"," 19","Waterloo",92,110,0,4,7,0,0,0,3,0,216,461
35114,"Waterloo/Waterloo"," 20","Waterloo",66,81,2,7,3,0,2,0,0,1,162,409
35114,"Waterloo/Waterloo"," 21","Waterloo",74,108,0,2,3,0,0,0,3,0,190,366
35114,"Waterloo/Waterloo"," 22","Waterloo",49,85,0,1,2,0,0,0,2,0,139,330
35114,"Waterloo/Waterloo"," 23","Waterloo",82,83,0,5,12,0,0,1,2,0,185,367
35114,"Waterloo/Waterloo"," 24","Waterloo",113,137,2,17,5,0,4,0,0,1,279,577
35114,"Waterloo/Waterloo"," 25","Waterloo",108,135,0,2,5,1,0,0,2,0,253,529
