Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Andrew Bascombe,Syl Carle,Sean Carscadden,Michael Chong,Liam Stiles,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 1","Erin",2,7,63,102,2,2,178,390
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 2","Erin",5,1,47,120,4,0,177,453
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 3","Erin",5,1,62,116,3,1,188,407
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 4A","Erin",5,5,39,120,3,0,172,400
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 4B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,34
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 5","Erin",1,6,39,86,1,0,133,344
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 6","Erin",5,1,72,121,9,1,209,462
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 7","Erin",4,1,52,112,3,1,173,394
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 8","Erin",0,4,52,89,1,1,147,432
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 9","Centre Wellington",6,3,71,220,4,0,304,301
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 10","Centre Wellington",Combined with No./Résultats combinés à ceux du n°9,,,,,,,237
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 11","Centre Wellington",4,0,100,89,1,0,194,306
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 12","Centre Wellington",7,5,83,175,2,0,272,304
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 13","Centre Wellington",Combined with No./Résultats combinés à ceux du n°12,,,,,,,268
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 14","Centre Wellington",4,8,56,150,5,0,223,474
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 15","Centre Wellington",1,1,34,72,0,0,108,412
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 16","Centre Wellington",5,2,101,92,5,0,205,334
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 17","Erin",5,3,51,111,4,2,176,503
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 18","Erin",6,4,105,162,5,3,285,727
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 19","Erin",6,2,77,92,4,2,183,503
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 20","Erin",8,2,59,99,3,0,171,435
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 21","Erin",5,0,61,118,3,0,187,494
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 22","Erin",5,0,43,95,6,0,149,454
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 23","Erin",2,1,43,116,2,1,165,399
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 24","Erin",3,0,46,122,1,0,172,447
35115,"Wellington--Halton Hills North/Wellington--Halton Hills-Nord"," 25","Erin",4,4,54,105,4,0,171,424
