Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ted Falk,Noël Gautron,Trevor Kirczenow,Blair Mahaffy,Brandy Schmidt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46006,"Provencher/Provencher"," 1","Pointe du Bois",98,2,51,4,13,0,168,393
46006,"Provencher/Provencher"," 2","Seddons Corner",66,0,15,3,8,0,92,252
46006,"Provencher/Provencher"," 3","Melrose",107,2,41,2,11,1,164,365
46006,"Provencher/Provencher"," 4","Sapton",106,4,47,1,8,0,166,437
46006,"Provencher/Provencher"," 5","Pine Ridge",109,1,55,9,17,0,191,420
46006,"Provencher/Provencher"," 6","Sapton",136,2,31,3,16,0,188,471
46006,"Provencher/Provencher"," 7","Oakbank",102,3,40,1,15,0,161,429
46006,"Provencher/Provencher"," 8","Hazelridge",152,5,62,2,23,3,247,475
46006,"Provencher/Provencher"," 9","Ste. Rita",148,1,23,2,5,2,181,377
46006,"Provencher/Provencher"," 10","Whitemouth",92,5,52,7,4,1,161,287
46006,"Provencher/Provencher"," 11","Whitemouth",164,4,40,9,9,3,229,440
46006,"Provencher/Provencher"," 12","Springfield",161,1,60,5,12,3,242,460
46006,"Provencher/Provencher"," 13","Anola",137,4,65,1,19,1,227,448
46006,"Provencher/Provencher"," 14","Anola",139,2,37,3,8,2,191,438
46006,"Provencher/Provencher"," 15","Glass",176,8,50,3,14,0,251,423
46006,"Provencher/Provencher"," 16","Ostenfeld",116,9,44,7,20,2,198,456
46006,"Provencher/Provencher"," 17","Deacons Corner",95,3,51,0,13,0,162,417
46006,"Provencher/Provencher"," 18","Elma",95,2,20,5,5,0,127,336
46006,"Provencher/Provencher"," 19","Ste-Geneviève",154,6,43,1,11,1,216,526
46006,"Provencher/Provencher"," 20","Ste-Geneviève",84,4,56,7,9,3,163,465
46006,"Provencher/Provencher"," 21A","Lorette",66,5,35,3,11,0,120,302
46006,"Provencher/Provencher"," 21B","Lorette",84,0,33,2,6,0,125,334
46006,"Provencher/Provencher"," 22","Lorette",98,9,29,6,12,0,154,442
46006,"Provencher/Provencher"," 23","Lorette",128,3,70,7,10,2,220,500
46006,"Provencher/Provencher"," 24","Rosewood",105,5,44,6,8,0,168,435
46006,"Provencher/Provencher"," 25","Taché",96,3,53,2,14,1,169,454
46006,"Provencher/Provencher"," 26","Lorette",110,4,58,4,14,0,190,460
46006,"Provencher/Provencher"," 27","Lorette",101,3,75,1,15,0,195,494
46006,"Provencher/Provencher"," 28","Rosewood",89,4,37,6,13,0,149,389
46006,"Provencher/Provencher"," 29","Prairie Grove",155,2,94,2,9,1,263,483
46006,"Provencher/Provencher"," 30","Ile des Chênes",161,3,91,1,8,0,264,527
46006,"Provencher/Provencher"," 31","Ile des Chênes",156,7,91,5,23,0,282,614
46006,"Provencher/Provencher"," 32","Ile des Chênes",111,4,64,5,12,1,197,453
46006,"Provencher/Provencher"," 33","Ile des Chênes",124,2,87,3,14,2,232,575
46006,"Provencher/Provencher"," 34","Ile des Chênes",86,9,41,3,7,0,146,399
46006,"Provencher/Provencher"," 35","Ile des Chênes",104,5,70,6,24,1,210,485
46006,"Provencher/Provencher"," 36","Ile des Chênes",86,5,37,5,14,0,147,357
46006,"Provencher/Provencher"," 37","Lorette",103,0,43,5,19,2,172,517
46006,"Provencher/Provencher"," 38","Lorette",108,9,60,1,4,0,182,460
46006,"Provencher/Provencher"," 39","Ritchot",160,1,117,6,15,1,300,530
46006,"Provencher/Provencher"," 40","Ritchot",135,2,94,2,16,2,251,423
46006,"Provencher/Provencher"," 41","Ritchot",119,2,124,5,18,1,269,426
46006,"Provencher/Provencher"," 42","Ritchot",56,1,54,2,15,1,129,226
46006,"Provencher/Provencher"," 43","Ritchot",130,1,122,0,14,2,269,540
46006,"Provencher/Provencher"," 44","Glenlea",143,7,84,4,10,1,249,489
46006,"Provencher/Provencher"," 45","Ste. Anne",183,7,51,6,18,0,265,542
46006,"Provencher/Provencher"," 46","Paradise Village",108,3,96,2,18,0,227,380
46006,"Provencher/Provencher"," 47","Paradise Village",149,4,70,3,8,0,234,443
46006,"Provencher/Provencher"," 48","Ste. Anne",102,7,46,0,20,3,178,468
46006,"Provencher/Provencher"," 49","Ste. Anne",104,0,48,7,4,0,163,541
46006,"Provencher/Provencher"," 50","Ste. Anne",91,4,52,4,6,1,158,446
46006,"Provencher/Provencher"," 51","Ste. Anne",109,1,62,2,9,0,183,423
46006,"Provencher/Provencher"," 52","Ste. Anne",97,3,66,1,12,0,179,496
46006,"Provencher/Provencher"," 53","Ste. Anne",91,1,51,0,16,3,162,404
46006,"Provencher/Provencher"," 54A","Taché",87,1,45,2,11,2,148,388
46006,"Provencher/Provencher"," 54B","Taché",88,2,58,0,3,0,151,339
46006,"Provencher/Provencher"," 55","Taché",148,3,57,4,14,0,226,515
46006,"Provencher/Provencher"," 56","Taché",180,5,48,4,12,0,249,527
46006,"Provencher/Provencher"," 57","Linden",124,1,22,1,3,0,151,428
46006,"Provencher/Provencher"," 58","Richer",123,0,45,7,12,1,188,478
46006,"Provencher/Provencher"," 59","Richer",133,4,56,1,12,3,209,433
46006,"Provencher/Provencher"," 60","Richer",192,3,55,5,27,2,284,507
46006,"Provencher/Provencher"," 61","Falcon Lake",121,0,96,27,12,1,257,430
46006,"Provencher/Provencher"," 61-1","Shoal Lake (Part) 40",Void/Supprimé,,,,,,,
46006,"Provencher/Provencher"," 62","Prawda",62,4,22,4,7,1,100,198
46006,"Provencher/Provencher"," 63","Niverville",100,2,42,3,9,1,157,426
46006,"Provencher/Provencher"," 64","Niverville",126,4,52,2,8,1,193,517
46006,"Provencher/Provencher"," 65A","Niverville",58,0,27,1,6,2,94,290
46006,"Provencher/Provencher"," 65B","Niverville",79,2,29,1,6,1,118,316
46006,"Provencher/Provencher"," 66A","Niverville",91,1,42,3,12,1,150,502
