Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Liz Clayton,Terry Hayward,Andrew Douglas Maxwell,Dan Mazier,Jim Oliver,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46007,"Riding Mountain/Mont-Riding"," 1","Barrows",1,25,15,11,0,0,52,99
46007,"Riding Mountain/Mont-Riding"," 2","Pelican Rapids",9,82,57,8,2,8,166,253
46007,"Riding Mountain/Mont-Riding"," 2-1","Shoal River 65B",Combined with No./Résultats combinés à ceux du n°2,,,,,,,181
46007,"Riding Mountain/Mont-Riding"," 3","Mafeking",5,16,8,29,0,0,58,147
46007,"Riding Mountain/Mont-Riding"," 4","Birch River",3,34,7,130,2,0,176,237
46007,"Riding Mountain/Mont-Riding"," 4-1","Wuskwi Sipihk First Nation",Combined with No./Résultats combinés à ceux du n°4,,,,,,,8
46007,"Riding Mountain/Mont-Riding"," 5","Birch River",Combined with No./Résultats combinés à ceux du n°4,,,,,,,200
46007,"Riding Mountain/Mont-Riding"," 6","Duck Bay",4,43,23,13,1,1,85,274
46007,"Riding Mountain/Mont-Riding"," 7","Craigsford",1,13,6,140,8,2,170,314
46007,"Riding Mountain/Mont-Riding"," 8","Bowsman",1,8,8,67,0,0,84,185
46007,"Riding Mountain/Mont-Riding"," 9","Big Woody",2,12,13,111,0,0,138,244
46007,"Riding Mountain/Mont-Riding"," 10","Minitonas",1,16,10,137,4,0,168,288
46007,"Riding Mountain/Mont-Riding"," 11","Minitonas",1,20,6,134,1,1,163,314
46007,"Riding Mountain/Mont-Riding"," 12","Minitonas",0,21,7,115,2,0,145,286
46007,"Riding Mountain/Mont-Riding"," 13","Swan River",1,14,17,122,2,0,156,392
46007,"Riding Mountain/Mont-Riding"," 14","Swan River",2,22,6,92,1,0,123,341
46007,"Riding Mountain/Mont-Riding"," 15","Swan River",1,28,12,111,0,2,154,417
46007,"Riding Mountain/Mont-Riding"," 16","Swan River",1,22,14,65,0,0,102,340
46007,"Riding Mountain/Mont-Riding"," 17","Swan River",1,30,8,96,3,2,140,548
46007,"Riding Mountain/Mont-Riding"," 18","Swan River",1,15,10,52,0,0,78,346
46007,"Riding Mountain/Mont-Riding"," 19","Swan River",0,22,3,70,0,2,97,338
46007,"Riding Mountain/Mont-Riding"," 20","Swan River",1,26,18,106,1,0,152,348
46007,"Riding Mountain/Mont-Riding"," 21","Swan River",1,23,19,101,4,1,149,449
46007,"Riding Mountain/Mont-Riding"," 22","Kenville",0,13,7,102,2,0,124,314
46007,"Riding Mountain/Mont-Riding"," 23","Pine Creek 66A",3,60,38,4,0,6,111,299
46007,"Riding Mountain/Mont-Riding"," 24","Camperville",0,55,18,11,1,3,88,356
46007,"Riding Mountain/Mont-Riding"," 25","Benito",1,13,14,119,0,3,150,272
46007,"Riding Mountain/Mont-Riding"," 26","Durban",0,31,13,178,2,1,225,401
46007,"Riding Mountain/Mont-Riding"," 27","Waterhen 45",2,81,21,4,1,0,109,339
46007,"Riding Mountain/Mont-Riding"," 28","Pine River",2,24,17,84,6,1,134,220
46007,"Riding Mountain/Mont-Riding"," 29","Mallard",0,34,21,52,2,1,110,220
46007,"Riding Mountain/Mont-Riding"," 30","Winnipegosis",0,42,17,71,3,0,133,356
46007,"Riding Mountain/Mont-Riding"," 31","Winnipegosis",4,33,17,69,0,0,123,305
46007,"Riding Mountain/Mont-Riding"," 32","San Clara",0,31,8,87,1,0,127,218
46007,"Riding Mountain/Mont-Riding"," 33","Mink Creek",2,34,27,183,2,1,249,419
46007,"Riding Mountain/Mont-Riding"," 34","Fork River",1,18,13,88,5,0,125,233
46007,"Riding Mountain/Mont-Riding"," 35","Rorketon",0,44,19,129,3,2,197,297
